"treeID","stemID","tag","StemTag","sp","quadrat","gx","gy","DBHID","CensusID","dbh","pom","hom","ExactDate","DFstatus","codes","countPOM","date","status","agb","tags_comb","lx","ly","Visit_Number","AcceptedLatinName","Genus","year","Tree_Status"
17911,17911,"130982",1,"libe",1306,257.200012207031,97.8000030517578,68875,2,21.2999992370605,1.3,1.29999995231628,"2013-07-24","alive",NA,1,19563,"A",0.000648896255706434,"130982_1",17.2,-2.2,NA,NA,NA,"2008, 2013, 2018",NA
17911,34631,"130982",2,"libe",1306,257.200012207031,97.8000030517578,68876,2,0,0,0,"2013-07-24","dead","DS",1,19563,"D",NA,"130982_2",17.2,-2.2,NA,NA,NA,"2008, 2013, 2018",NA
17912,17912,"130983",1,"caca",1306,260,98.8000030517578,68877,2,47.2999992370605,1.3,1.29999995231628,"2013-07-24","alive",NA,1,19563,"A",0.00541138860105425,"130983_1",20,-1.2,NA,NA,NA,"2008, 2013, 2018",NA
17913,17913,"130985",1,"fram",1306,259,99.8000030517578,68882,2,13.1000003814697,1.3,1.29999995231628,"2013-07-24","alive",NA,1,19563,"A",0.000222622321267114,"130985_1",19,-0.2,NA,NA,NA,"2008, 2013, 2018",NA
17914,17914,"130986",1,"libe",1306,260,99.8000030517578,68883,2,27.1000003814697,1.3,1.29999995231628,"2013-07-24","alive",NA,1,19563,"A",0.00116942208758923,"130986_1",20,-0.2,NA,NA,NA,"2008, 2013, 2018",NA
17914,34632,"130986",2,"libe",1306,260,99.8000030517578,68884,2,0,0,0,"2013-07-24","dead","DS",1,19563,"D",NA,"130986_2",20,-0.2,NA,NA,NA,"2008, 2013, 2018",NA
17914,37811,"130986",3,"libe",1306,260,99.8000030517578,68885,2,0,0,0,"2013-07-24","dead","DS",1,19563,"D",NA,"130986_3",20,-0.2,NA,NA,NA,"2008, 2013, 2018",NA
17915,17915,"130987",1,"litu",1306,255.5,97.5999984741211,68886,2,169.800003051758,1.3,1.29999995231628,"2013-07-24","alive",NA,1,19563,"A",0.0952355175677988,"130987_1",15.5,-2.4,NA,NA,NA,"2008, 2013, 2018",NA
17916,17916,"130988",1,"unk",1306,257.399993896484,95.8000030517578,68887,2,0,0,0,"2013-07-24","dead","DC",1,19563,"D",NA,"130988_1",17.4,-4.2,NA,NA,NA,"2008, 2013",NA
21722,21722,"151512",1,"ulru",1514,289.299987792969,507.5,68384,2,0,0,0,"2013-08-14","dead","DS",1,19584,"D",NA,"151512_1",9.3,247.5,NA,NA,NA,"2008, 2013, 2018",NA
26580,26580,"180760",1,"libe",1908,340.600006103516,155.600006103516,74689,2,14.1000003814697,1.3,1.29999995231628,"2013-08-29","alive",NA,1,19599,"A",0.000246226602096721,"180760_1",-19.4,15.6,NA,NA,NA,"2008, 2013, 2018",NA
28391,28391,"190852",1,"caco",1911,369.5,191.399993896484,76750,2,69,1.3,1.29999995231628,"2013-09-10","alive",NA,1,19611,"A",0.0150121844848895,"190852_1",9.5,-8.6,NA,NA,NA,"2008, 2013, 2018",NA
NA,NA,"32004",NA,NA,301,46.7999992370605,364,NA,NA,1.9,NA,NA,NA,NA,NA,NA,17780,NA,NA,"32004_2",6.8,364,3,NA,NA,"2018","Live"
NA,NA,"32004",NA,NA,301,46.7999992370605,364,NA,NA,1.3,NA,NA,NA,NA,NA,NA,17780,NA,NA,"32004_3",6.8,364,3,NA,NA,"2018","Live"
NA,NA,"30423",NA,NA,312,52.0999984741211,204.399993896484,NA,NA,2.5,NA,NA,NA,NA,NA,NA,17781,NA,NA,"30423_2",12.1,-15.6,3,NA,NA,"2018","Live"
NA,NA,"30423",NA,NA,312,52.0999984741211,204.399993896484,NA,NA,2.1,NA,NA,NA,NA,NA,NA,17781,NA,NA,"30423_3",12.1,-15.6,3,NA,NA,"2018","Live"
NA,NA,"30423",NA,NA,312,52.0999984741211,204.399993896484,NA,NA,1.3,NA,NA,NA,NA,NA,NA,17781,NA,NA,"30423_4",12.1,-15.6,3,NA,NA,"2018","Live"
NA,NA,"32006",NA,NA,317,49.7999992370605,365.200012207031,NA,NA,3.1,NA,NA,NA,NA,NA,NA,17781,NA,NA,"32006_2",9.8,45.2,3,NA,NA,"2018","Live"
NA,NA,"32006",NA,NA,317,49.7999992370605,365.200012207031,NA,NA,2.7,NA,NA,NA,NA,NA,NA,17781,NA,NA,"32006_3",9.8,45.2,3,NA,NA,"2018","Live"
NA,NA,"32008",NA,NA,317,48.4000015258789,366.5,NA,NA,1.2,NA,NA,NA,NA,NA,NA,17781,NA,NA,"32008_2",8.4,46.5,3,NA,NA,"2018","Live"
NA,NA,"32017",NA,NA,317,53.5,361.299987792969,NA,NA,1.6,NA,NA,NA,NA,NA,NA,17781,NA,NA,"32017_3",13.5,41.3,3,NA,NA,"2018","Live"
NA,NA,"32027",NA,NA,317,55.2999992370605,375,NA,NA,1.1,NA,NA,NA,NA,NA,NA,17781,NA,NA,"32027_2",15.3,55,3,NA,NA,"2018","Live"
NA,NA,"41015",NA,NA,416,70.4000015258789,280.5,NA,NA,2.6,NA,NA,NA,NA,NA,NA,17784,NA,NA,"41015_2",10.4,-19.5,3,NA,NA,"2008, 2013, 2018","Live"
NA,NA,"92356",NA,NA,923,175,461.200012207031,NA,NA,1,NA,NA,NA,NA,NA,NA,17623,NA,NA,"92356_4",15,21.2,3,NA,NA,"2018","Live"
NA,NA,"130967",NA,NA,1306,258.700012207031,93.5,NA,NA,1.2,NA,NA,NA,NA,NA,NA,17749,NA,NA,"130967_2",18.7,-6.5,3,NA,NA,"2008, 2013, 2018","Live"
NA,NA,"130982",NA,NA,1306,257.200012207031,97.8000030517578,NA,NA,1.2,NA,NA,NA,NA,NA,NA,17749,NA,NA,"130982_3",17.2,-2.2,3,NA,NA,"2008, 2013, 2018","Live"
NA,NA,"193166",NA,NA,1901,374.299987792969,20.1000003814697,NA,NA,2.1,NA,NA,NA,NA,NA,NA,17658,NA,NA,"193166_2",14.3,20.1,3,NA,NA,"2018","Live"
NA,NA,"193166",NA,NA,1901,374.299987792969,20.1000003814697,NA,NA,1.3,NA,NA,NA,NA,NA,NA,17658,NA,NA,"193166_3",14.3,20.1,3,NA,NA,"2018","Live"
NA,NA,"180760",NA,NA,1908,340.600006103516,155.600006103516,NA,NA,1.7,NA,NA,NA,NA,NA,NA,17764,NA,NA,"180760_2",-19.4,15.6,3,NA,NA,"2008, 2013, 2018","Live"
NA,NA,"200400",NA,NA,2004,391.200012207031,22.8999996185303,NA,NA,1.4,NA,NA,NA,NA,NA,NA,17665,NA,NA,"200400_3",11.2,-37.1,3,NA,NA,"2018","Live"
