"tag","coreID","sp","1838","1839","1840","1841","1842","1843","1844","1845","1846","1847","1848","1849","1850","1851","1852","1853","1854","1855","1856","1857","1858","1859","1860","1861","1862","1863","1864","1865","1866","1867","1868","1869","1870","1871","1872","1873","1874","1875","1876","1877","1878","1879","1880","1881","1882","1883","1884","1885","1886","1887","1888","1889","1890","1891","1892","1893","1894","1895","1896","1897","1898","1899","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
52059,"52059A","caco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.344,0.61,0.809,0.872,1.774,1.277,1.085,1.285,0.962,0.682,1.178,0.598,0.713,0.413,0.227,0.295,0.244,0.184,0.543,0.809,0.59,0.37,0.286,0.601,0.865,0.809,0.354,0.772,0.627,0.881,1.184,0.391,0.576,0.39,0.375,0.485,0.348,0.449,0.713,1.037,0.615,0.662,0.449,0.859,1.248,0.633,0.749,0.51,0.553,0.256,0.523,0.242,0.412,0.334,0.284,0.523,0.524,0.381,0.692,0.354,0.269,0.465,0.522,0.362,0.334,0.263,0.358,0.576,0.337,0.332,0.238,0.588,0.866,0.87,0.417,0.233,0.449,0.359,0.28,0.379,0.328,0.264,0.169,0.159,0.412,0.423,0.396,0.397,0.366,0.233,0.188,0.337,0.313,0.345,0.402,0.272,NA,NA,NA,NA,NA
70622,"70622A","caco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.345,2.229,1.519,1.712,1.197,1.86,1.626,2.256,1.547,2.629,2.178,1.615,1.336,1.573,1.627,2.199,2.317,3.608,2.553,1.764,1.701,1.219,1.474,1.692,1.53,1.841,2.444,1.267,1.054,1.029,2.462,1.702,1.632,1.696,1.444,1.571,1.446,1.368,1.374,1.149,0.864,1.126,0.994,0.667,0.614,0.707,0.873,0.896,1.031,1.067,0.982,1.009,1.422,1.417,1.072,1.232,1.344,1.111,1.167,0.84,2.8,1.462,1.03,0.933,0.709,0.897,0.629,0.668,0.637,0.777,0.569,0.584,0.472,0.456,0.463,0.413,0.264,NA,NA
70622,"70622B","caco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.965,0.912,1.124,1.263,0.707,1.269,1.092,1.864,1.718,2.064,1.765,1.249,2.707,2.027,2.264,1.82,1.521,2.394,2.469,2.25,2.077,3.124,1.838,2.103,2.717,1.404,2.476,1.792,1.905,2.057,2.228,3.632,2.478,1.55,1.292,0.719,1.369,1.06,1.429,1.607,1.017,1.681,1.595,1.624,1.642,1.45,1.308,1.044,1.912,1.357,2.255,1.883,1.341,1.258,0.97,0.761,1.047,0.739,0.608,0.968,0.944,0.652,0.435,0.912,0.997,0.861,0.954,1.074,1.007,1.021,1.305,1.273,0.895,1.232,1.234,1.105,1.068,0.91,0.66,0.76,0.892,0.665,1.07,0.922,0.903,0.766,0.931,0.574,0.642,0.696,0.777,0.787,0.48,0.609,0.676,NA,NA,NA,NA
80398,"80398A","caco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.639,1.031,0.918,1.299,1.226,1.054,0.736,1.062,2.016,1.413,0.894,0.96,1.821,2.252,2.436,2.773,3.082,2.789,2.839,2.427,2.491,1.901,1.553,2.4,1.597,2.121,2.374,2.001,2.387,1.794,2.449,1.86,4.007,3.141,1.559,1.785,0.569,0.727,0.56,0.526,0.789,0.589,0.457,0.439,0.45,0.402,0.317,0.385,0.37,0.253,0.254,0.344,0.278,0.256,0.291,0.375,0.359,0.338,0.353,0.46,0.238,0.238,0.275,0.222,0.227,0.232,0.339,NA,NA,NA,NA,NA,NA,NA,NA
80398,"80398B","caco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.034,0.98,0.656,0.591,0.424,0.401,0.391,0.339,0.793,0.371,0.684,0.557,0.519,0.602,0.601,0.765,0.593,0.798,1.046,1.288,0.858,0.856,1.787,0.817,0.783,1.081,0.979,0.508,1.252,0.671,0.495,1.156,2.963,3.907,2.577,4.969,2.853,3.933,2.526,2.218,2.788,4.496,4.776,1.883,3.031,2.242,2.101,2.125,1.3,1.247,1.504,0.794,0.986,0.49,0.488,0.522,0.367,0.494,0.43,0.473,0.394,0.363,0.252,0.382,0.277,0.266,0.179,0.221,0.276,0.301,0.27,0.291,0.153,0.19,0.222,0.138,0.234,0.221,0.205,0.219,0.29,0.254,0.247,0.248,0.211,0.155,NA,NA,NA,NA,NA,NA,NA,NA,NA
101092,"101092A","caco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.278,1.818,0.628,1.249,0.834,0.732,0.802,0.385,0.546,0.576,0.805,0.327,0.411,0.362,0.262,0.3,0.176,0.22,0.229,0.171,0.195,0.132,0.361,0.323,0.538,0.667,0.466,0.675,0.448,0.349,0.446,0.525,0.55,0.343,0.371,0.418,0.256,0.427,0.315,0.219,0.155,0.356,0.308,0.371,0.354,0.221,0.148,0.346,0.477,0.543,0.632,0.345,0,0.376,0.371,0.669,0.68,0.377,0.396,0.515,0.585,0.284,0.497,0.423,0.392,0.339,0.326,0.384,0.248,0.239,0.153,0.158,0.191,0.209,0.177,0.229,0.206,0.14,0.179,0.156,0.148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101092,"101092B","caco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.806,0.82,0.686,1.021,0.451,0.488,0.716,0.687,0.827,0.48,0.836,0.668,1.108,0.487,0.345,0.405,0.381,0.321,0.294,0.369,0.331,0.319,0.244,0.176,0.477,0.343,1.344,1.159,0.647,0.74,0.883,0.589,0.794,0.989,0.837,0.401,0.494,0.658,0.333,0.431,0.295,0.442,0.311,0.261,0.2,0.192,0.246,0.218,0.183,0.158,0.211,0.171,0.184,0.563,0.69,0.413,0.24,0.396,0.822,0.963,0.406,0.593,0.593,0.581,0.225,0.313,0.789,0.649,0.503,0.458,0.687,0.289,0.314,0.241,0.28,0.212,0.175,0.221,0.474,0.266,0.225,0.169,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111336,"111336B","caco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.305,1.373,2.311,2.18,1.14,1.874,1.448,0.958,1.999,1.51,1.668,1.011,0.58,1,1.163,1.109,1.214,1.778,1.533,1.905,1.245,2.171,2.05,1.348,1.642,1.425,1.964,1.273,1.075,1.482,1.114,1.004,0.94,0.899,0.701,0.765,0.977,0.971,1.379,1.478,1.549,1.822,1.574,1.261,1.018,1.214,1.049,1.009,0.538,1.296,0.924,0.699,0.551,0.753,0.926,0.963,1.139,1.564,1.435,1.147,0.994,1.058,0.969,1.189,1.268,0.805,0.911,0.765,0.706,0.899,0.884,1.326,0.834,0.94,1.093,0.828,0.598,0.468,0.499,0.32,0.336,0.311,0.39,0.258,0.259,0.226,0.196,0.18,0.27,0.233,0.195,0.259,0.227,0.196
132010,"132010A","caco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.714,2.476,1.956,1.674,0.745,0.66,0.429,0.996,0.882,1.221,0.755,0.463,0.456,0.53,0.365,0.385,0.564,0.417,0.921,0.733,0.745,0.686,0.892,0.428,0.388,0.479,0.36,0.558,0.386,0.326,0.821,0.648,0.647,0.627,1.317,1.808,1.302,1.013,1.229,1.288,1.143,1.207,1.197,0.987,1.418,1.023,1.537,1.824,1.323,1.595,1.278,1.128,0.989,0.979,0.857,1.142,1.02,1.007,0.756,0.975,0.89,1.049,0.793,0.844,0.947,0.644,0.989,1.008,0.765,0.567,0.551,0.713,0.471,0.687,1.038,1.018,1.086,0.834,1.083,0.919,0.953,0.729,0.701,0.392,0.412,0.577,0.302,0.306,0.335,0.308,0.304,0.377,0.35,0.41,0.431,0.536,0.578,0.429,0.572,1.425,1.198,1.475,1.008,1.131,1.465,0.677,0.873,1.066,0.875,1.045,1.774,1.392,0.838,0.739,0.532,0.866,0.762,1.036,0.923,0.533,0.277,0.43,NA,NA
132010,"132010B","caco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.521,3.15,3.81,3.608,3.723,4.071,2.956,3.246,3.671,2.383,2.496,1.883,1.707,1.447,1.242,1.015,1.465,1.196,0.966,0.719,0.652,0.663,2.446,1.047,0.966,0.938,0.648,0.824,0.933,0.68,0.516,0.509,0.737,0.523,0.681,0.97,0.974,0.985,0.845,1.149,1.307,1.184,0.973,0.919,0.585,0.616,0.818,0.52,0.538,0.554,0.572,0.541,0.695,0.548,0.391,0.434,0.436,0.522,0.45,0.527,0.915,0.754,1.119,0.818,0.9,1.342,0.717,0.904,1.599,0.894,1.412,2.047,1.702,0.819,0.745,0.522,0.786,0.783,0.789,0.833,0.447,0.47,0.474,NA,NA,NA,NA,NA,NA
