Year,quve052171_1scbi,quve052171_2scbi,quve072385_1scbi,quve072385_2scbi,quve102144_1scbi,quve102144_2scbi,quve121319_1scbi,quve121319_2scbi,quve162446_1scbi,quve162446_2scbi,quve201405_1scbi,quve201405_2scbi
1920,2.6,2.55,1.59,0.93,3.62,2.85,,,,,,
1921,2.84,2.75,1.98,0.97,2.28,3.03,,,,,,
1922,3.36,3.43,2.03,1.19,2.5,3.01,,,,,,
1923,2.55,2.37,1.6,0.86,4.11,1.91,,,,,,
1924,2.77,3.31,2.56,1.12,3.21,2.35,,,,,,
1925,2.14,2.64,2.35,1.2,2.45,1.7,,,,,,
1926,2.41,2.92,2.45,1.44,2.25,1.7,,,,,,
1927,2.62,3.4,2.94,1.48,2.86,1.72,,,,,,
1928,2.63,3.26,3.05,1.44,1.79,1.16,,,,,,
1929,2.43,3.15,3.55,1.52,1.86,1.43,,,,,,
1930,2.19,2.33,2.27,1.2,1.33,1.21,,,,,,
1931,2.44,2.61,2.19,1.51,1.5,1.22,,,,,,
1932,2.24,2.49,2.01,1.25,1.44,1.13,,,,,,
1933,2.87,2.93,2.15,1.36,1.49,1.15,,,5.75,,,
1934,3.39,3.31,2.12,1.77,1.79,1.6,,,6.77,,,3.59
1935,3.92,4.02,2.51,1.66,2.14,1.57,,1.69,6.22,,,4.26
1936,3.88,3.66,2.5,1.62,2.04,1.62,,1.51,6.71,,,3.8
1937,3.6,3.84,2.65,1.81,2.42,1.65,,1.27,7.26,,,4.48
1938,3.87,4.14,2.76,1.83,2.74,1.72,,1.1,7.26,,,12.05
1939,2.8,2.52,2.05,1.83,1.94,1.48,1.02,1.05,6.97,,,4.43
1940,3.06,2.96,1.85,1.31,2.36,1.49,1.14,1.37,6.63,,,5.09
1941,2.64,2.76,1.87,1.44,2.21,1.73,1.23,1.06,7.47,,,4.84
1942,2.74,2.66,1.84,1.36,2.75,1.84,1.47,1.93,5.46,8.53,3.09,4.29
1943,2.41,2.76,2.18,1.57,2.38,1.96,0.79,1.01,3.94,4.43,4.94,3.5
1944,2.48,2.58,1.61,1.51,1.84,1.57,0.85,1.19,3.65,3.66,2.78,4.14
1945,2.76,3.2,2.4,1.85,2.21,1.62,1.08,1.24,4.3,4.19,5.7,5.36
1946,1.91,2.48,1.82,1.63,2.2,1.49,1.42,0.88,4,3.75,5.59,4.76
1947,1.36,1.84,1.9,1.41,1.77,1.38,1.15,0.89,3.29,4.21,5.26,4.9
1948,2.01,2.6,2.23,1.8,2.59,1.87,0.69,0.96,3.89,4.37,7.18,4.67
1949,2.59,2.91,2.62,2.4,3.53,2.38,0.68,0.84,4.29,4.43,7.71,5.54
1950,2.35,2.41,2.08,2.17,3.64,2.83,0.61,0.73,3.44,3.44,8.93,4.05
1951,3.02,2.72,2.74,2.27,3.74,3.02,0.7,1.04,3.16,4.07,6.9,5.23
1952,2.4,2.27,2.19,2.31,3.2,2.29,0.61,1.01,3.51,3.05,6.38,4.81
1953,2,2.02,2.34,2.15,2.17,2.07,0.41,0.66,3.49,3,6.25,4.7
1954,1.8,2.31,1.99,1.96,1.99,1.91,2.37,1.67,2.52,2.59,5.8,3.87
1955,1.57,2.14,1.74,1.95,1.61,1.87,4.21,4.22,2.83,2.72,6.14,5.33
1956,1.58,2.15,2.7,2.46,2.24,2.05,4.3,4.61,2.23,2.88,6.27,5.03
1957,1.95,2.56,2.62,3.14,2.21,2.49,3.7,4.57,2.89,2.71,5.23,4.03
1958,2.18,2.58,2.92,3.62,2.91,2.94,4.72,5.54,2.54,2.93,5.59,5.28
1959,1.67,2.08,1.91,2.71,2.04,1.98,3.46,5.27,2.04,2.34,3.46,2.5
1960,1.69,2.05,2.2,2.79,2.64,2.31,4.51,5.5,1.97,2.5,5.4,3.25
1961,2.1,1.63,2.71,2.92,2.29,2.07,3.57,4.22,2.08,2.14,4.56,3.09
1962,1.98,1.74,2.07,2.78,2.04,2.13,4.07,4.83,1.46,1.99,4.62,2.97
1963,1.78,1.86,2.08,3.26,1.92,2.13,3.93,4.7,1.77,2.29,3.62,2.49
1964,1.54,1.43,1.9,2.21,1.77,1.53,4.18,4.97,1.59,2.14,3.31,2.17
1965,1.76,1.54,1.88,1.99,1.55,1.42,3.39,4.57,1.65,2.12,2.92,1.87
1966,1.56,1.49,1.88,1.79,1.42,1.43,3.42,3.44,1.55,1.66,2.47,1.48
1967,1.44,1.33,1.75,1.63,1.76,1.75,3.79,3.92,1.58,1.76,2.55,2.22
1968,2.41,2.21,2.78,2.13,2.59,2.37,3.81,4.71,1.83,2.63,4.69,3.49
1969,2.22,2.04,3.04,2.08,2.7,2.2,4.23,4.12,1.5,2.28,6.09,2.6
1970,2.26,2.45,3.17,2.3,3.02,2.26,3.85,4.42,1.65,2.25,5.62,3.33
1971,2.02,2.17,2.05,1.6,2.28,1.76,2.56,3.58,1.32,1.84,3.87,2.3
1972,2.05,2.04,2.41,1.79,2.58,2.18,3.27,2.78,1.39,1.45,3.49,2.78
1973,2.28,2.4,2.09,1.69,2.17,1.87,2.3,2.08,1.26,1.77,2.75,1.66
1974,2.07,2.4,2.09,1.49,2.02,1.72,2.37,1.89,1.4,1.77,3.25,1.94
1975,1.89,2.83,1.83,1.45,2.35,1.99,2.31,2.78,1.59,1.83,3.74,2.64
1976,1.97,2.68,1.93,1.73,2.18,2.09,3.18,3.32,1,1.62,4.43,2.21
1977,1.57,1.97,1.55,1.5,1.63,1.52,2.79,2.43,1.35,1.65,3.34,1.72
1978,2.01,2.37,2.12,1.81,2.17,1.64,3.13,3.36,1.72,2.53,5.06,3.3
1979,1.86,2.1,2.01,1.75,1.69,1.42,3.03,2.86,1.39,1.81,2.63,2.65
1980,1.04,0.87,1.55,0.86,1.94,1.32,2.43,2.52,1.59,1.73,2.09,2.22
1981,1.18,0.96,1.46,0.81,2.04,1.87,2.79,2.61,1.82,1.79,2.23,2.19
1982,1.12,0.95,1.87,0.82,2.19,2.17,3.51,3.12,1.5,1.72,2.09,2
1983,1,0.85,1.65,1.07,2.05,2.03,2.78,2.48,1.91,2.12,2.79,1.75
1984,1.07,0.96,1.46,0.91,1.79,1.97,2.54,2.24,1.79,1.9,2.15,1.57
1985,1.02,0.91,1.38,0.86,1.91,1.61,3.52,2.68,1.43,1.71,1.82,1.74
1986,0.99,1.01,1.62,0.99,2.42,2.27,3.3,2.6,1.86,2.43,3.32,2.53
1987,1.06,1.2,1.73,1.09,1.91,1.99,2.47,2.33,1.79,1.94,2.8,2.36
1988,1.17,1.08,1.36,0.82,1.9,2.01,2.58,2.08,1.46,2.05,2.13,1.49
1989,1.38,1.57,1.27,1.04,1.7,1.9,2.49,2.42,1.45,1.89,2.19,1.78
1990,1.37,1.68,1.85,1.23,1.88,2.43,2.39,2.68,1.6,2.01,2.79,2.02
1991,1.28,1.41,1.17,1.05,1.45,1.56,2.4,2.3,1.48,1.74,2.16,1.44
1992,1.56,1.64,1.87,1.11,1.48,1.44,3,2.84,1.48,2.16,2.41,1.64
1993,1.75,1.73,1.64,1.12,1.69,1.63,3.15,2.83,1.54,2.57,2.42,1.47
1994,1.7,2.09,1.23,0.99,1.32,1.28,3.59,2.98,1.63,1.96,1.53,1.1
1995,1.8,2.18,1.34,1.03,1.5,1.3,3.32,2.91,1.61,2.38,3.24,1.67
1996,2.02,2.46,1.58,0.99,1.5,1.58,2.97,2.92,1.59,2.54,3.06,1.73
1997,1.75,2.36,1,0.89,1.09,1.23,2.32,2.06,1.27,1.36,1.58,1.06
1998,2.66,3.07,1.67,1,1.41,1.07,3.13,3.41,1.88,2.53,3.11,1.56
1999,2.83,2.48,1.07,0.96,1.17,1.33,3.01,2.37,1.36,1.48,2.19,1.52
2000,2.06,2.01,1.34,0.94,1.46,1.33,3.18,2.88,1.46,1.76,2.52,1.67
2001,2.26,2.95,1.23,1.04,1.98,1.97,4.63,4.31,1.95,2.9,4.05,1.93
2002,2.32,3.25,1.46,1.44,1.72,1.79,4.14,3.94,1.8,2.25,4.29,2.25
2003,1.41,2.66,1.22,0.91,1.78,2.27,3.63,3.85,1.74,2.9,4.89,2.69
2004,1.42,2.83,1.31,0.88,1.73,1.72,4.13,3.6,1.29,2.15,3.31,1.54
2005,1.69,2.71,1.49,1.09,1.56,1.69,4.39,4.02,2.39,1.95,2.85,2.02
2006,1.64,2.49,1.14,0.91,1.33,1.74,3.81,3.19,1.72,1.71,2.49,1.72
2007,1.7,2.14,1.26,0.89,1.46,1.77,3.77,3.28,1.76,1.58,2.06,2.02
2008,1.72,2.22,1.2,0.9,1.42,1.85,3.6,2.82,1.78,1.56,1.66,1.87
2009,1.75,2.69,1.14,0.94,1.39,1.68,4.23,3.43,1.69,1.95,2.44,2.64
2010,1.8,2.43,1.25,0.84,1.42,2.1,3.02,2.66,2.63,2.3,2.35,1.87
2011,1.96,2.58,1.43,0.96,1.32,1.88,3.74,3.41,1.99,2.24,2.67,1.53
2012,1.43,1.86,1.09,0.82,1.31,1.52,4.74,4.52,2.08,2.65,1.55,1.41
2013,1.75,1.71,1.13,0.99,1.48,1.78,3.45,4.18,1.72,2.46,1.78,1.59
2014,2.34,1.74,1.19,0.89,1.42,1.79,4.58,4.34,1.74,2.7,1.83,1.49
2015,2.49,1.61,1.37,0.96,1.49,2.15,4.73,5.28,2.34,3.04,2.65,2.26
2016,2.19,1.78,1.18,0.84,1.34,1.72,4.56,4.28,1.65,2.48,2.02,1.8
2017,2.09,1.83,1.17,0.75,1.43,1.79,4.72,3.85,1.54,2.34,1.82,1.82
2018,2.29,2.04,1.34,0.87,1.5,1.93,5.33,3.77,1.98,2.79,2.11,2.04
2019,2.21,1.92,1.26,0.7,1.14,1.36,5.69,4.83,1.56,2.64,3.13,2.25
2020,2.67,1.78,0.99,0.73,1.2,1.32,4.37,4.07,2.25,2.67,2.98,2.15
2021,2.51,1.65,0.72,0.6,1.23,1.45,4.58,4.05,1.76,1.85,2.18,1.74
2022,2.4,1.96,1.14,0.78,1.47,1.79,4.41,4.69,2.16,2.14,1.8,2
2023,,1.3,,0.5,1.11,1.03,2.26,1.96,,,0.87,1.33
