quadrat,acne,acpl,acru,acsp,aial,amar,astr,beth,caca,caco,cade,cagl,caovl,casp,cato,ceca,ceoc,chvi,coal,coam,cofl,crpr,crsp,divi,elum,fagr,fram,frni,frpe,frsp,havi,ilve,juci,juni,libe,litu,loma,nysy,pato,pipu,pist,pivi,ploc,prav,prpe,prse,qual,quco,qufa,qumi,qumu,qupr,quru,qusp,quve,romu,rops,rual,rupe,ruph,saal,saca,tiam,ulam,ulru,ulsp,unk,vipr,vire
1104,,,1,,,,,,9,2,,2,,,1,13,,,,,,,,,,2,4,,,,,,,,60,4,,,,,,,,1,,,,,,,,,1,,,,,,,,3,,,,1,,,,
1105,,,,,,,,,1,1,,1,,,,3,,,,,4,,,,,,2,,,,,,,,60,9,,,,,,,,,,,,,,,,,1,,3,,,,,,,,,,,,,1,
1106,,,,,,,2,,1,1,,2,,,1,1,,,,,1,,,,,,,,1,,,,,,58,15,,1,,,,,,,,,1,,,,,,1,,,,,,,,,,,,1,,1,2,
1107,,,,,,,,,11,4,,2,,,1,3,,,,,,,,,,,,,,,,,,,30,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,
1108,,,,,,,2,,16,,,3,1,,3,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,
1109,,,,,,,,,7,,,2,3,1,12,,,,,,,,,,,1,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
1110,,,,,,,,,1,1,,6,2,,4,,,,,,,,,,,1,1,,,,,,,,,7,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
1111,,,1,,,,,,,,,8,2,,1,,,,,,1,,,,,1,,,,,,,,,,3,,3,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,
1112,,,,,,,,,,,,5,2,,6,,,,,,2,,,,,2,,,,,,,,,,5,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
1113,,,,,,,,,1,,,4,2,,4,,,,,,3,,,,,2,,,,,,,,,,3,,7,,,,,,,,,1,,,,,4,,,,,,,,,,,,,,,,,
1114,,,,,,1,,,1,,,5,2,,1,,,,,,,,,,,4,,,,,4,,,,1,3,,3,,,,,,,,,,,,,,1,3,,1,,,,,,,,,,1,,,,
1115,,,,,,,1,,5,2,,,,,3,1,,,,,1,,,,,,1,1,,,10,,,,1,2,,5,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,1,1,
1116,,,,,,,39,,2,2,,,,1,1,1,3,,,,,,,,,,3,,,,1,,,,4,,,3,,,,,,,,,2,,,,,,,,,,,,,,,,,,5,,,3,
1117,,,2,,,,39,,,1,,2,,,,1,,,,,1,,,,,,1,,,,9,,,,,1,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,2,
1118,,,1,,,2,9,,,,,6,1,,10,1,,,,,1,,,,,,,,,,1,,,,,2,,1,,,,,,,,,1,,,,,,3,,,,,,,,,,,,1,,,,
1119,,,,,,1,,,,,,3,,,8,1,,,,,3,,,,,,,,,,,,,,,,,3,,,,,,,,,6,,,,,,1,,,,,,,,,,,,,,,,
1120,,,,,,1,,,,,,7,,,4,,,,,,2,,,,,,,,,,,,,,,,,11,,,4,,,,,,3,,1,,,,1,,1,,,,,,,,,,,,,,
1121,,,1,,,1,,,,,,9,,,3,,,,,,,,,,,,,,,,,,,,,,,7,,,12,,,,,,2,,,,,,,,3,,,,,,,,,,,,,,
1122,,,,,,,,,,1,,21,1,,2,,,,,,,,,,,,,,,,,,,,,1,,8,,,3,,,,,,3,,,,,,1,,1,,,,,,,,,,,,,,
1123,,,,,,1,,,,,,5,3,,2,3,,,,,1,,,,,,,,2,,,,,,,2,,5,,,3,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,
1124,,,,,,,,,,1,,2,,,2,5,,,,,,,,,,,,,1,,,,,,,,,9,,,,,,1,,,3,,,,,,,,1,,,,,,,,,,,,,,
1125,,,,,,,,,,,,2,4,,,4,1,,,,,,,,,,,,,,,,,1,,,,14,,,,,,,,,1,,,,,1,1,,1,,,,,,,,,,,,,1,
1126,,,,,,,,,,,,5,2,,,6,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,3,,,,,,1,,,,,,,,,,,,,,,,
1127,,,1,,,,,,,,,11,2,,,1,,,,,,,,1,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1128,,,1,,,,,,,,,1,,,1,3,,,,,,,,,,,,,4,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
1129,,,2,,,,,,,,,1,1,,2,,,,,,,,,,,,,,1,,,,,,,5,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,2,,,,
1130,,,,,,,,,,1,,2,1,,1,,,,,,,,,,,,,,,,,,,,,7,,1,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
1131,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
1132,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,
1201,1,,,,1,,,,,,,,,,,5,,,,,2,,,,,,5,,,,,,,4,183,3,1,1,,,,,,,,,,,,,,,,,,2,,,,,13,,2,,,,,,
1202,,,1,1,,,,,1,,,1,,,,3,,,,,,,,,,1,2,,,,,,,,192,6,,,,,,,,1,,,1,,,,,,,,1,,2,,,,1,,,,3,,,,
1203,2,,1,,1,1,,,1,,,,1,,,6,,,,,4,,,,,1,9,,,,,,1,,189,1,,,,,,,,1,1,,,,,,,,,,,,,,,,3,1,,1,3,,2,,
1204,1,,,,,,,,2,,,,,,,2,,,,,1,,,,,,2,,,,,,,,67,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,
1205,,,,,,1,,,2,,,,1,,,5,,,,,,,,,,,,,,,,,,,75,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1206,,,1,,,1,,,27,,,,,,,1,,,,,,,,,,,3,,,,,,,,68,12,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,1,1,
1207,,,,,,,,,24,1,,3,1,,4,1,,,,,,,,,,,1,,,,,,,,57,5,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,1,
1208,,,,,,,,,13,,,,2,1,3,2,,,,,,,,,,,1,,,,,,,,47,9,,1,,,,,,1,,,,,,,,2,2,,,,,,,,,,,,3,,1,,
1209,,,,,,,,,1,1,,8,,,4,,,,,,,,,,,4,,,,,,,,,8,6,,3,,,,,,,,,,,,,,2,,,1,,,,,,,,,,1,,,,
1210,,,,,,,,,4,,,3,2,,4,1,,,,,4,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,
1211,,,,,,,,,3,,1,4,3,1,1,,,,,,,,,,,,,,,,,,,,,3,,5,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
1212,,,,,,,,,,1,,7,4,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
1213,,,,,,,,,1,,,3,5,,1,,,,,,3,,,,,1,,,,,,,,,,4,,4,,,,,,,,,,,,,,1,2,,3,,,,,,,,,,,,,,
1214,,,,,,,,,,,,5,1,,6,,,,,,,,,,,1,,,,,2,,,,,,,2,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,
1215,,,,,,,,,1,3,,2,1,,,,,,,,,,,,,1,,,,,12,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
1216,,,1,,,,,,1,3,,1,1,,1,5,,,,,,,,,,,4,,,,,,,1,2,,,3,,,,,1,,,,,,,,,,,1,,,,,,,1,,,,5,1,,,
1217,,,2,,,,7,,1,4,,,,,1,2,,,,,,,,,,1,1,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,5,,,1,
1218,,,1,,,2,15,,1,,,9,1,,11,1,,,,,,,,,,2,,,1,,1,,,,,,,4,,,,,,,,,1,2,,,,,1,,,,,,,,,,,,,,,1,
1219,,,3,,,1,,,,,,4,2,,9,,,,,,,,,,,2,,,,,,,,,,,,5,,,3,,,,,,6,,,,1,,,,,,,,,,1,,,,,,,,
1220,,,,,,1,,,,,,5,,,12,,,,,,,,,,,,1,,,,,,,,,,,4,,,6,,,,,,5,,,,,,3,,,,,,,,,,,,,,,,
1221,,,,,,1,,,,,,5,,,2,,,,,,,,,,,2,,,,,,,,,,,,4,,,11,,,,,,1,,,,,,1,,1,,,,,,,,,,,,,,
1222,,,,,,,,,,,,4,,,1,,,,,,1,,,,,,,,,,,,,,,,,11,,,15,,,,,,4,,,,,,1,,2,,,,,,,,,,,,,,
1223,,,,,,,,,,,,11,1,,5,,,,,,,,,,,,,,,,,,,,,,,7,,,8,,,,,,2,,,,,,1,,2,,,,,,,,,,1,,,,
1224,,,,,,,2,,,,,1,,,2,6,1,,,,,,,,,,2,,,,,,,1,,2,,4,,,,,,,,,2,,,,,,1,,1,,,,,,,,,,,,,,
1225,,,,,,,,,,1,,,,,,4,1,,,,,,,,,,,,,,,,,,,2,,4,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,1,,
1226,,,,,,,,,,,,3,,,4,5,,,,,,,,,,,1,,,,,,,,,,,13,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
1227,,,,,,,,,,1,,6,1,,2,1,,,,,1,,,,,,2,,1,,,,,,,2,,3,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,1,
1228,,,,,,,,,,,,4,,,,2,,,,,,,,,,,1,,2,,,,,,,6,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,2,,,,
1229,,,1,,,,,,,,,2,1,,,,,,,,,,,,,,1,,2,,,,,,,4,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,6,,,,
1230,,,1,,,1,,,,,,,1,,3,,,,,,,,,,,,1,,2,,,,,,,4,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,
1231,,,,,,,,,,,,,,,1,1,,,,,2,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1232,,,1,,,,,,,,,,,,,,,,,,5,,,,,2,,,,,,,,,,5,,1,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,
1301,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,2,226,1,,,,,,,1,,,,,,,,,,,,,,1,,,,1,,,,3,,2,,
1302,,,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,100,6,,3,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,
1303,1,,,,,,,,,,,1,,,,5,,,,,,,,,,,4,,,,,,,,88,8,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,
1304,,,,,,,,,5,,,1,,,,1,,,,,,,,,,,,,,,,,,,137,6,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,2,,,,
1305,,,,,,,,,15,1,,,,,,10,,,,,2,,,,,,2,,,,,,,,121,9,1,,,,,,,,,,,,,,,,,,3,,,,,,2,,,,1,,,1,
1306,,,,,,,,,17,1,,,,,1,1,,,,,5,,,,,,4,,,,,,,,68,3,,,,,,,,1,,,,,,,,,3,,,,,,,,2,,,,,,,,
1307,,,,,,,,,15,,,5,,,1,,,,,,1,,,,,,,,,,,,,,8,1,,1,,,,,,,,,,,,,,,2,,3,,,,,,,,,,,,,,
1308,,1,1,,,,,,16,1,,3,1,,2,3,,,,,1,,,,,,1,,,,,,,1,18,9,,1,,,,,,,,,,,,,,,1,,1,,,,,,,,,,2,,,,
1309,,,,,,,,,4,1,,1,5,,3,,,,,,2,,,,,,,,,,,,,,10,11,,13,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
1310,,,,,,,,,14,3,,2,3,,7,,,,,,2,,,,,,,,,,,,,,6,3,,4,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
1311,,,,,,,,,14,1,,2,2,,4,,,,,,1,,,,,,,,,,,,,,12,9,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
1312,,,,,,,,,2,,,1,2,,1,1,,,,,1,,,,,,1,,,,,,,,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1313,,,,,,,,,8,,,4,2,1,6,,,,,,,,,,,,,,,,,,,,,8,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1314,,,1,,,,25,,3,2,1,2,2,,1,1,,,,,,,,,,,,,,,2,,1,,1,8,,2,,,,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,
1315,,,1,,,,36,,,7,,2,,,,2,,,,,,,,,,1,3,,,,6,,,,3,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,4,,,2,
1316,,,4,,,,45,,,2,,,,,,3,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,1,
1317,,,,,,,14,,,5,,,,,,1,,,,,,,,,,,6,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,13,,,2,
1318,,,,,,1,18,,,2,,3,,,4,2,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,5,,,9,
1319,,,,,,2,29,,,,1,3,,1,7,,,,,,1,,,,,,,,,,,,,,,1,,6,,,1,,,,,,3,,,,,,1,,1,,,,,,1,,,,,,,,
1320,,,,,,,1,,,,,7,,,9,,,,,,,,,,,,,,,,,,,,,2,,1,,,1,,,,,,4,,,,,,3,,1,,,,,,,,,,,,,,
1321,,,,,,1,,,,1,,8,1,1,8,,,,,,1,,,,,1,,,,,,,,,,1,,3,,,3,,,,,,4,,,,,,1,,,,,,,,,,,,,,,,
1322,,,,,,,,,,,,9,,,5,,,,,,,,,,,,,,,,,,,,,,,4,,,4,,,,,,4,,,,,,1,,2,,1,,,,,,,,,,,,
1323,,,,,,1,,,,,,20,,,5,,,,,,,,,,,,,,,,,,,,,,,4,,,3,,,,,,3,,,,,,2,,1,,,,,,,,,,,,,,
1324,,,,,,,,,,,,7,2,,5,,,,,,,,,,,,1,,,,,,,,,,,10,,,,,,,,,2,,,,,,2,,1,,,,,,1,,,,,,,,
1325,,,,,,1,,,,,,13,3,,4,3,,,,,3,,,,,,2,,,,,,,,,2,,6,,,,,,,,,1,,,,,1,1,,,,,,,,,,,,,,,1,
1326,,,1,,,1,,,,1,,6,,1,3,2,,,,,3,,,,,,,,1,,,,,,,3,,4,,,,,,1,,,1,,,,,,2,1,1,,,,,,,,,,,,,,
1327,,,,,,,,,,,,4,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,3,1,,1,,,,,,,,,,,,,,
1328,,,,,,,15,,,,,1,,,,1,,,,,,,,,,,5,,2,,,,,1,,1,,,,,,,,,,,3,,,,,,,,2,,,,,,,,,,,,,,
1329,,,,,,,,,,,,,,,,2,1,,,,1,,,,,,1,,,,,,,,,4,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,
1330,,,1,,,,,,,,,1,,,,,,,,,3,,,,,3,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
1331,,,1,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
1332,,,3,,,,,,,,,,1,,,,,,,,4,,,,,,1,,1,,,,,,,3,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,
1401,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,,128,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
1402,,,,,,,1,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,271,4,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,,
1403,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
1404,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,2,,,,
1405,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,42,7,,6,,,,,,,,,,,,,,,,,1,,,,,,7,,,,2,,,1,
1406,,,2,,,,,,41,,,,,,1,2,,,,,1,,,,,1,2,,,,,,,,70,3,,24,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,1,
1407,,,,,,,,,11,,1,,,,,3,,,,,,,,,,1,1,,,,,,,,33,10,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
1408,,,,,,,,,4,,,1,,,4,,,,,,2,,,,,,2,,,,,,,,11,7,,,,,,,,,,,,,,,,1,,,7,,,,,,,,,,,,,,
1409,,,,,,,,,3,,,2,1,,7,2,,,,,2,,,,,,,,,,,,,,44,3,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
1410,,,,,,,,,6,,,10,3,1,2,,,,,,1,,,,,,,,,,,,,,10,11,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
1411,,,,,,,,,10,,,5,1,,5,,,,,,,,,,,,,,,,,,,,8,16,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
1412,,,,,,,10,,5,1,,2,,,1,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
1413,,,,,,,,,15,,,5,1,,1,,2,,,,,,,,,,1,,,,,,,,,5,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
1414,,,,,,,1,,2,7,,,2,,,,,,,,,,,,,,2,,,,,,,,,2,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,4,,,,
1415,,,,,,,66,,,3,,,,,1,1,2,,,,2,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,2,
1416,,,1,,,,14,,,6,,1,,,,1,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,4,1,,1,
1417,,,,,,,43,,,2,,6,4,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,1,,,,,,1,,1,,,,,,,,,,,,,,
1418,,,,,,,58,,,3,,6,5,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,
1419,1,,,,,,55,,,4,,6,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,
1420,,,,,,,112,,,3,,7,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,,,,,,1,,,,,,,,1,,,,3,,,1,
1421,,,,,,,39,,,1,,5,1,,5,2,,,,,1,,,,,,,,,,,,,,,2,,4,,,1,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,
1422,,,,,,,,,,1,,5,1,,3,,,,,,2,,,,,,1,,,,,,,,,1,,,,,1,,,,,,3,,,,,,2,,,,,,,,1,,,,,,,,
1423,,,,,,,,,,,,5,,,5,1,,,,,2,,,,,,2,,,,,,,,,,,7,,,,,,,,,3,,,,,1,,,,,,,,,,,,,,,,,
1424,,,,,,2,,,,,,8,,,1,,,,,,3,,,,,,1,,,,,,,,,,,3,,,,,,,,,5,,,,,2,1,,,,,,,,,,,,,,,,
1425,,,,,,,,,,,,18,,,2,1,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,,,,6,,,,,4,,,1,,,,,,,,,,,,,,
1426,,,,,,2,,,,,,3,,,,1,,,,,,,,,,,1,,,,,,,,,,,9,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,
1427,,,,,,2,,,,,,,,1,,,,,,,5,,,,,,4,,,,,,,,,,,,,,,,,1,,,3,,,,,4,1,,,,,,,,,,,,,,,,
1428,,,,,,,,,,,,3,1,,,1,,,,,3,,,,,,2,,,,,,,,,1,,4,,,,,,2,,,3,,,,,,1,,1,,,,,,,,,,,,,,
1429,,,,,,,,,,,,,,,,2,1,,,,3,,,,,,1,,,,,,,1,,5,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,2,,,,
1430,,,,,,,,,,,,,,,1,2,,,,,2,,,,,2,2,,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
1431,,,,,,,,,,,,,,,,,,,,,4,,,,,1,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1432,,,1,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,6,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,
1501,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,229,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
1502,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,335,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,2,,
1503,,,,,,,2,,,,,,,,,,,,,,,,,,,,3,,,1,,,,1,81,2,,,,,,,,,,1,,,,,,,,,,,,,,,4,,,,3,,,,
1504,,,,,,,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
1505,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,7,,7,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,
1506,,,1,,,,,,,1,,,,,,1,,,,,,,,,,5,,,,,,,,1,,3,,14,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
1507,,,,,,,,,1,,,1,,,1,1,,,,,1,,,,,1,1,,,,,,,,11,4,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,
1508,,,,,,,,,,1,,1,,,,5,,,,,3,,,,,2,2,,,,,,,,13,1,,1,,,,,,,,,,,,,,,1,,5,,,,,,,,,,,,,,
1509,,,,,,,,,,,,3,1,,7,5,,,,,2,,,,,,4,,2,,,,,,45,8,,1,,,,,,,,,,,,,,,1,,3,,,,,,,,,,,,4,,
1510,,,,,,,,,2,1,1,,1,,7,2,,,,,,,,,,,4,,,,,,,,51,1,,1,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1,,
1511,,1,,,,,,,1,,,1,1,1,1,,,,,,1,,,,,2,,,1,,,,,,9,6,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
1512,,,,,,,,,4,5,,3,1,,6,,,,,,1,,,,,1,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513,,,,,,,,,,4,,2,,,,1,,,,,1,,,,,,1,2,,,,,,,1,6,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,2,,,,
1514,,,,,,,,,,7,,1,,1,1,,2,,,,1,,1,,,,,,,,4,,,,,1,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,4,1,,1,
1515,,,,,,,,,,5,,,,,,3,,1,,,1,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,4,,,14,
1516,,,4,,,1,,,,1,,4,2,,3,1,,,,,,,1,,,1,1,,,,1,,,,,,,2,,,,,2,,,,4,,,,,,,,,,,,,,2,,,,4,,,3,
1517,,,1,,,,,,,,,8,3,,7,1,,,,,,,,,,,1,,,,,,,,,,,2,,,,,1,,,,5,,,,,1,1,,2,,,,,,,,,,,,,,
1518,,,1,,,,,,,,,5,2,,4,,,,,,,,,,,1,,,,,,,,,,1,,4,,,,,,,,,1,,,,,4,1,,,,,,,,,,,,,,,,
1519,,,1,,,,52,,,1,,,,,4,,,,,,,,,,,,1,,,,,,,,,4,,9,,,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,
1520,,,1,,,,54,,,3,,,,,4,4,,,,,1,,,,,,,,1,,,,,1,5,1,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,
1521,,,,,,,102,,,1,,,,,,2,,,,,1,,,,,1,1,,,,,,,,2,,,2,,,,,,,,,1,,,,,,1,,,,,,,,,,,,1,,1,,
1522,,,,,,1,53,,,2,,2,,,1,3,,,,,5,,,,,,,,,,,,,,,1,,2,,,,,,,,,1,,,,,,2,,2,,,,,,,,,,,,,,
1523,,,2,,,1,,,,,,14,1,,2,1,,,,,3,,,,,,,,,,,,,,,1,,2,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
1524,,,,,,,,,,,,8,1,,3,,,,,,,,,1,,,1,,,,,,,,,2,,2,,,,,,,,,4,,,,,4,,,1,,,,,,1,,,,,,,,
1525,,,,,,1,,,,,,5,1,,2,,,,,,,,,,,1,2,,,,,,,,,1,,4,,,,,,,,,1,,,,,4,1,,2,,,,,,,,,,,,,,
1526,,,2,,,3,,,,,,7,1,,,,,,,,,,,,,1,3,,,,,,,,,,,1,,,,1,,,,,,,,,,3,3,,,,,,,,1,,,,1,,,,
1527,,,1,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,21,,,1,,,,,,1,,,1,,2,,,2,,,,,,,,,,,,,,
1528,,,,,,,,,,,,1,,,,4,,,,,1,,,,,,3,,,,,,,3,,,,5,,,,,,,,,2,,,,,,,,2,,,,,,,,,,1,,,,
1529,,,,,,,,,,,,1,1,,1,3,3,,,,,,,,,,4,,,,,,,1,,4,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,3,,,,
1530,,,1,,,,,,,,,,,,,1,,,,,3,,,,,3,1,,,,,,,,,5,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,,,,
1531,,,,,,,,,,,,1,,,,,,,,,7,,,,,9,2,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1532,,,,,,,,,,,,1,,,,,,,,,7,,,,,1,1,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
1601,,,,,2,,1,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,151,1,,,,,,,,,,,,,,,,,,,,,4,,,,,,,1,1,,,,
1602,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,230,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,1,
1603,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,1,189,3,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,
1604,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,2,19,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,
1605,,,,,,,,,,,,,,,1,,,,,,1,,,,,,3,,,,,,,,6,5,,1,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,
1606,,,,,,,,,1,1,,1,,,2,1,,,,,2,,,,,4,2,,2,1,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,
1607,,,1,,,,,,,1,,1,,,1,,,,,,,,,,,7,2,,,,,,,,,5,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,
1608,,,,,,,,,,,,,,,2,,,,,,2,,,,,7,1,,,,,,,,,5,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
1609,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,1,,,,,,,,3,6,,2,,,,,,,,,,,,,,,4,,2,,,,,,,,,,,,,,
1610,,,,,,,,,,1,,1,2,,6,2,,,,,,,,,,1,2,,,,,,,,5,6,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,
1611,,2,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
