quadrat,acne,acpl,acru,acsp,aial,amar,astr,beth,caca,caco,cade,cagl,caovl,casp,cato,ceca,ceoc,chvi,coal,coam,cofl,crpr,crsp,divi,elum,fagr,fram,frni,frpe,frsp,havi,ilve,juci,juni,libe,litu,loma,nysy,pato,pipu,pist,pivi,ploc,prav,prpe,prse,qual,quco,qufa,qumi,qumu,qupr,quru,qusp,quve,romu,rops,rual,rupe,ruph,saal,saca,tiam,ulam,ulru,ulsp,unk,vipr,vire
128,,,,,,,2,,,1,,,1,,1,6,,,,,,,,,,,2,,,,,,,1,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
129,,,1,,,,15,,,,,,,,8,,1,,,,1,,,,,,,,,,,,,1,2,3,,1,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,
130,,,1,,,,1,,2,1,,2,2,,11,,,,,,3,,1,,,,1,,,,,,,,1,9,,1,,,,,,1,,,1,,,,,,3,,2,,,,,,,,,,2,,,1,
131,,,,,,,3,,12,,,4,1,,6,,,,,,,,,,,,1,,1,,,,,,,10,,,,,,,,5,,,,,,,,,2,,,,,,,,,,,1,,,,1,
132,,,,,,,95,,,,,6,,,6,1,2,,,,,,,,,,1,,,,,,,,2,7,,6,,,,,,,,,,,,,,1,1,,,,,,,,,,,2,,,,,
201,,,,,,,,,1,3,,1,,,,,,,,,,,,,,,2,,,,,,,1,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,
202,,,,,,1,,,5,2,,,,,,,,,,,2,,,,,,1,1,,,3,1,,,4,,,1,,,,,,1,,,,,,,,,,,,8,,,,,,1,1,,,,,1,
203,,,2,,,,3,,1,,,,,,,,1,,,1,,,,,,,,5,,,,,,,9,,,,,,,,,,,,,,,,,,,,,7,,,,,,3,,,,,2,,
204,,,,,,,,,,1,,,,,,,4,,,,,,,,,,6,,,,,,,1,161,,,,,,,,,,,,,,,,,,,,,5,,,,,,1,,,,3,,,
205,3,,,,,,,,2,,,,,,,,6,,,,,,,,,,1,,,,,,,1,130,,,,,,,,,,,,,,,,,,1,,,4,,,,1,,,,,,2,1,,
206,1,,,,,,,,6,1,,,,,,3,,,,,1,,,,,,1,1,,,2,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,
207,,,,,,,,1,8,,,,,,,,,,,,,,,,1,1,1,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,4,,2,,,,,5,2,,2,
208,,,1,,,,,,4,3,,,,,,,,1,,,,,,,,,2,1,,,,,,,3,1,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,1,,,4,
209,,,2,,,,,,3,,,1,,,,,,,,,1,,,,,1,1,,,,2,,,,5,3,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,1,1,,
210,,,,,,,,,9,2,,,,1,,1,,,,,1,,,,,,,,,,2,,,,4,1,,5,,,,,,,,,1,,,,,,1,,,,,,,,,,,,1,,,,
211,,,1,,,,,,11,,,,,1,,1,,,,,,,,,,1,2,,,,,,,,,7,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
212,,,,,2,,5,,8,1,,3,1,,1,1,,,,,1,,,,,1,1,,,,,,,,3,3,,2,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
213,,,,,,,6,,8,1,,4,,,1,1,,,,,,,,,,2,,,,,,,,,1,6,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
214,,,,,,,,,2,,,4,3,,,1,,,,,,,,,,3,,,,,,,,,,5,,1,,,,,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,
215,,,,,,,,,,2,,1,,,,1,,,,,,,,,,11,,,,,,,,,,6,,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,
