treeid,stemid,tag,stemtag,quadratname,lx,ly,px,py
19386,34796,140578,2,1406,14.1,19.2,274.10001,119.2
19402,34797,140599,2,1407,16.6,0.1,276.60001,120.1
19419,34798,140619,2,1405,0.7,1.2,260.70001,81.2
19423,34799,140623,2,1405,3.2,4.5,263.20001,84.5
19424,34800,140624,2,1405,2.1,6.3,262.10001,86.3
19425,34801,140625,2,1405,0.1,5.9,260.10001,85.9
19427,34802,140627,2,1405,0.6,7.1,260.60001,87.1
19428,34803,140628,2,1405,2.8,7.1,262.79999,87.1
19430,34804,140631,2,1405,2.9,7.4,262.89999,87.4
19434,34805,140635,2,1405,4.8,6.7,264.79999,86.7
19437,34806,140639,2,1405,5.6,7.6,265.60001,87.6
19444,34807,140647,2,1405,0.2,10.7,260.20001,90.7
19447,34808,140650,2,1405,3.8,10.4,263.79999,90.4
19448,34809,140651,2,1405,4.7,11.2,264.70001,91.2
19449,34810,140652,2,1405,7.4,10,267.39999,90
19456,34811,140660,2,1405,4.7,13,264.70001,93
19457,34812,140661,2,1405,1.9,12.8,261.89999,92.8
19461,34813,140665,2,1405,3.7,17.8,263.70001,97.8
19470,34814,140674,2,1406,4.8,6.7,264.79999,106.7
19485,34815,140690,2,1406,6.4,12.4,266.39999,112.4
19487,34816,140692,2,1406,1.5,11.8,261.5,111.8
19489,34817,140694,2,1406,0.4,14.2,260.39999,114.2
19495,34818,140700,2,1406,6.7,13.8,266.70001,113.8
19497,34819,140702,2,1406,7.4,14.9,267.39999,114.9
19511,34820,140717,2,1406,5.2,19.9,265.20001,119.9
19512,34821,140718,2,1406,3,19,263,119
19515,34822,140721,2,1406,1,19,261,119
19516,34823,140722,2,1406,0.2,18.7,260.20001,118.7
19518,34824,140724,2,1407,0.9,0.8,260.89999,120.8
19521,34825,140727,2,1407,5.8,3.7,265.79999,123.7
19528,34826,140734,2,1407,8.2,3.1,268.20001,123.1
19531,34827,140737,2,1407,1.9,13.9,261.89999,133.89999
19535,34828,140742,2,1407,9.3,15.8,269.29999,135.8
19536,34829,140743,2,1407,13.3,18.8,273.29999,138.8
19538,34830,140746,2,1407,12.2,18.5,272.20001,138.5
19550,34831,140759,2,1408,11.9,10.2,271.89999,150.2
19554,34832,140763,2,1408,11,14.4,271,154.39999
19563,34833,140772,2,1409,10.1,1.3,270.10001,161.3
19584,34834,140796,2,1409,18.3,18.9,278.29999,178.89999
19592,34835,140804,2,1410,6.6,6.2,266.60001,186.2
19595,34836,140807,2,1410,1.6,6,261.60001,186
19596,34837,140808,2,1410,9.2,10.8,269.20001,190.8
19604,34838,140816,2,1410,0.4,8.9,260.39999,188.89999
19605,34839,140817,2,1410,3.1,13.1,263.10001,193.10001
19623,34840,140835,2,1411,11.5,5.4,271.5,205.39999
19624,34841,140836,2,1411,12.5,6.7,272.5,206.7
19651,34842,140864,2,1413,4.1,7.8,264.10001,247.8
19658,34843,140871,2,1413,5.1,16.2,265.10001,256.20001
19680,34844,140895,2,1415,5.6,2.3,265.60001,282.29999
19682,34845,140897,2,1415,6,2.8,266,282.79999
19688,34846,140904,2,1407,13,2.2,273,122.2
19692,34847,140909,2,1407,9.2,3.5,269.20001,123.5
19693,34848,140910,2,1407,9.1,2.5,269.10001,122.5
19695,34849,140912,2,1407,14.7,8.1,274.70001,128.10001
19697,34850,140915,2,1407,12.2,9.5,272.20001,129.5
19716,34851,140936,2,1408,19.9,16.1,279.89999,156.10001
19717,34852,140937,2,1408,18.9,17.8,278.89999,157.8
19721,34853,140942,2,1408,14.8,18.4,274.79999,158.39999
19724,34854,140945,2,1408,14.4,8.3,274.39999,148.3
19731,34855,140952,2,1409,14.5,2.1,274.5,162.10001
19732,34856,140953,2,1409,12.6,1.3,272.60001,161.3
19733,34857,140954,2,1409,12.7,3.3,272.70001,163.3
19747,34858,140968,2,1409,18.7,7.7,278.70001,167.7
19749,34859,140970,2,1409,14.2,6.6,274.20001,166.60001
19753,34860,140975,2,1409,14.1,9.8,274.10001,169.8
19756,34861,140978,2,1409,17.5,12.6,277.5,172.60001
19758,34862,140980,2,1409,14.8,14.2,274.79999,174.2
19769,34863,140992,2,1410,12.1,8.2,272.10001,188.2
19773,34864,140996,2,1410,16,10.1,276,190.10001
19781,34865,141004,2,1410,10.9,15.9,270.89999,195.89999
19787,34866,141013,2,1411,12.3,3.1,272.29999,203.10001
19789,34867,141015,2,1411,10.8,2.6,270.79999,202.60001
19800,34868,141027,2,1411,14.9,14.8,274.89999,214.8
19801,34869,141028,2,1411,11.5,14.7,271.5,214.7
19803,34870,141030,2,1411,14.5,17.9,274.5,217.89999
19833,34871,141060,2,1413,12.7,1.6,272.70001,241.60001
19848,34872,141076,2,1414,11.6,0.5,271.60001,260.5
19862,34873,141090,2,1415,18,11.6,278,291.60001
19869,34874,141099,2,1415,10.4,18.2,270.39999,298.20001
19874,34875,141104,2,1415,10.2,15.6,270.20001,295.60001
19877,34876,141107,2,1415,12.5,11.5,272.5,291.5
19878,34877,141108,2,1415,12.4,9.3,272.39999,289.29999
19879,34878,141109,2,1415,11.8,10.9,271.79999,290.89999
19883,34879,141113,2,1415,11,9.8,271,289.79999
19903,34880,141137,2,1416,17.3,16.9,277.29999,316.89999
19918,34881,141202,2,1415,6.6,4.5,266.60001,284.5
19920,34882,141204,2,1415,8.2,5.7,268.20001,285.70001
19921,34883,141205,2,1415,6.7,7,266.70001,287
19929,34884,141214,2,1415,3,7.5,263,287.5
19930,34885,141215,2,1415,3.8,7.8,263.79999,287.79999
19931,34886,141216,2,1415,2.1,6.2,262.10001,286.20001
19932,34887,141217,2,1415,1.8,8.6,261.79999,288.60001
19933,34888,141218,2,1415,2.3,7.8,262.29999,287.79999
19962,34889,141250,2,1416,9.4,2,269.39999,302
19964,34890,141252,2,1416,7.8,3,267.79999,303
19972,34891,141261,2,1416,1.2,18.2,261.20001,318.20001
19978,34892,142007,2,1417,10.6,10.7,270.60001,330.70001
19983,34893,142012,2,1417,8.8,11.5,268.79999,331.5
19992,34894,142022,2,1417,15.9,18.2,275.89999,338.20001
19996,34895,142026,2,1417,14.1,19.7,274.10001,339.70001
20017,34896,142048,2,1418,12,3,272,343
20020,34897,142051,2,1418,11.3,6.9,271.29999,346.89999
20031,34898,142064,2,1418,14.5,11,274.5,351
20039,34899,142075,2,1418,9.9,18.6,269.89999,358.60001
20052,34900,142089,2,1419,19.5,3.5,279.5,363.5
20056,34901,142093,2,1419,18,6.2,278,366.20001
20057,34902,142094,2,1419,14.9,5.3,274.89999,365.29999
20058,34903,142095,2,1419,13.3,7.3,273.29999,367.29999
20061,34904,142098,2,1419,13.2,9.1,273.20001,369.10001
20063,34905,142100,2,1419,14.3,11.5,274.29999,371.5
20073,34906,142110,2,1417,2,5.9,262,325.89999
20083,34907,142122,2,1417,2.2,11,262.20001,331
20091,34908,142130,2,1417,6.7,14.8,266.70001,334.79999
20096,34909,142135,2,1418,3,2.9,263,342.89999
20100,34910,142140,2,1418,7.4,2.7,267.39999,342.70001
20101,34911,142141,2,1418,9.8,1.1,269.79999,341.10001
20102,34912,142142,2,1418,9.3,1.5,269.29999,341.5
20107,34913,142147,2,1418,6,3.7,266,343.70001
20109,34914,142149,2,1418,5.3,3.3,265.29999,343.29999
20116,34915,142158,2,1418,7.9,7.4,267.89999,347.39999
20118,34916,142160,2,1418,6.8,9.4,266.79999,349.39999
20120,34917,142162,2,1418,9.8,10.3,269.79999,350.29999
20140,34918,142183,2,1419,10.8,8.4,270.79999,368.39999
20153,34919,142197,2,1419,6.7,15.5,266.70001,375.5
20155,34920,142199,2,1419,2,14.3,262,374.29999
20161,34921,142207,2,1419,16.2,16,276.20001,376
20162,34922,142208,2,1419,14.7,16.5,274.70001,376.5
20165,34923,142211,2,1419,12.9,20,272.89999,380
20166,34924,142212,2,1419,14.2,19.2,274.20001,379.20001
20176,34925,142222,2,1420,16.6,4.9,276.60001,384.89999
20188,34926,142234,2,1420,18.1,8.6,278.10001,388.60001
20194,34927,142240,2,1420,13.8,12.9,273.79999,392.89999
20209,34928,142255,2,1420,20,11.9,280,391.89999
20215,34929,142261,2,1420,15.4,17.7,275.39999,397.70001
20217,34930,142263,2,1420,15.6,17.5,275.60001,397.5
20231,34931,142277,2,1420,18,18.2,278,398.20001
20232,34932,142278,2,1420,19.4,19.9,279.39999,399.89999
20236,34933,142282,2,1420,12.2,16.5,272.20001,396.5
20242,34934,142288,2,1421,17.9,4,277.89999,404
20243,34935,142289,2,1421,17.6,3.4,277.60001,403.39999
20245,34936,142291,2,1421,15.1,3,275.10001,403
20253,34937,142299,2,1421,16.1,7.5,276.10001,407.5
20272,34938,142319,2,1421,13.6,15.8,273.60001,415.79999
20299,34939,142350,2,1423,10.8,18.5,270.79999,458.5
20304,34940,142355,2,1424,17.4,5.5,277.39999,465.5
20320,34941,142371,2,1425,17.3,8.2,277.29999,488.20001
20349,34942,142403,2,1419,0.8,15.9,260.79999,375.89999
20356,34943,142411,2,1419,6.8,18.4,266.79999,378.39999
20358,34944,142413,2,1419,1.1,20,261.10001,380
20385,34945,142442,2,1420,8.9,6.5,268.89999,386.5
20386,34946,142443,2,1420,7.7,5.8,267.70001,385.79999
20387,34947,142444,2,1420,7.3,6,267.29999,386
20392,34948,142449,2,1420,3.6,6.1,263.60001,386.10001
20394,34949,142451,2,1420,12.2,7.4,272.20001,387.39999
20408,34950,142466,2,1420,11.6,8.6,271.60001,388.60001
20470,34951,142536,2,1423,11.5,7.7,271.5,447.70001
20474,34952,142540,2,1423,3.8,17.1,263.79999,457.10001
20476,34953,142542,2,1424,5.3,0.2,265.29999,460.20001
20571,34954,142647,2,1430,17.4,2.6,277.39999,582.59998
20595,34955,142704,2,1429,13.5,5.4,273.5,565.40002
20607,34956,142716,2,1430,4.4,1.8,264.39999,581.79999
20631,34957,150002,2,1501,16,0.8,296,0.8
20632,34958,150004,2,1501,14.8,0.4,294.79999,0.4
20641,34959,150014,2,1501,11.3,1.4,291.29999,1.4
