family,genus,species,author,spcode,canopy_position,live_form,native_status,habitat,successional_status,drought_tolerance,deer_herbivory,flower_reproduction,fruit_type,dispersal_vector,IUCN_status,References
Fabaceae,Robinia,pseudoacacia,L.,rops,canopy,tree,native,"Mesic to dry secondary forests, old fields, fencerows",,,,Monoecious,Legume,,Least concern,"Weakly et al, 2012 (habitat)"
Ericaceae,Rhododendron,periclymenoides,(Michx.) Shinners,rhpe,shrub layer,shrub,shrub,"Mesic to dry, acidic forests, seepage swamp hummocks, and stream banks. Common throughout.",,,,Monoecious,Capsule,,Least concern,"Weakly et al, 2012 (habitat)"
Rosaceae,Rosa,multiflora,Thunb.,romu,shrub layer,shrub,introduced,"Wetland and upland forests, clearings, old fields",,,,,,,Least concern,"Weakly et al, 2012 (habitat)"
Rosaceae,Rubus,allegheniensis,Porter,rual,shrub layer,shrub,native,"Mesic to dry forests, woodlands, barrens, clearings, old fields, pastures, and road banks",,,,Monoecious,Drupes,,Least concern,"Weakly et al, 2012 (habitat)"
Rosaceae,Rubus,pensilvanicus,Poir.,rupe,shrub layer,shrub,native,"Natural and disturbed habitats, including floodplain forests, swamps (all types), wet flatwoods, mesic to dry upland forests, woodlands, clearings, old fields, and roadsides",,,,Monoecious,Drupes,,Least concern,"Weakly et al, 2012 (habitat)"
Rosaceae,Rubus,phoenicolasius,Maxim.,ruph,shrub layer,shrub,introduced,"Mesic to dry-mesic (rarely dry) upland forests, clearings, old fields, and roadsides; especially abundant in base-rich soils.",,,,Monoecious,Drupes,,Least concern,"Weakly et al, 2012 (habitat)"
Adoxaceae,Sambucus,canadensis var. canadensis,(L.) R. Bolli,saca,understory,shrub,native,"Damp to wet soil in fields, clearings, ditches, roadsides, floodplain forests, and swamps",,,,Monoecious,Drupes,,Least concern,"Weakly et al, 2012 (habitat)"
Lauraceae,Sassafras,albidum,(Nutt.) Nees,saal,canopy,tree,native,"Dry to mesic forests and woodlands, old fields, fencerows",,,,Dioecious,Drupes,,Least concern,"Weakly et al, 2012 (habitat)"
Malvaceae,Tilia,americana,L.,tiam,canopy,tree,native,"rich cove forests, rocky dry-mesic forests on mafic or calcareous rocks, and basic or calcareous boulderfield forests",,,,Monoecious,,,Least concern,"Weakly et al, 2012 (habitat)"
Ulmaceae,Ulmus,americana,L.,ulam,understory,tree,native,"Wetland habitats, including floodplain forests, tidal and nontidal swamps, and upland depressions; also in mesic upland forests",,drought-resistant,,Monoecious,Samara (papery),,Least concern,"Weakly et al, 2012 (habitat)"
Ulmaceae,Ulmus,rubra,Muhl.,ulru,understory,tree,native,"Mesic to dry mesic upland forest, rocky, disturbed habitats",,,,Monoecious,Samara (papery),,Least concern,"Weakly et al, 2012 (habitat)"
Adoxaceae,Viburnum,acerifolium,L.,viac,shrub layer,shrub,native,Mesic to dry upland forests.,,,,Monoecious,Drupes,,Least concern,"Weakly et al, 2012 (habitat)"
Adoxaceae,Viburnum,prunifolium,L.,vipr,shrub layer,shrub,native,"Open, wet to dry habitats.",,,,Monoecious,Drupes,,Least concern,"Weakly et al, 2012 (habitat)"
Adoxaceae,Viburnum,recognitum,Fernald,vire,shrub layer,shrub,native,"Open, wet to dry habitats.",,,,Monoecious,Drupes,,Least concern,"Weakly et al, 2012 (habitat)"
