Tag,Quadrat,DBH.2008.mm,Latin,box.number,clarity.of.sapwood.boundary,sapwood.depth.mm,sapwood.depth.uncertainty.mm,notes
60550,613,514.5,Quercus rubra,T9,1,16.3,0,
60550 B,613,514.5,Quercus rubra,T9,1,22.9,0,
92250 A,922,298.2,Quercus rubra,T9,1,9.2,0,
92250 B,922,298.2,Quercus rubra,T9,1,7.4,0,
10517,107,181.1,Quercus velutina,T10,1,20.7,0,
22371,227,377,Quercus velutina,T10,1,20,0,
32368,327,512,Quercus velutina,T10,4,,,
32493,331,363.3,Quercus velutina,T10,1,13.5,0,
32498,331,551.9,Quercus velutina,T10,1,21.2,0,
42207,423,213.2,Quercus velutina,T10,1,4.2,0,
42248,424,786.7,Quercus velutina,T10,1,23,0,
42304,425,355.8,Quercus velutina,T10,1,12.4,0,
52276,525,823.3,Quercus velutina,,,,,
52403,530,757.1,Quercus velutina,T10,1,22.8,0,
60549,613,395.1,Quercus velutina,T10,1,15.2,0,
62007,617,354.3,Quercus velutina,T10,2,12.1,2.6,
80576,815,549.2,Quercus velutina,T10,1,17.3,0,
82120,819,246,Quercus velutina,T10,2,13.8,2.3,
82434,832,805.9,Quercus velutina,T10,1,25.8,0,
101215,1013,751,Quercus velutina,T10,4,,,
102238,1022,740.2,Quercus velutina,T10,1,27.1,0,
112206,1121,521.4,Quercus velutina,,,,,
132232,1322,258.3,Quercus velutina,T10,1,16.5,0,
132250,1323,265.1,Quercus velutina,T10,3,,,
132386,1326,544.8,Quercus velutina,T10,1,11.5,0,
132396,1327,622.9,Quercus velutina,T10,1,34.5,0,
132542,1332,705,Quercus velutina,T10,1,22,0,
142015,1417,493.6,Quercus velutina,T10,1,13.6,0,
142575,1426,457,Quercus velutina,T10,3,,,
152490,1524,510.1,Quercus velutina,T10,1,25.4,0,
152645,1529,641.5,Quercus velutina,T10,3,,,
152656,1529,436.7,Quercus velutina,T10,1,10.9,0,
160935,1609,565.5,Quercus velutina,T10,1,16,0,
162566,1628,487.8,Quercus velutina,T10,1,17.5,0,
171167,1707,543,Quercus velutina,T10,1,19.2,0,
180929,1809,394.4,Quercus velutina,T10,1,17.5,0,
190830,1916,450.1,Quercus velutina,T10,3,,,
192239,1919,279.1,Quercus velutina,T10,1,15.2,0,
192558,1930,509,Quercus velutina,,,,,
202546,2029,366.7,Quercus velutina,T10,4,,,
12445 A,130,170.2,Quercus velutina,T10,1,10.4,0,
12445,130,170.2,Quercus velutina,T10,2,10.4,0,
182130 A,1821,590,Quercus velutina,T10,1,10.4,0,
182130 B,1821,590,Quercus velutina,T10,1,11.6,0,
42283 A,425,471.1,Quercus velutina,T10,1,16.2,0,
42283  B,425,471.1,Quercus velutina,T10,4,,,
132309,1322,384,Robinia pseudoacacia,,,,,
140102,1402,219.3,Robinia pseudoacacia,,,,,
12123,121,154.8,Tilia americana,,,,,
12132,121,342.9,Tilia americana,,,,,
12156,122,340,Tilia americana,,,,,
12169,122,204.8,Tilia americana,,,,,
12178,122,354.1,Tilia americana,,,,,
12191,122,349.3,Tilia americana,,,,,
12195,123,622.7,Tilia americana,,,,,
12203,123,184.4,Tilia americana,,,,,
12245,124,231.9,Tilia americana,,,,,
22059,218,162.5,Tilia americana,,,,,
22111,219,335.2,Tilia americana,,,,,
22119,220,157.3,Tilia americana,,,,,
22123,220,316.2,Tilia americana,,,,,
22151,221,174.5,Tilia americana,,,,,
22156,221,161.8,Tilia americana,T4,1,49.3,0,
22179,222,230.7,Tilia americana,,,,,
22206,222,264.6,Tilia americana,T4,4,,,
22227,223,190.6,Tilia americana,,,,,
22261,224,207.5,Tilia americana,,,,,
32050,318,403.1,Tilia americana,,,,,
32060,318,321.6,Tilia americana,,,,,
32061,318,688.2,Tilia americana,,,,,
32116,320,289,Tilia americana,,,,,
32178,322,222.5,Tilia americana,,,,,
32180,322,171.2,Tilia americana,T4,1,13.6,0,
32195,322,270.3,Tilia americana,,,,,
32215,323,153.7,Tilia americana,,,,,
40969,415,471,Tilia americana,,,,,
52052,518,196.1,Tilia americana,,,,,
60487,616,208.9,Tilia americana,T2,4,,,
70596,714,253.8,Tilia americana,T2,4,,,
70653,715,466.1,Tilia americana,,,,,
190559,1912,209.1,Tilia americana,T4,1,47.6,0,
12242,124,193.8,Tilia americana,,,,,
12242,124,193.8,Tilia americana,,,,,
22166,221,569.9,Tilia americana,,,,,
22166,221,569.9,Tilia americana,,,,,
42087,419,162.8,Tilia americana,,,,,
42087,419,162.8,Tilia americana,,,,,
160117,1602,188.8,Ulmus americana,T2,1,16.3,0,
10249,105,302,Ulmus rubra,,,,,
30444,313,152.1,Ulmus rubra,,,,,
50555,513,297.8,Ulmus rubra,T10,1,34.8,0,Mismatched species (LITU indicated)
52028,517,153,Ulmus rubra,,,,,
60560,614,278.1,Ulmus rubra,T4,1,26.5,0,
90007,901,271.2,Ulmus rubra,,,,,
102493,1031,158,Ulmus rubra,,,,,
122504,1229,204.9,Ulmus rubra,T4,1,34.8,0,
131427,1316,157,Ulmus rubra,,,,,
132118,1318,168.9,Ulmus rubra,,,,,
141096,1415,178.2,Ulmus rubra,,,,,
160680,1604,206.4,Ulmus rubra,,,,,
162097,1620,203.8,Ulmus rubra,,,,,
162265,1622,187.7,Ulmus rubra,,,,,
162327,1621,237.9,Ulmus rubra,,,,,
171148,1705,370.8,Ulmus rubra,,,,,
171309,1712,188.1,Ulmus rubra,,,,,
172372,1723,390.8,Ulmus rubra,,,,,
172534,1727,252.2,Ulmus rubra,,,,,
182383,1824,220.5,Ulmus rubra,,,,,
182460,1829,195.7,Ulmus rubra,,,,,
182494,1831,153.6,Ulmus rubra,,,,,
182602,1824,238.5,Ulmus rubra,,,,,
182698,1831,200.8,Ulmus rubra,,,,,
182701,1831,176.8,Ulmus rubra,,,,,
182715,1832,159.7,Ulmus rubra,,,,,
190014,1901,174.5,Ulmus rubra,,,,,
190048,1901,258.9,Ulmus rubra,,,,,
190089,1902,222,Ulmus rubra,,,,,
190787,1913,186,Ulmus rubra,,,,,
192147,1924,162.7,Ulmus rubra,,,,,
192149,1924,160.5,Ulmus rubra,,,,,
192316,1923,153.8,Ulmus rubra,,,,,
192435,1925,187.9,Ulmus rubra,,,,,
192517,1927,191.9,Ulmus rubra,,,,,
192678,1929,160,Ulmus rubra,,,,,
192700,1932,244.6,Ulmus rubra,,,,,
200003,2001,273.4,Ulmus rubra,,,,,
201191,2011,164.2,Ulmus rubra,,,,,
201228,2012,159.1,Ulmus rubra,,,,,
202388,2025,233.9,Ulmus rubra,,,,,
202518,2027,197.8,Ulmus rubra,,,,,
202526,2027,229,Ulmus rubra,,,,,
202570,2031,178.8,Ulmus rubra,,,,,
202908,2029,176,Ulmus rubra,,,,,
202911,2029,176.8,Ulmus rubra,,,,,
202924,2030,309.1,Ulmus rubra,T4,1,58.8,0,
202963,2032,220.2,Ulmus rubra,,,,,
20600,204,317.2,Viburnum prunifolium,,,,,
1,outside SIGEO,86,Carya glabra,T6,1,13.5,0,
3,outside SIGEO,98,Cercis canadensis,T6,1,3.8,0,
4,outside SIGEO,67,Cornus florida,T6,1,15.7,0,
5,outside SIGEO,89,Celtis occidentalis,T6,1,16.2,0,
6,outside SIGEO,80,Fagus grandifolia,T6,0,,,
7,outside SIGEO,91,Ulmus SP,T6,1,18.5,0,
8,outside SIGEO,57,Cornus florida,T6,4,,,
9,outside SIGEO,55,Cornus florida,,,,,
10,outside SIGEO,54,Cercis canadensis,T6,1,4.9,0,
11,outside SIGEO,99,Fagus grandifolia,T6,0,,,
12,outside SIGEO,53,Nyssa sylvatica,T6,1,5.6,0,
13,outside SIGEO,79,Fagus grandifolia,T6,0,,,
14,outside SIGEO,82,Fagus grandifolia,T6,0,,,
15,outside SIGEO,88,Liriodendron tulipifera,T6,1,29.6,0,
16,outside SIGEO,65,Cercis canadensis,T6,1,4.8,0,
17,outside SIGEO,53,Cornus florida,T6,4,,,
18,outside SIGEO,92,Ulmus SP,T6,1,16.8,0,
19,outside SIGEO,83,Fraxinus americana,T6,3,,,
20,outside SIGEO,92,Fraxinus americana,T6,1,4.7,0,
21,outside SIGEO,68,Celtis occidentalis,T6,1,14.1,0,
22,outside SIGEO,57,Cornus florida,T6,4,,,
23,outside SIGEO,71,Nyssa sylvatica,T6,1,32.9,0,
24,outside SIGEO,51,Celtis occidentalis,T6,1,5.8,0,
25,outside SIGEO,91,Fraxinus americana,T6,1,5.8,0,
26,outside SIGEO,54,Carya cordiformis,T6,4,,,
27,outside SIGEO,87,Quercus rubra,T6,1,3.7,0,
28,outside SIGEO,68,Asimina triloba,T6,1,13.7,0,
29,outside SIGEO,60,Ulmus SP,T6,1,8.3,0,
30,outside SIGEO,91,Carya tomentosa,T6,1,9,0,
26.5,outside SIGEO,538,Quercus velutina,,,,,
14.5,outside SIGEO,670,Liriodendron tulipifera,T8,1,77.1,0,
17.5,outside SIGEO,565,Quercus SP,T8,1,144.2,0,
