Tag,Quadrat,DBH.2008.mm,Latin,box.number,clarity.of.sapwood.boundary,sapwood.depth.mm,sapwood.depth.uncertainty.mm,notes
90278,903,161,Fagus grandifolia,T10,1,69.4,0,
90284,903,163.9,Fagus grandifolia,T10,0,,,
90292,904,119.6,Fagus grandifolia,T10,1,56.2,0,
90567,912,155.7,Fagus grandifolia,T10,0,,,
90616,910,209.7,Fagus grandifolia,T10,0,,,
90658,913,220.8,Fagus grandifolia,T10,1,109.3,0,
100956,1010,158,Fagus grandifolia,T10,0,,,
100985,1011,153,Fagus grandifolia,T10,0,,,
101100A,1010,154.8,Fagus grandifolia,T10,0,,,
101150B,1013,115.8,Fagus grandifolia,T10,0,,,
110795,1104,169.1,Fagus grandifolia,T10,0,,,
110797,1104,195.4,Fagus grandifolia,T10,1,95.3,0,
111171,1110,113.6,Fagus grandifolia,T10,1,26.2,0,
111208,1112,246.4,Fagus grandifolia,T10,1,82.3,0,
150941,1508,137.9,Fagus grandifolia,T10,0,,,
50281,505,136.3,Liriodendron tulipifera,T8,1,33.3,0,
50406,506,324.2,Liriodendron tulipifera,T10,1,62.9,0,
60083,604,187.3,Liriodendron tulipifera,T10,1,22.6,0,
60125,606,103,Liriodendron tulipifera,T8,1,14.5,0,
60130,606,161.1,Liriodendron tulipifera,T10,1,24.2,0,
60287,605,434.3,Liriodendron tulipifera,T10,1,111.7,0,
70433,710,691.5,Liriodendron tulipifera,T10,1,127.5,0,
70563,713,101.9,Liriodendron tulipifera,,,,,
80248,805,132.7,Liriodendron tulipifera,T8,2,29.4,6.4,
80282,806,260.8,Liriodendron tulipifera,T10,1,33.9,0,
80304,804,768,Liriodendron tulipifera,T5,1,88.2,0,
80711,810,516.4,Liriodendron tulipifera,T10,1,65.2,0,
80719,810,200.5,Liriodendron tulipifera,T10,1,16.9,0,
80746,812,215.8,Liriodendron tulipifera,T10,1,36,0,
90287,904,493.1,Liriodendron tulipifera,T10,1,72.8,0,
90369,905,122.7,Liriodendron tulipifera,T8,1,17.2,0,
90486,906,539.8,Liriodendron tulipifera,T10,1,65.7,0,Sample says DBH 639.8
90645,912,155.2,Liriodendron tulipifera,T10,1,31,0,
91377,908,262.1,Liriodendron tulipifera,T10,1,52.3,0,
91491,908,125.1,Liriodendron tulipifera,T8,1,13,0,
100866,1007,158,Liriodendron tulipifera,,,,,
100954,1009,217.8,Liriodendron tulipifera,T1,2,20.9,3.8,
100997,1012,123.6,Liriodendron tulipifera,T8,1,13.7,0,
101118,1011,173.1,Liriodendron tulipifera,T10,1,29.3,0,
110128,1101,713.4,Liriodendron tulipifera,T10,1,103.1,0,
110379,1102,752,Liriodendron tulipifera,T10,1,138.3,0,
110791,1104,634.6,Liriodendron tulipifera,T10,1,63.6,0,
110798,1104,683.6,Liriodendron tulipifera,T10,1,116.1,0,
110950,1106,282.8,Liriodendron tulipifera,T10,4,,,
110952,1106,102.4,Liriodendron tulipifera,T8,4,,,
111011,1107,165.1,Liriodendron tulipifera,T10,1,11.2,0,
111014,1107,549.9,Liriodendron tulipifera,T10,1,77.1,0,
111030,1107,581.5,Liriodendron tulipifera,T10,1,99,0,
111033,1107,128.8,Liriodendron tulipifera,T8,3,,,
111051,1108,461,Liriodendron tulipifera,T10,1,48.7,0,
111134,1108,550.4,Liriodendron tulipifera,T10,1,68.8,0,
120898,1205,165.5,Liriodendron tulipifera,,,,,
120924,1206,136.1,Liriodendron tulipifera,T8,1,15.8,0,
121212,1207,816.2,Liriodendron tulipifera,T10,1,150.4,0,
121284,1209,616.2,Liriodendron tulipifera,T10,1,64.4,0,
130579,1304,679,Liriodendron tulipifera,T10,1,99.7,0,
131017,1308,205,Liriodendron tulipifera,T10,1,37.9,0,
131047,1309,118.7,Liriodendron tulipifera,T8,1,33.9,0,
131080,1310,265.5,Liriodendron tulipifera,T10,1,38,0,
140735,1407,228.5,Liriodendron tulipifera,T10,1,21.1,0,
140748,1407,165.3,Liriodendron tulipifera,T10,1,16.8,0,
110914 A,1105,543.9,Liriodendron tulipifera,T10,1,86.4,0,
110914,1105,543.9,Liriodendron tulipifera,,,,,
50300,506,173.2,Nyssa sylvatica,T1,1,47.1,0,
50415,506,155,Nyssa sylvatica,,,,,
50416,506,432.9,Nyssa sylvatica,T4,1,57.8,0,
60275,604,171.5,Nyssa sylvatica,T1,1,40.2,0,
70428,710,200.2,Nyssa sylvatica,T1,1,41.5,0,
80085,803,447.3,Nyssa sylvatica,,,,,
80177,804,350.6,Nyssa sylvatica,T1,1,94,,
80284,806,179.8,Nyssa sylvatica,T10,4,,,
80559,813,432.3,Nyssa sylvatica,T8,1,106.7,0,
80610,810,402,Nyssa sylvatica,T3,1,71,0,
80630,811,178.4,Nyssa sylvatica,T1,1,27.7,0,
80714,810,199.9,Nyssa sylvatica,T1,1,43.8,0,
90068,902,176,Nyssa sylvatica,T3,4,,,
90185,904,181.6,Nyssa sylvatica,T1,1,31.6,0,
90484,906,179.4,Nyssa sylvatica,T1,2,15.5,1.8,
100147,1002,230,Nyssa sylvatica,,,,,
100795,1006,214.5,Nyssa sylvatica,T1,1,37.5,0,
100818,1005,210.6,Nyssa sylvatica,T1,1,60.3,0,
100832,1006,326.7,Nyssa sylvatica,,,,,
100834,1006,211.4,Nyssa sylvatica,T6,1,63.8,0,
101005,1006,623.2,Nyssa sylvatica,,,,,
101016,1006,445.6,Nyssa sylvatica,T1,1,39,0,
101019,1006,337.8,Nyssa sylvatica,T1,1,35.7,0,
121190,1210,208,Nyssa sylvatica,T1,1,42.9,0,
121295,1210,178.9,Nyssa sylvatica,T1,2,35.6,2.3,
121298,1211,575.1,Nyssa sylvatica,T1,1,103.4,0,
121299,1211,181,Nyssa sylvatica,,,,,
131102,1309,306.9,Nyssa sylvatica,T1,1,68.4,0,
40495,405,839.3,Quercus alba,,,,,
50234,504,261.3,Quercus alba,,,,,
50310,505,185.5,Quercus alba,,,,,
50314,505,417.2,Quercus alba,,,,,
50322,506,496.4,Quercus alba,,,,,
50426,507,317,Quercus alba,,,,,
50455,508,318.1,Quercus alba,,,,,
60060,603,235.2,Quercus alba,,,,,
60078,604,575.9,Quercus alba,,,,,
60121,606,683.2,Quercus alba,,,,,
60315,606,524.8,Quercus alba,,,,,
60331,607,427.1,Quercus alba,,,,,
60377,609,430.9,Quercus alba,,,,,
70069,703,654.3,Quercus alba,,,,,
70371,708,564,Quercus alba,,,,,
70471,712,343.4,Quercus alba,,,,,
70519,711,334.4,Quercus alba,,,,,
70535,711,382.3,Quercus alba,,,,,
70536,711,564.5,Quercus alba,,,,,
70550,712,165.2,Quercus alba,,,,,
70559,712,585.1,Quercus alba,,,,,
80089,804,512.1,Quercus alba,,,,,
80371,807,306.2,Quercus alba,,,,,
80423,808,193.5,Quercus alba,,,,,
80451,808,531.4,Quercus alba,,,,,
80540,813,167.8,Quercus alba,,,,,
80745,812,600.6,Quercus alba,,,,,
90130,903,158,Quercus alba,,,,,
90273,903,164.5,Quercus alba,,,,,
90283,903,462,Quercus alba,,,,,
90546,911,639.8,Quercus alba,,,,,
90558,912,401.9,Quercus alba,,,,,
100990,1011,613.1,Quercus alba,,,,,
101212,1012,694.3,Quercus alba,,,,,
110870,1106,205,Quercus alba,,,,,
40464,404,198.8,Quercus prinus,T5,1,17.5,0,
40529,405,481.2,Quercus prinus,T5,1,41.7,0,
40538,405,519.5,Quercus prinus,T5,1,33.9,0,
50323,506,543,Quercus prinus,T5,1,36.6,0,
50367,508,189.3,Quercus prinus,T5,1,15,0,
50434,507,122,Quercus prinus,T5,1,9.6,0,
50440,507,103.2,Quercus prinus,,,,,
50448,508,110.1,Quercus prinus,T5,1,9.2,0,
60161,608,845.9,Quercus prinus,T5,1,130.3,0,
60187,609,592.3,Quercus prinus,T4,1,30.3,0,
60318,606,327.6,Quercus prinus,,,,,
60327,607,462.8,Quercus prinus,T5,2,39.7,9.1,
60333,607,361.2,Quercus prinus,T5,1,21.1,0,
60348,608,481.4,Quercus prinus,T5,1,19.8,0,
70083,704,541.1,Quercus prinus,,,,,
70148,706,104,Quercus prinus,T5,1,17.1,0,
70184,708,138,Quercus prinus,T5,1,6.1,0,
70198,708,130.6,Quercus prinus,T5,1,14.1,0,
70308,705,599.5,Quercus prinus,T5,1,32.5,0,
70334,706,584.4,Quercus prinus,T5,4,,,
70444,711,265.9,Quercus prinus,T5,1,15.3,0,
80230,805,346.6,Quercus prinus,T5,1,14.9,0,
80437,808,259.3,Quercus prinus,T5,1,12,0,
80458,808,655.3,Quercus prinus,T5,1,11.3,0,
80465,808,127.1,Quercus prinus,T5,1,9.8,0,
80663,812,138.9,Quercus prinus,T5,1,10.3,0,
90544,911,180.9,Quercus prinus,T5,1,14.3,0,
90653,912,422.6,Quercus prinus,T5,1,25.9,0,
100942,1009,274.7,Quercus prinus,T5,1,18.7,0,
101075,1008,352.1,Quercus prinus,T5,1,9.3,0,
101121,1011,112.2,Quercus prinus,T5,1,11,0,
111038,1107,395,Quercus prinus,,,,,
111172,1110,313,Quercus prinus,,,,,
111173,1111,209.4,Quercus prinus,T5,1,16.4,0,
121254,1208,406.4,Quercus prinus,T5,1,13.9,0,
131084,1310,242.1,Quercus prinus,,,,,
131204,1311,225.4,Quercus prinus,,,,,
140764,1408,226.2,Quercus prinus,T5,1,18.4,0,
70159A,706,346,Quercus prinus,T5,1,22.2,0,
70159B,706,341.1,Quercus prinus,T5,1,10.3,0,
80402,807,384.8,Quercus prinus,T5,1,23.3,0,
80402B,807,384.8,Quercus prinus,T5,1,17.5,0,
50274,505,506.2,Quercus rubra,T9,1,22,0,
60116,606,367.9,Quercus rubra,,,,,
60143,607,267.6,Quercus rubra,,,,,
60345,608,214.2,Quercus rubra,,,,,
