Tag,ID,Name.of.best.file,chronology,chronology_status,chronology_rejection_justification,Start.year,End.year,Shifts,Confidence.level,Measurement.Changes,Cofecha.Notes,Ring.marking.Notes,Other.Notes
111166,LITU111166A,LITU111166A_shifted,LITU,included,,1918,2014,-3,medium,,"narrow 1991, 1947, very narrow most recent years",,
111166,LITU111166A,LITU111166B_shifted,LITU,included,,1969,2009,-8,medium,,,most recent years missing,
112421,litu112421A,litu112421A,LITU,included,"very low correlation, shifted -5",1928,2015,,low,,"no good fit; tried splitting 1930,37,48 and it was worse",newest years easy to see,
112421,litu112421B,litu112421B,LITU,included,"very low correlation, shifted -5",1927,2015,,low,,not good correlation; suggests +10,"Seemed easy to see rings. When in doubt I did not split rings (could try splitting 88,87,80,50,39,31)",
121017,LITU121017A,LITU121017A,LITU,included,,1956?,2017?,-10,low,,,multiple outer rings missing,
121017,LITU121017B,LITU121017B,LITU,included,"very low correlation, good match at +9, but that makes no sense",1945,2017,,very low,,"best match is at +9 and -7, possibly multiple years missing ",multiple outer rings missing (even more than A),
121423,litu121423A,litu121423A_shifted,LITU,included,"very low correlation, no clear issues though",1936,2009,-7,medium,,"some correlation, except first segment",rings easy to see,
121423,litu121423B,litu121423B,LITU,included,"very low correlation, shifted -5",1935,2015,,low,"Added 1 between 70 and 80, 2 bt 90 and 2000;",no good match; maybe -5,,
122498,litu122498B,litu122498B_remeasured_shifted3,LITU,included,low correlation,1944,2016,3,medium,,"not significant, but matches highest year",Use remeasured version: redid 1993-96 and lost 1 ring then shifted +3,
122554,litu122554A,litu122554A_shifted,LITU,included,,1935,2013,-2,medium,,"good correlation with shift, but I can't find 2 extra rings to explain shift","Markings good, everything clear and easy to see",
122554,litu122554B,litu122554B_shifted,LITU,included,,1935,2012,-3,medium,,good correlation,Easy to see; can't find 3 rings to split,
12367,litu12367B,litu12369B_shifted,LITU,included,,1962,2016,1,medium,,some correlation; but could shift 2 more,oldest rings could maybe be split,
12369,litu12369A,litu12369A_shifted,LITU,included,,1955,2013,-2,medium,,Good correlation with -2 shift,split 1962? Combine 1968?,"In litu12369A_shifted_remeasured, I split 1960 and 1962 but it didn't work; likely means shift needs to happen in newer years"
131192,LITU131192A,LITU131192A_shifted,LITU,included,,1956,2008,-9,low,,narrow 1977,"very narrow most recent years, missing outer years",
140820,LITU140820A,LITU140820A_shifted,LITU,included,"very low correlation, shift back +1",1923,2016,-1,medium/low,,"very narrow rings from early 90s on, difficult to see correlation, narrow 1947 and 1991 but difficult to tell since all are so narrow",,
