"tag","sp","stemtag","quadrat","treeID","stemID","dbh2008","dbh2013","dbh2018","biannual","intraannual","cored","year.cored","status","illum","crown.condition","crown.position","tree.notes","lx","ly","gx","gy","NAD83_X","NAD83_Y","lat","lon"
60252,"cagl",1,604,7249,7249,188.7,204.8,195,0,0,1,"2010-2011","alive",3,1,"sub-canopy","Poss dead",6.5,0.2,106.5,60.2,747490.5957,4308569.093,38.89115429,-78.14648812
60386,"cagl",1,609,7378,7378,262.4,292.5,274,0,0,1,"2010-2011","alive",3,3,"sub-canopy","",7.6,17.4,107.6,177.4,747488.9765,4308686.286,38.89220953,-78.14646453
70152,"cagl",1,706,8172,8172,235.9,236.4,240,0,0,1,"2010-2011","alive",3,4,"sub-canopy","",1.3,8.5,121.3,108.5,747504.2712,4308617.723,38.89158812,-78.1463131
80301,"cagl",1,804,9383,9383,152.2,158.1,160,0,0,1,"2010-2011","alive",2,4,"sub-canopy","",0.1,18,140.1,78,747523.7738,4308587.667,38.89131212,-78.14609933
90522,"cagl",1,910,10768,10768,324.1,327.3,330,0,0,1,"2010-2011","alive",3,4,"sub-canopy","",10.8,7.2,170.8,187.2,747551.9321,4308697.55,38.89229317,-78.14573543
90542,"cagl",1,911,10788,10788,376.4,382.9,387,0,0,1,"2010-2011","alive",3,4,"sub-canopy","",13.9,12.4,173.9,212.4,747554.4467,4308722.815,38.89251985,-78.14569736
91321,"cagl",1,907,10993,10993,345.7,344,356,0,0,1,"2010-2011","alive",3,4,"sub-canopy","",9.2,3.6,169.2,123.6,747551.808,4308633.93,38.8917206,-78.14575979
91327,"cagl",1,907,10999,10999,398.7,422.3,445,0,0,1,"2010-2011","alive",3,4,"sub-canopy","",1,5.3,161,125.3,747543.5708,4308635.439,38.89173651,-78.14585411
91487,"cagl",1,908,11153,11153,345,349.5,358,0,0,1,"2010-2011","alive",3,4,"sub-canopy","",14,11.8,174,151.8,747555.9525,4308662.234,38.89197418,-78.14570186
100680,"cagl",1,1004,12332,12332,277.8,280.9,278,0,0,1,"2010-2011","dead",3,2,"sub-canopy","Poss dead",1.6,1,181.6,61,747565.657,4308571.635,38.89115602,-78.14562276
100961,"cagl",1,1010,12584,12584,224.5,230.6,234,0,0,1,"2010-2011","alive",2,4,"sub-canopy","Poss dead",18.3,14.2,198.3,194.2,747579.2623,4308705.186,38.89235419,-78.14541792
100974,"cagl",1,1011,12597,12597,168.5,176.9,188,0,0,1,"2010-2011","alive",3,4,"sub-canopy","",18.3,4.3,198.3,204.3,747579.028,4308715.283,38.89244514,-78.14541698
101159,"cagl",1,1013,12778,12778,223.8,229,234,0,0,1,"2010-2011","alive",3,3,"sub-canopy","",3.2,6.8,183.2,246.8,747562.9461,4308757.422,38.89282893,-78.145587
111212,"cagl",1,1112,14558,14558,153,155.5,158,0,0,1,"2010-2011","alive",2,4,"sub-canopy","",12,9.9,212,229.9,747592.1304,4308741.194,38.89267465,-78.14525674
112256,"cagl",1,1122,14973,14973,103.8,102.8,98,0,0,1,"2016-2017","dead",1,1,"sub-canopy","",10.8,19.6,210.8,439.6,747586.0659,4308950.81,38.89456297,-78.145251
121088,"cagl",1,1207,16195,16195,208.3,215,220,0,0,1,"2010-2011","alive",1,4,"sub-canopy","",4.4,6.7,224.4,126.7,747606.9212,4308638.31,38.89174449,-78.1451235
131032,"cagl",1,1308,17958,17958,333.3,340,345,0,0,1,"2010-2011","alive",3,4,"sub-canopy","",14.5,17.7,254.5,157.7,747636.294,4308670,38.89202143,-78.1447738
172210,"cagl",1,1717,25512,25512,102.2,102.8,101,0,0,1,"2016-2017","dead",1,1,"sub-canopy","",16.3,19.2,336.3,339.2,747713.9,4308853,38.89365,-78.14381
50336,"caovl",1,506,6222,6222,330.3,332.8,337,0,0,1,"2010-2011","alive",4,2,"canopy","",3.7,14.3,83.7,114.3,747466.5468,4308622.649,38.89164309,-78.14674578
50356,"caovl",1,507,6242,6242,387.8,405.8,424,0,0,1,"2010-2011","alive",5,4,"canopy","",7.7,12.1,87.7,132.1,747470.1328,4308640.537,38.89180307,-78.14669803
70162,"caovl",1,706,8182,8182,451.8,477,474,0,0,1,"2010-2011","alive",4,4,"canopy","",6,19.8,126,119.8,747508.7078,4308629.129,38.89168953,-78.14625789
80554,"caovl",1,813,9630,9630,456.8,489.2,529,1,0,1,"2010-2011","alive",5,4,"canopy","",6.9,11.2,146.9,251.2,747526.5538,4308760.978,38.89287119,-78.14600484
80640,"caovl",1,811,9712,9712,548.9,569,585,0,0,1,"2010-2011","alive",4,4,"canopy","",0.7,14.4,140.7,214.4,747521.2092,4308724.044,38.89254028,-78.1460797
90552,"caovl",1,912,10798,10798,402.7,421.5,445,0,0,1,"2010-2011","alive",4,4,"canopy","",19.1,6.6,179.1,226.6,747559.3158,4308737.132,38.89264734,-78.14563612
91302,"caovl",1,906,10975,10975,603.2,625.1,660,0,0,1,"2010-2011","alive",4,4,"canopy","",14.2,5.7,174.2,105.7,747557.2219,4308616.151,38.89155906,-78.14570385
91332,"caovl",1,907,11004,11004,477.9,490.1,489,0,0,1,"2010-2011","alive",5,4,"canopy","",9.8,9,169.8,129,747552.2826,4308639.343,38.89176918,-78.14575238
111081,"caovl",1,1110,14430,14430,429.6,435.7,453,0,0,1,"2010-2011","alive",5,3,"canopy","",15.6,5,215.6,185,747596.7711,4308696.39,38.89227009,-78.14521945
50262,"caovl",1,505,6150,6150,164.4,172,179,0,0,1,"2010-2011","alive",2,4,"sub-canopy","",1.2,0.9,81.2,80.9,747464.8223,4308589.2,38.89134252,-78.14677769
50442,"caovl",1,507,6325,6325,399.9,406.1,413,0,0,1,"2010-2011","alive",3,4,"sub-canopy","",9.4,18.2,89.4,138.2,747471.6908,4308646.675,38.89185788,-78.14667788
60124,"caovl",1,606,7126,7126,303.3,300,296,0,0,1,"2010-2011","alive",3,4,"sub-canopy","",14.2,15.8,114.2,115.8,747497.0038,4308624.856,38.89165437,-78.14639422
60358,"caovl",1,608,7351,7351,236.6,246.1,255,0,0,1,"2010-2011","alive",3,4,"sub-canopy","",0.1,7.3,100.1,147.3,747482.1768,4308656.021,38.89193904,-78.14655374
80503,"caovl",1,809,9579,9579,255.6,261.2,261,0,0,1,"2010-2011","alive",3,3,"sub-canopy","",12.7,17.9,152.7,177.9,747534.0527,4308687.833,38.89221074,-78.14594484
91385,"caovl",1,909,11053,11053,420.8,429.8,442,0,0,1,"2010-2011","alive",3,4,"sub-canopy","",8,9.6,168,169.6,747549.5412,4308679.89,38.89213489,-78.14576933
100963,"caovl",1,1010,12586,12586,182.4,192.6,204,0,0,1,"2010-2011","alive",3,4,"sub-canopy","",11.1,14.7,191.1,194.7,747572.0527,4308705.519,38.89235922,-78.14550083
121162,"caovl",1,1208,16262,16262,307.9,306.6,309,0,0,1,"2010-2011","alive",3,4,"sub-canopy","",18.2,18.2,238.2,158.2,747619.9868,4308670.121,38.89202712,-78.14496156
121301,"caovl",1,1211,16396,16396,230.8,241.3,252,1,0,1,"2010-2011","alive",3,4,"sub-canopy","",1.2,2.5,221.2,202.5,747601.9636,4308714.015,38.89242726,-78.1451533
130788,"caovl",1,1309,17734,17734,151.1,151.6,149,0,0,1,"2010-2011","dead",2,1,"sub-canopy","Poss dead",7.7,7.7,247.7,167.7,747629.2638,4308679.839,38.89211197,-78.14485122
131061,"caovl",1,1309,17987,17987,291.6,291.9,296,0,0,1,"2010-2011","alive",3,4,"sub-canopy","",17,12,257,172,747638.4616,4308684.354,38.89215001,-78.14474366
131091,"caovl",1,1311,18017,18017,219.5,221.5,227,0,0,1,"2010-2011","alive",3,4,"sub-canopy","",12.2,2.3,252.2,202.3,747632.9599,4308714.534,38.8924232,-78.14479614
131138,"caovl",1,1311,18064,18064,206.4,211.5,215,0,0,1,"2010-2011","alive",3,4,"sub-canopy","",3.4,2,243.4,202,747624.1692,4308714.03,38.89242114,-78.14489756
140810,"caovl",1,1410,19598,19598,214.7,223,222,0,0,1,"2010-2011","alive",3,4,"sub-canopy","",5.2,8.4,265.2,188.4,747646.3,4308701,38.8923,-78.14465
12080,"cato",1,119,1767,1767,315.9,322.1,322.1,0,0,1,"2010-2011","dead",NA,NA,"sub-canopy","CF",7.1,17.8,7.1,377.8,747383.8544,4308884.301,38.89402133,-78.14760384
62100,"cato",1,619,7678,7678,119.5,124.9,121,0,0,1,"2016-2017","dead",NA,NA,"sub-canopy","CF",0.8,5.1,100.8,365.1,747477.8238,4308873.778,38.89390015,-78.14652539
62369,"cato",1,628,7945,7945,296.1,295.3,293,0,0,1,"2016-2017","dead",3,1,"sub-canopy","Poss dead",14,11.9,114,551.9,747486.6866,4309060.834,38.89558122,-78.14635589
80479,"cato",1,809,9555,9555,186,189.7,189.7,0,0,1,"2010-2011","dead",NA,NA,"sub-canopy","CF",11.6,3.5,151.6,163.5,747533.2871,4308673.411,38.89208116,-78.14595886
90639,"cato",1,912,10883,10883,133.1,128.6,128.6,0,0,1,"2016-2017","dead",NA,NA,"sub-canopy","CF",5.6,5.6,165.6,225.6,747545.8427,4308735.819,38.89263932,-78.14579176
111227,"cato",1,1113,14573,14573,172.8,174.7,174.7,0,0,1,"2016-2017","dead",2,1,"sub-canopy","",15.5,7.3,215.5,247.3,747595.2258,4308758.671,38.89283107,-78.14521479
130992,"cato",1,1307,17920,17920,159.6,159.6,159,0,0,1,"2016-2017","dead",1,1,"sub-canopy","",12.7,4,252.7,124,747635.2763,4308636.267,38.89171811,-78.14479769
131179,"cato",1,1313,18104,18104,292.8,295.9,295.9,0,0,1,"2016-2017","dead",3,1,"sub-canopy","",2.2,5.7,242.2,245.7,747621.9557,4308757.691,38.89281472,-78.1449073
131183,"cato",1,1313,18108,18108,176.9,179.4,179.4,0,0,1,"2010-2011","dead",3,3,"sub-canopy","",0.5,12.1,240.5,252.1,747620.1077,4308764.05,38.89287247,-78.14492629
152057,"cato",1,1518,21818,21818,253.8,254.8,255,0,0,1,"2016-2017","dead",NA,NA,"sub-canopy","CF",2.5,13.4,282.5,353.4,747659.7,4308866,38.89378,-78.14443
152464,"cato",1,1523,22206,22206,194.7,193.6,213,0,0,1,"2016-2017","dead",3,1,"sub-canopy","",7.5,19.8,287.5,459.8,747662.3,4308973,38.89474,-78.14437
171194,"cato",1,1709,25023,25023,210.8,219.3,198,0,0,1,"2016-2017","dead",3,1,"sub-canopy","",3.4,18.5,323.4,178.5,747704.7,4308692,38.8922,-78.14398
202341,"cato",1,2023,30714,30714,193.8,197.2,197.2,0,0,1,"2016-2017","dead",1,1,"sub-canopy","",1.7,5.3,381.7,445.3,747756.8,4308960,38.8946,-78.14328
30214,"fagr",1,305,3855,3855,122.1,134.5,152,0,0,1,"2010-2011","alive",4,1,"canopy","Poss dead",14.6,4.7,54.6,84.7,747438.1413,4308592.382,38.89137867,-78.14708381
30233,"fagr",1,306,3874,3874,1030.4,1046.8,1072,1,1,1,"2010-2011","alive",4,4,"canopy","",15.6,16.2,55.6,116.2,747438.4103,4308623.897,38.89166224,-78.14706936
30483,"fagr",1,314,4112,4112,164.3,190.5,228,0,0,1,"2010-2011","alive",4,3,"canopy","",15.6,15.5,55.6,275.5,747434.7146,4308783.154,38.89309664,-78.14705453
40563,"fagr",1,406,5040,5040,344.5,365,406,1,1,1,"2010-2011","alive",4,4,"canopy","",3.6,17.8,63.6,117.8,747446.371,4308625.682,38.89167606,-78.14697704
50557,"fagr",1,513,6437,6437,265.3,279.7,317,0,0,1,"2010-2011","alive",4,4,"canopy","",9.2,18.4,89.2,258.4,747468.7023,4308766.838,38.89294022,-78.14666899
60111,"fagr",1,605,7113,7113,410.2,435,461,0,0,1,"2010-2011","alive",4,4,"canopy","",10.4,14.6,110.4,94.6,747493.6966,4308603.574,38.89146375,-78.14643998
152529,"fagr",1,1526,22264,22264,283.1,313.6,354,0,0,1,"2010-2011","alive",4,4,"canopy","",16.5,2.5,296.5,502.5,747670.3,4309016,38.89512,-78.14426
10194,"fagr",1,104,1165,1165,275.8,307.8,346,0,0,1,"2010-2011","alive",2,4,"sub-canopy","",14.9,13.2,14.9,73.2,747398.7188,4308579.964,38.89127801,-78.1475423
10619,"fagr",1,111,1558,1558,189.9,213,231,0,0,1,"2010-2011","alive",2,4,"sub-canopy","",4.3,8.3,4.3,208.3,747384.9874,4308714.782,38.89249528,-78.14765187
10647,"fagr",1,112,1586,1586,142.5,153,173,0,0,1,"2010-2011","alive",3,4,"sub-canopy","",9.5,13.5,9.5,233.5,747389.6014,4308740.096,38.89272181,-78.14758961
10664,"fagr",1,114,1603,1603,135,148,164,0,0,1,"2010-2011","alive",3,4,"sub-canopy","",16.8,9.7,16.8,269.7,747396.0596,4308776.455,38.89304724,-78.14750213
10675,"fagr",1,114,1613,1613,186.5,208,227,0,0,1,"2010-2011","alive",2,4,"sub-canopy","",12.1,11.5,12.1,271.5,747391.3191,4308778.146,38.89306379,-78.14755612
10730,"fagr",1,115,1668,1668,137.3,145.5,153,0,0,1,"2010-2011","alive",1,4,"sub-canopy","",9.8,15.7,9.8,295.7,747388.4583,4308802.286,38.89328186,-78.14758037
10743,"fagr",1,115,1681,1681,116.1,124,138,0,0,1,"2010-2011","alive",1,4,"sub-canopy","",18.7,19.8,18.7,299.8,747397.2608,4308806.591,38.89331814,-78.14747744
12032,"fagr",1,118,1720,1720,159,182,217,0,0,1,"2010-2011","alive",3,4,"sub-canopy","",8.8,8.6,8.8,348.6,747386.2314,4308855.148,38.89375827,-78.14758697
20627,"fagr",1,209,2817,2817,185.6,221.9,245,0,0,1,"2010-2011","alive",2,4,"sub-canopy","",16,15.7,36,175.7,747417.4352,4308682.926,38.89219943,-78.14728965
20693,"fagr",1,211,2878,2878,199.8,232.2,289,0,0,1,"2010-2011","alive",3,4,"sub-canopy","",16.1,19.8,36.1,219.8,747416.5121,4308727.016,38.89259652,-78.1472844
20820,"fagr",1,216,3003,3003,181.5,186.5,192,0,0,1,"2010-2011","alive",2,3,"sub-canopy","",5.6,4.6,25.6,304.6,747404.0476,4308811.55,38.89336086,-78.14739749
20847,"fagr",1,216,3028,3028,100.5,110.1,131,0,0,1,"2010-2011","alive",2,4,"sub-canopy","",17.5,14.6,37.5,314.6,747415.7124,4308821.823,38.89345003,-78.14725945
30333,"fagr",1,306,3969,3969,206.7,222,244,1,1,1,"2010-2011","alive",3,4,"sub-canopy","",14,19.3,54,119.3,747436.7388,4308626.959,38.89169027,-78.14708751
30421,"fagr",1,311,4052,4052,618.1,622,626,0,0,1,"2010-2011","alive",3,4,"sub-canopy","",13.1,2.8,53.1,202.8,747433.9019,4308710.415,38.8924422,-78.14709011
30472,"fagr",1,314,4101,4101,103.4,120,133,0,0,1,"2010-2011","alive",3,4,"sub-canopy","",15.4,7.3,55.4,267.3,747434.7049,4308774.951,38.89302282,-78.1470576
30534,"fagr",1,314,4159,4159,111.7,111.8,112,0,0,1,"2010-2011","alive",1,4,"sub-canopy","",5.1,15.4,45.1,275.4,747424.2198,4308782.81,38.89309651,-78.14717553
40479,"fagr",1,405,4956,4956,151.4,165,194,0,0,1,"2010-2011","alive",3,4,"sub-canopy","",1.6,0,61.6,80,747445.2485,4308587.846,38.89133584,-78.1470036
40480,"fagr",1,405,4957,4957,159.4,175.4,197,0,0,1,"2010-2011","alive",3,4,"sub-canopy","",2.2,1.3,62.2,81.3,747445.8182,4308589.159,38.8913475,-78.14699657
40485,"fagr",1,405,4962,4962,163.5,184.5,211,0,0,1,"2010-2011","alive",3,4,"sub-canopy","",7.5,5.8,67.5,85.8,747451.0123,4308593.781,38.89138764,-78.14693508
40493,"fagr",1,405,4970,4970,140.8,166.5,187,0,0,1,"2010-2011","alive",2,4,"sub-canopy","",9.3,8.9,69.3,88.9,747452.7399,4308596.922,38.89141542,-78.14691405
40536,"fagr",1,405,5013,5013,127,134.8,151,0,0,1,"2010-2011","alive",3,4,"sub-canopy","",18.7,8.1,78.7,88.1,747462.156,4308596.34,38.89140753,-78.14680582
40549,"fagr",1,406,5026,5026,159.9,174.8,201,0,0,1,"2010-2011","alive",3,4,"sub-canopy","",15.8,0.9,75.8,100.9,747458.9598,4308609.069,38.891523,-78.14683804
40554,"fagr",1,406,5031,5031,406.2,430.5,464,0,0,1,"2010-2011","alive",3,4,"sub-canopy","",18,10.3,78,110.3,747460.9411,4308618.518,38.89160748,-78.14681182
40585,"fagr",1,408,5062,5062,141,161,195,0,0,1,"2010-2011","alive",2,4,"sub-canopy","",4.6,8.6,64.6,148.6,747446.6562,4308656.497,38.89195333,-78.14696265
40873,"fagr",1,412,116,116,640.7,641.3,378,0,0,1,"2010-2011","alive",4,4,"sub-canopy","",15.9,13.4,75.9,233.4,747455.9859,4308741.536,38.89271608,-78.14682456
40889,"fagr",1,413,5353,5353,130.1,144,166,0,0,1,"2010-2011","alive",3,4,"sub-canopy","",14.9,4.2,74.9,244.2,747454.7356,4308752.31,38.8928134,-78.14683507
50299,"fagr",1,506,6187,6187,176.5,191.6,213,0,0,1,"2010-2011","alive",2,4,"sub-canopy","",13.9,2.3,93.9,102.3,747477.0224,4308610.889,38.89153429,-78.14662937
50301,"fagr",1,505,6189,6189,103,113,124,0,0,1,"2010-2011","alive",2,4,"sub-canopy","",3.4,1.2,83.4,81.2,747467.0148,4308589.551,38.89134506,-78.14675231
50330,"fagr",1,506,6217,6217,146.2,157.9,169,0,0,1,"2010-2011","alive",1,4,"sub-canopy","",9.5,8.1,89.5,108.1,747472.4891,4308616.585,38.89158684,-78.14667953
50340,"fagr",1,506,6226,6226,152.7,162.4,173,0,0,1,"2010-2011","alive",2,4,"sub-canopy","",7.7,17.8,87.7,117.8,747470.4645,4308626.241,38.89167431,-78.14669936
50433,"fagr",1,507,6316,6316,127.2,141.7,161,0,0,1,"2010-2011","alive",1,4,"sub-canopy","",17.9,10.3,97.9,130.3,747480.3718,4308638.974,38.89178612,-78.14658068
50559,"fagr",1,514,6439,6439,206.6,226.7,253,0,0,1,"2010-2011","alive",3,4,"sub-canopy","",5.6,7.6,85.6,267.6,747464.8898,4308775.952,38.89302333,-78.14670961
50563,"fagr",1,514,6443,6443,208.7,265.7,302,0,0,1,"2010-2011","alive",3,4,"sub-canopy","",2.6,14.9,82.6,274.9,747461.7213,4308783.18,38.89308928,-78.1467435
50652,"fagr",1,514,6523,6523,175.2,200.4,233,0,0,1,"2010-2011","alive",3,4,"sub-canopy","",9.1,14.9,89.1,274.9,747468.2195,4308783.331,38.8930888,-78.1466686
52130,"fagr",1,520,6681,6681,161.7,177.2,196,0,0,1,"2010-2011","alive",3,3,"sub-canopy","",5.9,14.1,85.9,394.1,747462.255,4308902.425,38.89416237,-78.14669437
60086,"fagr",1,605,7091,7091,170.5,186.2,205,0,0,1,"2010-2011","alive",3,4,"sub-canopy","",10.7,0.8,110.7,80.8,747494.3167,4308589.784,38.89133947,-78.14643781
60129,"fagr",1,606,7131,7131,146.8,159.9,172,0,0,1,"2010-2011","alive",2,4,"sub-canopy","",9.5,17.4,109.5,117.4,747492.2679,4308626.347,38.89166912,-78.14644822
60145,"fagr",1,607,7147,7147,205.2,219.5,237,0,0,1,"2010-2011","alive",3,3,"sub-canopy","",13,16.1,113,136.1,747495.3332,4308645.123,38.89183725,-78.14640616
60295,"fagr",1,605,7289,7289,109.6,125.2,144,0,0,1,"2010-2011","alive",3,4,"sub-canopy","",3.2,14.2,103.2,94.2,747486.5078,4308603.007,38.89146068,-78.14652297
60339,"fagr",1,607,7333,7333,157.3,171.4,173,0,0,1,"2010-2011","alive",2,2,"sub-canopy","",6.2,7.6,106.2,127.6,747488.7322,4308636.467,38.89176121,-78.1464853
60426,"fagr",1,612,7413,7413,282.7,301.9,325,0,0,1,"2010-2011","alive",3,4,"sub-canopy","",2.6,3,102.6,223,747482.9199,4308731.758,38.89262049,-78.14651789
60467,"fagr",1,615,7452,7452,153.6,193.8,242,0,0,1,"2010-2011","alive",4,4,"sub-canopy","",1.2,14.7,101.2,294.7,747479.8569,4308803.406,38.89326621,-78.14652734
60486,"fagr",1,616,7471,7471,152.8,171.2,197,0,0,1,"2010-2011","alive",2,4,"sub-canopy","",6,15.7,106,315.7,747484.1685,4308824.512,38.89345496,-78.14647008
70018,"fagr",1,701,8055,8055,199.1,215.4,247,0,0,1,"2010-2011","alive",3,4,"sub-canopy","",8.4,17,128.4,17,747513.492,4308526.412,38.8907637,-78.14623982
70180,"fagr",1,707,8199,8199,147,156,172,0,0,1,"2010-2011","alive",2,4,"sub-canopy","",13.1,17.4,133.1,137.4,747515.3976,4308646.889,38.89184749,-78.14617445
70182,"fagr",1,707,8201,8201,193.6,206.1,221,0,0,1,"2010-2011","alive",3,4,"sub-canopy","",6.5,19.4,126.5,139.4,747508.753,4308648.735,38.89186598,-78.1462503
90062,"fagr",1,902,10331,10331,216.8,239.9,273,0,0,1,"2010-2011","alive",3,4,"sub-canopy","",4.7,9,164.7,29,747549.5039,4308539.251,38.89086911,-78.14582046
90121,"fagr",1,903,10386,10386,216.5,241,262,0,0,1,"2010-2011","alive",3,4,"sub-canopy","",2.2,9.3,162.2,49.3,747546.5336,4308559.488,38.89105208,-78.14584737
90276,"fagr",1,903,10532,10532,242.9,262.2,280,0,0,1,"2010-2011","alive",3,4,"sub-canopy","",14.5,7.1,174.5,47.1,747558.8813,4308557.574,38.89103138,-78.14570586
90278,"fagr",1,903,10534,10534,161,179,198,0,0,1,"2010-2011","alive",3,4,"sub-canopy","",18.2,12,178.2,52,747562.4667,4308562.558,38.89107523,-78.14566277
90567,"fagr",1,912,10813,10813,155.7,170.2,171,0,0,1,"2010-2011","alive",3,4,"sub-canopy","",10.3,12.3,170.3,232.3,747550.386,4308742.626,38.8926993,-78.14573698
90616,"fagr",1,910,10861,10861,209.7,221.3,233,0,0,1,"2010-2011","alive",2,4,"sub-canopy","",0.2,13.8,160.2,193.8,747541.1819,4308703.902,38.89235337,-78.14585695
90658,"fagr",1,913,10902,10902,220.8,245.1,265,0,0,1,"2010-2011","alive",3,4,"sub-canopy","",0.3,5.4,160.3,245.4,747540.0848,4308755.491,38.89281799,-78.14585098
92562,"fagr",1,932,11705,11705,146.9,170.2,185,0,0,1,"2010-2011","alive",3,4,"sub-canopy","",15.2,16.9,175.2,636.9,747545.8982,4309147.231,38.89634214,-78.14564279
100956,"fagr",1,1010,12579,12579,158,150.4,165,0,0,1,"2010-2011","alive",3,4,"sub-canopy","",11.7,1.3,191.7,181.3,747572.9634,4308692.137,38.89223852,-78.14549517
