"tag","coreID","sp","status.at.coring","1777","1778","1779","1780","1781","1782","1783","1784","1785","1786","1787","1788","1789","1790","1791","1792","1793","1794","1795","1796","1797","1798","1799","1800","1801","1802","1803","1804","1805","1806","1807","1808","1809","1810","1811","1812","1813","1814","1815","1816","1817","1818","1819","1820","1821","1822","1823","1824","1825","1826","1827","1828","1829","1830","1831","1832","1833","1834","1835","1836","1837","1838","1839","1840","1841","1842","1843","1844","1845","1846","1847","1848","1849","1850","1851","1852","1853","1854","1855","1856","1857","1858","1859","1860","1861","1862","1863","1864","1865","1866","1867","1868","1869","1870","1871","1872","1873","1874","1875","1876","1877","1878","1879","1880","1881","1882","1883","1884","1885","1886","1887","1888","1889","1890","1891","1892","1893","1894","1895","1896","1897","1898","1899","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
100974,"100974","cagl","alive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.748,0.692,0.62,0.246,0.166,0.326,0.55,0.466,0.378,0.284,0.1,0.146,0.138,0.142,0.23,0.368,0.3,0.496,0.794,1.568,2.28,1.586,1.96,1.086,2.162,1.25,0.92,1.2,0.852,0.974,0.248,0.848,0.788,0.764,0.794,0.442,0.646,1.168,1.188,0.576,0.316,0.342,0.51,0.916,1.028,1.242,1.316,1.68,1.78,1.666,1.308,1.012,1.444,2.084,2.344,1.198,1.272,1.208,1.376,1.068,0.978,0.954,0.928,0.766,1.082,1.164,1.116,1.334,0.88,1.066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101159,"101159r","cagl","alive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.191,0.294,0.393,0.296,0.459,0.764,0.525,0.727,1.077,1.356,0.663,0.897,0.984,1.135,1.423,1.002,1.395,1.045,0.687,0.798,1.257,1.995,1.874,2.161,1.777,1.341,1.536,2.727,1.895,0.825,0.752,0.61,0.575,0.704,0.888,1.221,0.756,0.589,0.683,0.415,0.331,0.267,0.18,0.265,0.538,0.505,0.582,0.514,0.648,0.413,0.692,0.608,0.803,1.174,1.318,1.447,1.685,1.668,2.229,1.415,1.877,1.153,1.272,1.569,1.306,1.795,1.285,1.13,0.796,1.545,1.367,1.342,0.657,1.003,0.834,0.542,0.289,0.32,0.708,0.627,0.504,0.503,0.419,0.456,0.473,0.413,0.487,0.456,0.266,0.436,0.259,0.247,0.25,0.136,0.243,0.171,0.174,0.14,0.183,0.222,0.341,0.253,0.327,0.111,0.388,0.358,0.198,0.253,0.281,0.308,0.337,0.276,0.425,0.408,0.319,0.464,0.476,0.434,0.407,0.159,0.268,0.202,0.207,0.249,0.376,0.257,0.334,0.22,0.401,0.283,0.403,0.376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111094,"111094","cagl","alive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.016,2.126,2.126,1.924,1.838,2.888,3.632,4.124,2.222,2.516,2.276,2.024,1.662,2.016,1.47,1.396,0.372,0.938,0.646,0.796,0.806,0.726,0.862,2.522,3.07,4.068,3.376,4.788,2.646,2.852,2.746,2.228,2.964,1.856,2.386,1.132,1.1,1.956,1.75,2.186,1.71,1.5,1.124,1.2,1.71,1.498,1.482,0.946,1.448,2.294,1.196,1.446,1.446,1.406,2.54,3.02,1.846,1.858,0.992,2.224,1.104,0.978,1.322,1.642,0.984,0.976,0.75,0.896,1.288,0.836,1.364,1.148,0.666,0.486,0.568,0.524,0.904,0.65,0.48,NA,NA,NA,NA,NA,NA,NA,NA
111212,"111212","cagl","alive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.166,1.314,1.536,1.46,1.448,1.438,1.412,1.086,1.416,1.044,0.988,1.352,0.932,0.714,0.466,1.358,1.018,0.764,0.844,0.8,0.528,2.462,4.45,2.466,2.128,0.98,0.984,0.8,0.77,0.666,0.498,0.42,0.358,0.288,0.426,0.364,0.322,0.288,0.406,0.336,0.408,0.362,0.488,0.41,0.594,0.296,0.218,0.22,0.262,0.34,0.308,0.276,0.306,0.214,0.264,0.262,0.224,0.21,NA,NA,NA,NA,NA,NA,NA,NA
112256,"112256A","cagl","dead",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.992,0.754,0.684,0.893,0.713,0.472,0.544,0.57,0.543,0.496,0.453,0.458,1.11,1.747,1.38,1.159,1.362,1.258,1.405,1.154,1.172,1.161,0.935,1.006,0.732,0.982,1.267,0.99,0.85,0.501,0.447,0.445,0.328,0.208,0.146,0.23,0.327,0.778,0.765,0.699,0.674,0.571,0.824,0.491,0.224,0.227,0.249,0.276,0.247,0.234,0.397,0.222,0.186,0.152,0.293,0.255,0.171,0.18,0.213,0.245,0.184,NA,NA
121088,"121088","cagl","alive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.816,1.324,1.792,1.218,1.262,0.912,0.704,0.316,0.44,0.29,0.462,0.484,0.364,0.57,0.576,0.24,0.292,0.094,0.118,0.17,0.288,0.58,1.452,2.186,2.562,2.526,1.452,0.776,1.426,1.002,1.778,1.576,1.068,1.648,1.338,1.204,1.312,0.598,0.788,0.69,0.45,0.338,0.45,0.326,0.532,0.336,0.596,0.47,0.372,0.216,0.534,0.572,1.062,1.636,1.356,1.288,1.494,0.87,1.334,1.16,1.096,1.088,1.024,1.072,0.976,1.384,1.25,1.246,1.078,0.622,0.682,0.946,0.634,0.64,1.054,0.824,0.634,0.938,1.682,1.486,0.958,1.06,0.644,0.57,0.664,0.548,0.446,0.532,0.534,0.582,0.528,0.424,0.626,0.456,0.554,0.428,0.518,0.514,0.47,0.382,0.446,0.482,0.33,0.286,0.416,0.638,0.478,0.44,NA,NA,NA,NA,NA,NA,NA,NA
121105,"121105","cagl","alive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.784,1.938,1.354,1.55,1.666,1.012,1.822,2.484,2.848,2.52,2.74,2.256,1.574,1.564,2.048,2.224,2.188,1.872,2.774,1.96,2.132,2.002,2.012,1.908,1.856,1.458,1.46,1.152,1.148,1.16,1.21,1.22,1.2,1.032,1.126,0.93,1.084,0.696,0.802,0.78,0.624,0.626,0.612,0.69,0.506,0.62,0.656,0.928,1.032,1.954,1.952,2.456,2.498,1.864,2.438,2.286,1.64,2.266,1.534,1.878,1.558,1.834,1.904,1.95,1.802,1.49,1.932,1.798,1.454,2.23,2.646,2.002,3.004,2.56,2.754,2.468,2.846,1.978,2.04,1.85,1.462,4.34,3.724,3.432,3.052,1.754,1.948,1.132,1.49,1.592,2.146,1.272,1.318,1.084,1.052,1.23,1.21,2.08,1.546,1.592,1.522,1.08,1.642,1.496,NA,NA,NA,NA,NA,NA,NA,NA
131032,"131032","cagl","alive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.192,0.764,1.07,0.84,0.46,0.686,0.55,0.894,0.382,0.47,0.274,0.366,0.226,0.256,0.438,0.702,0.708,0.576,0.386,0.384,0.528,0.58,0.546,0.654,0.498,0.416,0.424,0.242,0.298,0.318,0.274,0.208,0.24,0.184,0,0.668,0.546,0.342,0.366,0,0.518,0.978,1.446,0.866,1.314,0.768,1.006,0.88,0.89,0.614,0.574,0.638,0.444,0.43,0.256,0.458,0.374,0.536,0.78,0.306,0.706,0.464,0.542,0.322,0.256,0.286,0.248,0,0.3,0.202,0.194,0.154,0.24,0.268,1.42,2.148,2.604,2.666,3.298,1.89,1.848,1.644,1.134,1.53,1.038,1.034,0.988,0.914,1.038,1.042,0.996,0.702,1.006,1.258,0.942,0.956,1.106,0.924,0.878,1.322,1.372,1.07,1.616,1.232,0.836,1.374,1.272,1.444,0.974,1.522,2.31,0.626,0.688,0.962,1.302,0.82,0.836,0.644,0.622,0.616,0.408,0.598,1.192,0.948,1.25,0.88,0.792,1.222,1.154,0.862,NA,NA,NA,NA,NA,NA,NA,NA
131113,"131113","cagl","alive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.954,2.268,2.582,2.526,1.832,2.52,3.024,2.252,3.266,3.726,2.856,2.062,2.566,2.806,3.298,3.19,2.532,3.128,2.926,3.392,3.292,2.796,2.744,2.078,2.152,1.918,2.044,2.054,2.22,2.788,3.448,3.718,2.016,2.23,2.018,1.902,1.48,1.376,2.028,1.834,1.37,1.596,1.642,1.578,1.602,1.296,1.524,1.56,1.816,1.852,2.278,2.502,1.742,1.884,1.574,1.56,1.474,1.19,1.322,1.09,1.248,1.608,1.464,1.65,1.438,1.636,1.62,1.484,1.412,1.5,1.118,0.828,0.854,1.058,1.166,1.274,1.262,1.196,1.316,1.382,1.23,1.22,1.38,1.456,1.188,1.174,1.462,1.406,1.244,1.12,1.136,1.128,1.244,1.054,1.316,1.062,1.178,0.83,0.974,0.818,0.88,0.964,0.93,NA,NA,NA,NA,NA,NA,NA,NA
152053,"152053A","cagl","dead",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.258,0.169,0.202,0.23,0.184,0.199,0.331,0.252,0.191,0.208,0.165,0.388,0.349,0.33,0.603,0.39,0.362,0.55,0.656,0.69,0.495,0.48,0.423,0.727,0.41,0.489,0.447,0.347,0.649,0.443,0.469,0.515,0.58,0.343,0.254,0.352,0.327,0.251,0.137,0.163,0.276,0.202,0.464,0.407,1.3,2.019,2.783,1.95,1.522,1.28,1.72,1.151,1.624,1.54,1.129,1.569,1.091,1.849,1.823,1.177,1.654,0.814,0.901,0.851,0.871,0.705,0.988,0.597,0.483,0.795,0.448,0.463,0.388,0.407,0.5,0.411,0.556,0.396,0.489,0.346,0.304,0.312,0.274,0.34,0.3,0.247,0.321,0.295,0.193,0.188,0.298,0.336,0.429,NA,NA
172210,"172210A","cagl","dead",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.174,0.695,0.534,0.467,0.477,0.305,0.309,0.416,0.259,0.123,0.152,0.252,0.339,0.241,0.299,0.176,0.24,0.193,0.213,0.401,0.209,0.193,0.237,0.236,0.132,0.222,0.249,0.3,0.175,0.176,0.209,0.157,0.402,0.566,0.274,0.227,0.157,0.376,0.366,0.303,0.234,0.942,1.531,1.662,1.44,1.302,0.637,1.068,1.017,1.085,0.86,0.763,0.748,0.686,0.646,0.745,0.778,0.501,0.483,0.315,0.331,0.347,0.477,0.281,0.243,0.293,0.125,0.317,0.162,0.172,0.25,0.156,0.181,0.196,0.103,0.143,0.166,NA,NA,NA
172218,"172218Ar","cagl","dead",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.342,2.743,2.097,1.374,0.973,1.024,0.806,0.514,0.675,0.466,0.416,0.557,0.353,0.396,0.244,0.392,0.206,0.39,0.188,0.276,0.393,0.489,0.234,0.254,0.267,0.303,0.286,0.28,0.123,0.333,0.321,0.34,0.16,0.301,0.395,0.543,0.432,0.654,0.765,0.785,0.321,0.345,0.356,0.367,0.466,0.245,0.513,0.724,0.679,0.816,0.596,0.933,0.654,0.966,0.929,0.871,1.009,0.857,0.919,0.381,0.761,0.948,0.695,0.375,0.477,0.777,0.349,0.307,0.162,0.21,0.269,0.318,0.467,0.379,1.559,3.249,2.925,1.76,2.341,1.94,1.633,1.273,1.286,1.795,1.367,1.433,1.076,1.067,1.341,0.888,0.702,0.531,0.363,0.299,0.329,0.202,0.302,0.234,0.264,0.396,0.59,0.325,0.498,NA,NA,NA,NA,NA,NA,NA,NA
50262,"50262","caovl","alive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.082,1.12,0.914,1.024,0.804,0.624,0.948,0.76,0.686,0.646,0.414,0.548,0.632,0.446,0.648,0.742,0.648,0.51,0.95,0.728,0.78,0.678,0.822,0.87,0.552,0.46,0.44,0.632,0.868,0.916,0.598,0.706,0.416,0.588,0.36,0.464,0.588,0.536,0.588,0.516,0.798,0.942,0.77,0.678,0.654,0.574,0.602,0.448,0.564,0.566,0.814,0.612,0.478,0.6,0.646,0.544,0.49,0.576,0.53,0.7,0.644,0.532,0.656,0.454,0.636,1.508,0.574,0.322,0.324,1.034,0.426,NA,NA,NA,NA,NA,NA,NA
50336,"50336","caovl","alive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.376,0.948,1.38,1.32,1.1,1.062,1.032,0.51,0.392,0.336,0.582,0.282,0.304,0.322,0.278,0.302,0.304,0.232,0.184,0.058,0.238,0.156,0.156,0.352,0.4,0.23,0.574,0.998,1.098,1.766,2.26,2.212,1.644,3.226,3.486,2.59,3.462,2.676,4.276,2.496,2.394,1.24,1.092,1.608,1.648,1.286,1.122,1.346,1.568,1.558,1.276,1.126,1.508,1.282,1.416,1.324,1.402,1.114,1.192,1.12,1.04,0.95,1.096,0.952,1.148,1.312,1.07,1.546,1.076,1.17,0.72,0.478,0.64,0.5,0.542,0.554,0.376,0.686,0.59,0.694,0.662,0.816,0.86,1.364,0.788,1.006,1.132,0.774,1.028,0.826,0.78,0.668,0.792,0.878,0.936,0.926,1.114,1.234,0.69,0.746,1.368,1.896,1.432,1.2,1.088,1.694,1.392,1.166,0.72,0.498,0.382,0.392,0.398,0.498,0.442,0.286,0.33,NA,NA,NA,NA,NA,NA,NA,NA
50356,"50356","caovl","alive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.224,3.276,2.17,2.862,2.026,2.108,2.052,2.324,2.03,1.958,2.202,1.978,2.094,2.262,2.096,2.07,2.006,3.018,2.454,2.522,2.654,2.704,2.734,2.68,1.98,2.142,1.828,2.274,1.716,1.454,1.976,1.572,2.322,2.098,1.924,1.964,1.686,1.448,1.096,1.454,1.934,1.882,2.18,1.614,1.806,2.014,1.716,2.202,2.046,1.054,1.884,1.572,2.478,2.444,2.568,2.124,2.376,2.932,1.982,1.894,2.088,1.788,3.192,1.688,2.476,2.464,2.358,1.66,1.828,2.034,2.216,1.98,2.022,2.74,2.672,1.866,2.53,1.306,2.884,2.068,2.036,2.116,NA,NA,NA,NA,NA,NA,NA,NA
