"tag","coreID","sp","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
122187,"122187","pist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.509,1.404,1.238,1.289,0.983,1.249,1.364,0.461,0.429,0.439,0.484,0.916,1.188,1.124,1.335,0.911,1.097,0.964,1.136,1.112,0.993,0.819,0.721,0.553,0.887,0.922,1.062,1.028,1.13,0.954,0.571,0.649,0.648,0.57,0.829,0.925,1.173,1.098,0.732,0.09,0.758,0.638,0.6,0.601,0.631,0.899,0.819,0.856,0.924,0.668,0.835,0.853,1.363,1.464,1.438,0.978,0.471,0.892,0.889,0.855,0.899,1.006,0.849,0.846,0.8,0.54,0.727,NA,NA,NA,NA,NA,NA
122229,"122229","pist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.084,0.896,0.722,0.604,0.508,0.514,0.542,0.679,0.61,1.535,2.024,1.504,1.213,0.912,1.354,0.877,0.944,0.806,0.753,0.698,0.601,1.22,1.414,0.848,0.642,0.508,0.539,0.544,0.437,0.371,0.383,0.398,0.344,0.271,0.38,0.468,0.44,0.393,0.319,0.324,0.255,0.223,0.217,0.218,0.187,0.222,0.144,0.097,0.137,0.08,0.089,0.083,0.052,0.075,0.066,0.126,0.048,0.088,0.087,0.064,0.065,0.06,0.073,NA,NA,NA,NA,NA,NA
122256,"122256A","pist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.275,2.619,2.266,1.523,1.354,1.091,0.794,0.622,0.946,1.434,1.083,0.973,1.008,1.138,1.11,1.451,1.09,0.82,0.69,0.65,0.791,0.751,0.613,0.639,0.598,0.655,0.437,0.338,0.341,0.464,0.406,0.354,0.369,0.301,0.496,0.519,0.751,0.492,0.486,0.371,0.291,0.338,0.306,0.281,0.265,0.159,0.121,0.085,0.238,0.159,0.296,0.217,0.159,0.18,0.201,0.479,0.383,0.173,0.386,0.193,0.1,0.099,0.085,0.078,0.099,0.117,0.111,0.337,0.391,0.44,NA,NA,NA,NA,NA,NA
122256,"122256B","pist",NA,NA,NA,NA,NA,NA,NA,NA,1.283,1.395,1.095,1.287,1.05,1.541,1.277,1.167,1.007,0.946,0.585,0.588,0.508,0.782,1.132,1.098,1.373,0.84,1.075,1.136,1.257,1.422,0.813,0.905,0.709,0.772,0.64,0.693,0.465,0.697,0.713,0.766,0.566,0.418,0.396,0.549,0.5,0.461,0.42,0.67,0.819,0.642,0.798,0.407,0.496,0.398,0.262,0.302,0.348,0.345,0.227,0.117,0.105,0.166,0.179,0.258,0.3,0.174,0.174,0.215,0.133,0.298,0.324,0.221,0.153,0.124,0.203,0.213,0.2,0.265,0.111,0.088,0.117,NA,NA,NA,NA,NA,NA
122275,"122275","pist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.411,0.895,0.774,0.692,0.801,0.893,0.822,1.822,2.058,1.448,1.112,1.219,0.918,1.352,0.985,0.812,0.806,0.651,0.545,0.471,0.546,0.379,0.436,0.446,0.45,0.408,0.49,0.451,0.495,0.49,0.583,0.484,0.364,0.26,0.225,0.322,0.389,0.298,0.248,0.196,0.237,0.312,0.284,0.264,0.19,0.098,0.079,0.095,0.141,0.069,0.123,0.06,0.039,0.053,0.064,0.051,0.047,0.039,NA,NA,NA,NA,NA,NA
122275,"122275A","pist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.377,1.243,1.889,4.259,4.769,3.732,2.385,3.113,1.902,2.134,1.831,2.164,1.699,1.492,1.261,1.332,1.927,1.933,1.447,1.056,1.128,1.35,1.304,1.403,1.461,1.174,1.163,1.259,1.186,0.609,0.628,0.848,1.095,0.749,0.783,0.684,0.651,0.727,0.552,0.667,0.411,0.281,0.304,0.203,0.358,0.189,0.283,0.26,0.168,0.351,0.303,0.318,0.15,0.269,0.214,0.063,0.107,0.072,0.091,0.051,0.065,0.045
122275,"122275B","pist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.769,1.17,3.068,2.098,2.907,2.166,1.241,1.285,1.357,1.422,1.817,3.941,4.843,2.868,2.112,1.947,1.125,2.35,1.797,1.48,2.134,1.61,1.205,1.163,2.11,2.22,1.745,1.14,1.333,1.428,1.596,1.3,1.214,1.103,1.129,0.926,0.927,0.835,0.865,1.025,1.267,0.628,0.761,0.817,0.891,1.085,0.787,0.918,0.766,0.426,0.364,0.214,0.499,0.331,0.623,0.616,0.234,0.316,0.325,0.435,0.164,0.271,0.175,0.119,0.097,0.119,0.131
122278,"122278","pist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.852,2.084,1.849,1.732,1.579,1.98,1.714,1.571,1.54,1.968,2.221,2.182,1.495,1.692,1.242,1.494,1.827,1.793,1.439,0.697,1.843,1.846,1.659,1.584,1.488,1.491,1.457,1.58,1.235,1.918,NA,NA,NA,NA,NA,NA
122302,"122302","pist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.916,1.332,1.117,0.905,0.629,0.512,0.315,0.808,0.608,0.481,0.378,0.347,0.275,0.335,0.402,0.37,0.288,0.146,0.241,0.338,0.281,0.279,0.22,0.215,0.198,0.288,0.182,0.28,0.279,0.218,0.112,0.104,0.226,0.169,0.316,0.281,0.145,0.225,0.164,0.289,0.12,0.106,0.164,0.104,0.103,0.07,0.086,NA,NA,NA,NA,NA,NA
132194,"132194","pist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.468,1.363,1.533,1.46,1.811,1.462,0.978,1.926,1.463,1.701,0.899,0.796,0.17,0.117,0.146,0.278,0.414,0.683,0.876,0.688,0.789,0.523,0.715,0.561,0.462,0.351,0.312,0.318,0.247,0.388,0.445,0.309,0.376,0.487,0.525,0.738,0.598,0.816,0.745,0.807,0.437,0.722,0.796,0.617,0.676,0.6,0.614,0.48,0.429,0.516,0.472,0.603,0.785,0.212,0.473,0.327,0.565,0.527,0.209,0.271,0.23,0.347,0.354,0.411,0.49,0.463,0.38,0.237,0.219,NA,NA,NA,NA,NA,NA
132233,"132233","pist",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.233,2.271,2.286,1.534,1.574,1.343,0.993,1.532,0.922,1.647,1.18,0.859,0.653,0.749,1.067,0.705,0.654,1.031,0.815,0.74,0.553,0.367,0.427,0.595,0.535,0.649,0.677,0.535,0.542,0.607,0.631,0.596,0.562,0.393,0.46,0.455,0.481,0.477,0.526,0.455,0.425,0.317,0.555,0.498,0.949,1.002,1.112,0.883,0.918,0.823,0.948,2.933,1.142,0.638,0.567,0.635,0.616,1.133,1.744,1.201,0.739,0.35,0.796,0.921,1.107,1.128,0.749,0.884,0.833,1.037,0.83,0.931,NA,NA,NA,NA,NA,NA
132236,"132236","pist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.806,0.875,0.152,0.805,0.843,1.286,0.595,0.557,0.437,0.387,0.434,0.449,0.545,0.569,0.61,1.054,0.96,0.966,1.266,1.03,1.359,1.266,1.223,1.163,1.115,0.923,0.779,0.063,0.813,0.929,0.91,0.997,0.877,0.851,0.767,0.856,0.175,0.602,1.21,0.901,1.232,0.761,1.086,0.837,0.907,0.905,0.689,0.661,0.67,0.526,0.766,0.442,0.738,1.087,0.602,0.584,0.868,0.871,0.712,0.546,0.215,0.591,0.532,0.531,0.597,0.486,0.382,0.458,0.354,0.335,0.312,NA,NA,NA,NA,NA,NA
132241,"132241","pist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.012,1.169,0.753,0.709,0.748,0.837,0.777,0.676,0.717,1.05,0.786,0.797,0.688,0.805,1.136,1.152,1.641,1.521,1,0.853,0.68,0.071,0.783,1.197,1.323,0.935,0.887,1.037,0.753,0.661,0.593,0.855,0.815,0.816,0.519,0.743,0.613,0.67,0.954,0.713,0.712,0.476,0.527,0.657,0.553,0.644,0.492,0.715,0.408,0.644,0.748,0.776,0.664,0.662,0.393,0.657,0.393,0.59,0.343,0.368,0.336,0.434,0.32,0.28,0.27,NA,NA,NA,NA,NA,NA
142046,"142046","pist",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02,1.115,0.998,1.568,1.416,0.651,0.757,0.664,0.557,0.564,0.306,0.23,0.26,0.193,0.291,0.437,2.575,1.417,1.266,0.949,1.139,1.234,0.782,0.564,0.809,0.683,0.511,0.546,0.327,0.605,0.633,0.852,0.961,0.795,0.786,0.702,0.414,0.631,0.88,0.616,0.649,1.405,0.887,0.373,0.939,0.802,0.721,0.867,0.763,0.541,0.724,0.669,0.841,0.669,0.508,0.356,0.271,0.562,0.553,1.027,0.568,0.497,0.556,0.561,0.7,0.637,0.73,0.556,0.402,0.357,0.294,0.767,NA,NA,NA,NA,NA,NA
142484,"142484","pist",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.613,2.015,1.848,1.857,1.67,1.443,2.478,1.143,1.385,1.165,1.013,0.515,0.399,0.582,0.49,1.838,3.325,3.032,2.882,2.981,1.378,2.724,3.241,1.889,2.101,2.291,1.812,1.692,0.17,1.861,3.266,1.968,2.997,1.683,1.649,1.315,1.79,1.505,0.968,0.796,1.552,1.451,1.806,1.934,2.119,1.173,0.879,1.061,1.054,1.453,1.701,2.308,2.326,1.507,1.332,1.258,1.266,1.589,1.715,2.099,1.364,0.598,1.859,2.752,2.706,2.684,2.966,2.305,2.125,2.085,2.48,2.71,NA,NA,NA,NA,NA,NA
142521,"142521","pist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.648,3.27,2.989,1.816,1.938,1.702,2.509,2.112,1.869,2.23,2.358,2.04,1.629,0.122,2.068,2.452,2.035,2.235,1.51,1.596,1.309,1.641,1.419,1.142,0.852,0.713,0.511,0.885,0.942,0.887,0.95,0.79,0.815,0.695,0.651,0.832,0.891,0.941,0.849,0.622,0.651,0.669,1.111,1.105,1.323,1.022,0.607,2.24,1.776,1.95,2.099,2.058,1.467,1.435,1.201,1.108,1.613,NA,NA,NA,NA,NA,NA
162432,"162432","pist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.943,1.898,2.114,0.955,0.43,0.853,2.243,1.977,2.053,0.784,0.256,1.419,1.319,1.841,1.781,2.22,2.219,1.838,1.683,1.536,1.995,2.346,1.861,1.623,1.512,0.733,0.561,2.285,2.13,2.046,1.869,0.14,0.968,2.147,1.541,1.812,1.205,0.911,1.19,0.995,1.005,0.76,0.618,0.882,NA,NA,NA,NA,NA,NA
182058,"182058","pist",NA,NA,NA,NA,NA,NA,NA,NA,2.115,1.63,1.531,1.025,0.874,1.208,0.794,1.683,1.016,0.424,0.8,0.971,0.937,0.524,0.472,0.368,0.632,1.239,1.267,1.673,0.994,0.521,0.657,0.542,0.558,0.508,0.444,0.601,0.695,0.02,0.346,0.896,0.741,0.637,0.302,0.293,0.323,0.385,0.364,0.443,0.488,1.16,0.78,1.459,1.703,1.286,1.165,2.077,2.412,2.497,1.43,0.924,1.102,0.874,0.597,0.752,0.369,0.507,0.849,1.132,1.027,0.794,0.356,0.596,0.345,0.377,0.24,0.308,0.454,0.285,0.336,0.264,0.381,NA,NA,NA,NA,NA,NA
192213,"192213","pist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.265,0.654,0.645,0.484,0.392,0.574,0.806,0.924,0.598,0.656,0.693,0.498,0.868,0.652,0.675,0.722,0.695,0.799,0.81,1.401,1.472,1.062,1.146,1.053,1.067,1.257,1.709,1.821,1.966,1.274,1.142,1.054,1.792,1.8,2.282,1.615,1.871,1.943,1.657,2.248,2.351,2.271,2.728,2.031,3.084,2.089,1.853,2.75,3.251,3.429,1.905,1.478,3.65,2.534,2.697,2.479,2.398,2.156,2.446,2.28,2.282,2.669,NA,NA,NA,NA,NA,NA
