"tag","coreID","sp","1870","1871","1872","1873","1874","1875","1876","1877","1878","1879","1880","1881","1882","1883","1884","1885","1886","1887","1888","1889","1890","1891","1892","1893","1894","1895","1896","1897","1898","1899","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
32189,"32189","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.004,1.019,1.071,0.686,0.606,0.555,0.587,0.523,0.366,0.568,0.82,0.87,1.249,1.648,0.855,1.16,1.37,1.409,0.956,0.831,0.839,1.053,1.695,1.294,1.763,2.063,1.973,1.254,0.714,0.926,0.521,1.014,1.908,1.797,2.347,2.202,3.168,2.493,2.62,2.23,2.8,0.949,1.978,2.412,1.938,1.488,1.329,1.183,2.127,1.173,1.741,1.781,1.804,1.792,2.928,1.208,0.898,2.499,2.326,2.436,2.392,1.537,1.359,0.463,1.13,1.606,1.309,1.661,1.647,0.758,0.528,0.531,0.485,0.496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42232,"42232A","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.167,1.047,0.866,1.54,2.016,1.893,3.021,2.504,2.888,2.436,1.947,1.745,2.172,1.268,0.978,0.842,0.592,0.713,1.519,1.259,0.667,0.356,0.312,0.334,0.235,0.402,0.408,0.284,0.322,0.387,0.299,0.231,0.226,0.24,0.509,0.344,1.029,1.268,1.206,0.997,0.473,0.292,0.337,0.26,0.178,0.23,0.246,0.328,0.162,0.219,0.335,0.111,0.123,0.199,0.188,0.057,0.048,0.068,0.27,0.145,0.047,0.093,0.09,0.087,0.096,0.081,0.084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42241,"42241A","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.142,1.316,0.975,1.049,0.71,0.609,1.272,0.873,0.612,0.653,0.588,0.626,0.796,0.745,0.769,0.991,1.014,1.374,1.08,1.03,1.639,0.943,2.299,3.688,2.69,2.321,1.974,1.271,1.12,1.364,0.517,0.405,0.827,0.772,0.471,0.531,0.457,0.517,0.45,0.615,0.301,0.117,0.652,0.956,0.503,0.652,0.502,0.786,0.631,0.321,0.754,0.387,0.37,0.128,0.453,0.675,0.932,2.054,0.879,0.703,1.28,1.434,1.318,1.075,1.006,0.892,0.758,0.958,1.227,0.552,0.336,0.254,0.459,0.189,0.106,0.111,0.1,0.104,0.143,0.099,0.16,0.055,0.074,0.076,0.079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42241,"42241B","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.299,0.832,0.621,0.543,0.339,0.691,0.386,0.437,0.667,0.494,0.655,0.719,0.586,0.603,0.58,0.674,0.767,0.993,0.777,1.311,1.441,1.885,3.08,1.876,1.469,1.037,1.011,0.917,1.703,1.326,0.731,0.585,0.308,0.5,0.519,0.587,0.463,0.462,0.3,0.117,0.279,0.383,0.491,0.649,0.757,0.862,0.938,0.81,0.291,0.797,0.168,0.205,0.14,0.464,0.83,0.8,1.038,0.773,0.671,0.728,0.448,0.767,0.813,0.824,0.769,0.393,0.942,1.655,0.747,0.482,0.445,0.494,0.382,0.341,0.134,0.109,0.128,0.147,0.148,0.131,0.257,0.113,0.065,0.065,0.055,NA,NA,NA,NA,NA,NA,NA,NA,NA
42250,"42250A","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.511,1.069,1.216,1.324,1.672,2.052,1.026,0.834,0.411,0.865,1.078,1.217,1.847,2.249,2.212,1.324,1.199,1.381,1.617,0.725,1.848,1.874,1.483,2.035,3.139,2.292,1.872,2.466,1.506,1.376,1.458,1.174,1.1,1.099,1.24,1.307,1.659,1.153,0.989,1.303,0.8,0.404,0.368,0.594,0.614,0.489,0.523,0.466,0.694,0.873,0.58,0.365,0.528,1.259,0.806,0.599,2.555,2.619,1.83,0.901,0.308,0.251,0.232,0.166,0.339,0.269,0.178,0.223,0.455,0.77,0.551,0.422,0.434,0.358,0.321,0.271,0.256,0.244,0.268,0.414,0.318,0.239,0.161,0.238,0.225,0.372,0.371,0.197,0.125,0.108,0.096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42250,"42250B","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.871,1.416,0.643,0.71,1.342,1.101,0.987,0.954,1.054,0.637,0.465,0.455,0.767,0.864,1.157,1.372,1.309,1.164,1.2,1.744,1.246,1.344,0.45,1.307,2.545,1.114,1.815,2.144,2.134,1.886,1.481,0.489,0.603,0.492,0.659,0.938,0.853,1.011,1.155,1.229,1.094,0.952,0.758,0.19,0.239,0.349,0.669,0.598,0.383,0.542,0.329,0.67,0.406,0.361,0.317,0.711,1.664,0.643,0.496,1.463,0.726,0.508,0.333,0.224,0.361,0.266,0.251,0.463,0.229,0.159,0.243,0.43,0.646,0.442,0.303,0.243,0.201,0.121,0.095,0.114,0.137,0.135,0.213,0.161,0.185,0.149,0.223,0.172,0.182,0.144,0.054,0.049,0.056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42287,"42287","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.759,0.825,0.56,0.502,0.43,0.453,0.319,0.366,0.522,0.49,0.702,0.81,1.008,0.925,0.89,0.81,0.947,0.719,0.564,0.989,1.191,1.393,1.644,1.529,1.552,1.001,0.842,0.546,0.727,0.745,0.59,0.911,0.582,0.662,0.753,0.929,0.676,0.395,0.356,0.475,0.412,0.499,0.661,0.41,0.586,0.428,0.685,0.803,0.355,0.499,0.221,0.373,0.297,0.313,0.261,0.436,0.782,0.597,0.725,1.327,1.096,0.881,0.975,0.328,0.393,0.556,0.437,0.303,0.201,0.254,0.325,0.309,0.288,0.332,0.301,0.383,0.268,0.338,0.267,0.268,0.164,0.284,0.161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42544,"42544","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.239,1.758,1.651,2.211,2.158,1.823,1.443,1.403,0.865,1.036,1.007,1.655,1.858,1.427,2.257,2.351,2.353,1.808,0.904,1.169,0.744,0.413,0.266,0.488,0.857,0.829,1.078,0.938,0.717,0.732,0.472,0.511,0.57,0.552,1.227,0.866,1.556,1.255,1.337,1.131,0.599,0.566,0.626,0.322,0.348,0.285,0.423,0.203,0.24,0.327,0.269,0.227,0.234,0.232,0.152,0.094,0.116,0.181,0.172,0.173,0.287,0.712,0.337,0.398,0.292,0.268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42565,"042565A","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.307,1.57,2.484,4.471,5.848,6.05,3.816,3.721,2.749,2.305,3.207,1.734,2.322,2.125,2.638,2.332,2.664,2.917,3.182,3.838,3.154,3.085,1.739,1.692,1.152,1.151,2.532,1.168,2.637,1.19,0.592,0.333,0.28,0.264,0.354,0.486,1.449,3.329,3.114,3.402,2.7,3.655,1.564,1.179,1.789,1.747,1.184,1.575,0.93,1.716,0.881,0.817,1.321,1.81,2.183,1.517,1.109,1.728,2.104,5.215,1.977,1.775,1.269,0.809,0.439,0.555,0.994,0.988,2.108,2.489,2.505,3.014,2.388,1.446,1.864,1.04,1.141,2.694,3.769,3.699,NA,NA,NA,NA,NA,NA,NA
50281,"50281","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.177,0.493,0.755,0.665,0.729,1.319,0.977,1.063,0.751,0.464,0.619,0.342,0.454,0.454,0.358,0.629,0.244,0.287,0.183,0.047,0.073,0.208,0.099,0.136,0.097,0.513,0.251,0.062,0.036,0.036,0.125,0.248,0.273,0.315,0.293,0.26,0.27,0.537,0.444,0.305,0.4,0.867,0.803,0.514,0.307,0.618,1.018,1.147,0.749,1.046,0.521,0.393,0.609,0.793,0.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50406,"50406","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63,0.928,1.037,0.854,0.818,0.768,0.737,0.995,1.261,1.39,1.576,1.578,1.354,1.179,1.096,0.845,0.892,0.7,0.665,0.744,0.544,0.766,0.596,0.827,0.509,0.521,0.365,0.36,0.446,0.475,0.61,0.439,0.417,0.663,0.991,0.657,0.642,0.65,0.643,0.963,0.766,0.667,0.831,0.767,0.501,0.383,0.431,0.459,0.545,0.692,0.319,0.337,0.388,0.718,1.235,1.075,1.248,1.51,1.102,1.172,0.749,0.764,1.313,1.035,0.943,0.845,1.142,0.72,0.99,1.169,1.541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50474,"50474","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.074,1.683,2.293,2.141,2.138,1.932,1.052,0.628,0.742,0.471,0.379,0.246,0.528,0.871,0.721,0.281,0.241,0.269,0.262,0.295,0.232,0.3,0.423,0.469,0.359,0.319,0.573,0.791,0.587,0.485,0.4,0.399,0.824,0.678,0.432,0.25,0.411,0.319,0.434,0.501,0.485,0.567,0.366,0.514,0.441,0.378,0.796,0.331,0.524,0.391,0.547,0.221,0.194,0.286,0.544,0.346,1.484,1.543,1.409,1.023,0.756,0.536,0.467,0.897,0.926,0.939,1.159,0.557,0.735,1.292,1.242,0.928,0.899,0.303,0.471,0.687,0.527,0.617,0.729,0.998,1.002,0.902,0.996,0.822,1.62,1.164,0.956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52036,"52036B","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.426,1.016,2.099,1.731,0.395,0.242,0.14,1.209,0.384,0.38,0.415,0.224,0.264,0.421,0.276,0.213,0.588,1.069,0.477,0.349,0.409,0.801,0.365,0.922,0.69,1.192,0.82,0.822,0.593,0.715,0.674,0.317,0.159,0.149,0.15,0.314,0.632,0.471,0.927,0.425,0.292,0.254,0.492,0.863,1.11,1.241,0.652,1.356,1.125,1.165,1.256,1.516,0.904,1.86,0.906,2.066,0.985,0.54,0.323,0.264,0.221,0.144,0.113,0.256,0.375,0.38,0.317,1.058,1.725,1.512,1.793,1.439,1.49,2.437,1.925,3.127,6.176,4.097,2.867,2.999,1.906,2.264,1.627,1.199,1.765,1.615,1.73,1.902,2.649,2.177,1.986,2.566,NA,NA,NA,NA,NA,NA,NA
