rebar_id,x,y,elev
"4,5",60,80,293.22
"4,6",60,100,289.86
"4,7",60,120,287.73
"4,8",60,140,286.51
"4,9",60,160,285.29
"4,10",60,180,284.38
"4,11",60,200,283.46
"4,12",60,220,282.85
"4,13",60,240,282.55
"4,14",60,260,281.94
"4,15",60,280,281.33
"4,16",60,300,280.72
"4,17",60,320,279.81
"4,18",60,340,278.89
"4,19",60,360,277.98
"4,20",60,380,277.98
"4,21",60,400,278.59
"4,22",60,420,280.72
"4,23",60,440,281.64
"4,24",60,460,282.55
"4,25",60,480,283.77
"4,26",60,500,285.6
"4,27",60,520,287.43
"4,28",60,540,286.21
"4,29",60,560,286.82
"4,30",60,580,290.47
"4,31",60,600,294.13
"4,32",60,620,295.96
"4,33",60,640,296.27
"5,1",80,0,292.91
"5,2",80,20,293.52
"5,3",80,40,297.18
"5,4",80,60,298.4
"5,5",80,80,297.18
"5,6",80,100,294.44
"5,7",80,120,290.47
"5,8",80,140,287.12
"5,9",80,160,286.51
"5,10",80,180,284.99
"5,11",80,200,284.38
"5,12",80,220,283.77
"5,13",80,240,282.55
"5,14",80,260,281.64
"5,15",80,280,281.03
"5,16",80,300,280.42
"5,17",80,320,279.81
"5,18",80,340,279.81
"5,19",80,360,280.72
"5,20",80,380,281.03
"5,21",80,400,283.16
"5,22",80,420,285.9
"5,23",80,440,287.43
"5,24",80,460,288.04
"5,25",80,480,288.34
"5,26",80,500,290.47
"5,27",80,520,291.69
"5,28",80,540,289.56
"5,29",80,560,289.86
"5,30",80,580,293.52
"5,31",80,600,297.79
"5,32",80,620,300.23
"5,33",80,640,301.45
"6,1",100,0,295.05
"6,2",100,20,298.09
"6,3",100,40,301.14
"6,4",100,60,301.14
"6,5",100,80,300.23
"6,6",100,100,298.4
"6,7",100,120,295.05
"6,8",100,140,291.69
"6,9",100,160,288.04
"6,10",100,180,285.6
"6,11",100,200,284.99
"6,12",100,220,284.38
"6,13",100,240,283.46
"6,14",100,260,282.55
"6,15",100,280,281.33
"6,16",100,300,281.33
"6,17",100,320,282.55
"6,18",100,340,284.99
"6,19",100,360,285.29
"6,20",100,380,285.6
"6,21",100,400,288.65
"6,22",100,420,290.78
"6,23",100,440,292.3
"6,24",100,460,292.91
"6,25",100,480,293.22
"6,26",100,500,294.44
"6,27",100,520,295.35
"6,28",100,540,292.91
"6,29",100,560,292.91
"6,30",100,580,295.96
"6,31",100,600,300.23
"6,32",100,620,303.89
"6,33",100,640,306.32
"7,1",120,0,298.7
"7,2",120,20,302.36
"7,3",120,40,304.5
"7,4",120,60,304.8
"7,5",120,80,303.89
"7,6",120,100,301.75
"7,7",120,120,298.4
"7,8",120,140,295.05
"7,9",120,160,292
"7,10",120,180,288.95
"7,11",120,200,286.82
"7,12",120,220,285.9
"7,13",120,240,284.68
"7,14",120,260,283.46
"7,15",120,280,282.85
"7,16",120,300,282.24
"7,17",120,320,285.29
"7,18",120,340,289.26
"7,19",120,360,291.08
"7,20",120,380,291.39
"7,21",120,400,292
"7,22",120,420,294.44
"7,23",120,440,295.96
"7,24",120,460,297.79
"7,25",120,480,297.79
"7,26",120,500,298.4
"7,27",120,520,299.31
"7,28",120,540,297.48
"7,29",120,560,296.27
"7,30",120,580,299.01
"7,31",120,600,302.97
"7,32",120,620,306.93
"7,33",120,640,309.68
"8,1",140,0,301.75
"8,2",140,20,306.02
"8,3",140,40,308.15
"8,4",140,60,309.07
"8,5",140,80,308.46
"8,6",140,100,305.1
"8,7",140,120,301.14
"8,8",140,140,297.79
"8,9",140,160,293.52
"8,10",140,180,290.78
"8,11",140,200,289.56
"8,12",140,220,288.65
"8,13",140,240,287.43
"8,14",140,260,285.6
"8,15",140,280,284.07
"8,16",140,300,283.77
"8,17",140,320,285.29
"8,18",140,340,290.17
"8,19",140,360,294.13
"8,20",140,380,295.96
"8,21",140,400,296.88
"8,22",140,420,297.18
"8,23",140,440,299.31
"8,24",140,460,301.45
"8,25",140,480,302.36
"8,26",140,500,303.58
"8,27",140,520,303.89
"8,28",140,540,302.67
"8,29",140,560,301.45
"8,30",140,580,302.06
"8,31",140,600,305.71
"8,32",140,620,309.68
"8,33",140,640,312.72
"9,1",160,0,304.5
"9,2",160,20,308.15
"9,3",160,40,310.59
"9,4",160,60,311.81
"9,5",160,80,310.9
"9,6",160,100,307.85
"9,7",160,120,304.19
"9,8",160,140,300.53
"9,9",160,160,296.88
"9,10",160,180,294.44
"9,11",160,200,293.22
"9,12",160,220,292.91
"9,13",160,240,290.47
"9,14",160,260,287.43
"9,15",160,280,285.9
"9,16",160,300,285.29
"9,17",160,320,285.9
"9,18",160,340,289.56
"9,19",160,360,294.44
"9,20",160,380,298.09
"9,21",160,400,300.23
"9,22",160,420,300.53
"9,23",160,440,302.67
"9,24",160,460,304.5
"9,25",160,480,305.71
"9,26",160,500,306.93
"9,27",160,520,307.54
"9,28",160,540,307.24
"9,29",160,560,306.02
"9,30",160,580,305.71
"9,31",160,600,308.46
"9,32",160,620,312.72
"9,33",160,640,315.47
"10,1",180,0,307.85
"10,2",180,20,309.98
"10,3",180,40,312.12
"10,4",180,60,313.64
"10,5",180,80,313.33
"10,6",180,100,310.59
"10,7",180,120,306.93
"10,8",180,140,303.89
"10,9",180,160,301.14
"10,10",180,180,299.01
"10,11",180,200,297.79
"10,12",180,220,295.96
"10,13",180,240,292.91
"10,14",180,260,289.86
"10,15",180,280,287.43
"10,16",180,300,286.51
"10,17",180,320,286.51
"10,18",180,340,289.86
"10,19",180,360,294.44
"10,20",180,380,299.31
"10,21",180,400,302.67
"10,22",180,420,303.89
"10,23",180,440,304.8
"10,24",180,460,307.54
"10,25",180,480,308.46
"10,26",180,500,309.68
"10,27",180,520,310.59
"10,28",180,540,311.2
"10,29",180,560,310.29
"10,30",180,580,310.9
"10,31",180,600,311.2
"10,32",180,620,314.55
"10,33",180,640,318.52
"11,1",200,0,311.2
"11,2",200,20,312.72
"11,3",200,40,313.94
"11,4",200,60,315.47
"11,5",200,80,315.16
"11,6",200,100,313.03
"11,7",200,120,310.29
"11,8",200,140,307.54
"11,9",200,160,305.41
"11,10",200,180,303.89
"11,11",200,200,300.84
"11,12",200,220,298.09
"11,13",200,240,295.05
"11,14",200,260,292
"11,15",200,280,288.95
"11,16",200,300,287.43
"11,17",200,320,287.43
"11,18",200,340,291.08
"11,19",200,360,296.27
"11,20",200,380,300.84
"11,21",200,400,304.8
"11,22",200,420,306.32
"11,23",200,440,306.93
"11,24",200,460,309.37
"11,25",200,480,311.51
"11,26",200,500,312.72
"11,27",200,520,313.94
"11,28",200,540,314.55
"11,29",200,560,314.25
"11,30",200,580,314.55
"11,31",200,600,315.77
"11,32",200,620,316.99
"11,33",200,640,320.65
"12,1",220,0,313.64
"12,2",220,20,315.47
"12,3",220,40,316.38
"12,4",220,60,317.3
"12,5",220,80,316.99
"12,6",220,100,315.47
"12,7",220,120,313.94
"12,8",220,140,311.51
"12,9",220,160,309.37
"12,10",220,180,306.93
"12,11",220,200,302.97
"12,12",220,220,300.23
"12,13",220,240,296.88
"12,14",220,260,293.83
"12,15",220,280,290.17
"12,16",220,300,288.65
"12,17",220,320,288.34
"12,18",220,340,291.39
"12,19",220,360,296.27
"12,20",220,380,300.53
"12,21",220,400,304.5
"12,22",220,420,307.85
"12,23",220,440,309.68
"12,24",220,460,310.59
"12,25",220,480,312.72
"12,26",220,500,314.55
"12,27",220,520,316.38
"12,28",220,540,317.6
"12,29",220,560,317.91
"12,30",220,580,317.91
"12,31",220,600,319.43
"12,32",220,620,320.34
"12,33",220,640,322.17
"13,1",240,0,315.47
"13,2",240,20,317.91
"13,3",240,40,319.13
"13,4",240,60,319.13
"13,5",240,80,318.82
"13,6",240,100,317.6
"13,7",240,120,316.38
"13,8",240,140,314.86
"13,9",240,160,312.12
"13,10",240,180,307.85
"13,11",240,200,303.28
"13,12",240,220,300.23
"13,13",240,240,297.48
"13,14",240,260,294.74
"13,15",240,280,291.39
"13,16",240,300,290.17
"13,17",240,320,290.17
"13,18",240,340,291.39
"13,19",240,360,294.74
"13,20",240,380,298.4
"13,21",240,400,302.36
"13,22",240,420,306.93
"13,23",240,440,310.29
"13,24",240,460,312.12
"13,25",240,480,314.55
"13,26",240,500,317.6
"13,27",240,520,320.04
"13,28",240,540,320.65
"13,29",240,560,320.65
"13,30",240,580,320.95
"13,31",240,600,321.87
"13,32",240,620,323.09
"13,33",240,640,324.31
"14,1",260,0,317.91
"14,2",260,20,320.34
"14,3",260,40,322.17
"14,4",260,60,321.87
"14,5",260,80,321.26
"14,6",260,100,320.95
"14,7",260,120,319.43
"14,8",260,140,316.38
"14,9",260,160,313.64
"14,10",260,180,308.46
"14,11",260,200,303.89
"14,12",260,220,300.53
"14,13",260,240,297.79
"14,14",260,260,295.05
"14,15",260,280,292.3
"14,16",260,300,292
"14,17",260,320,292
"14,18",260,340,292.91
"14,19",260,360,293.83
"14,20",260,380,296.27
"14,21",260,400,299.62
"14,22",260,420,303.58
"14,23",260,440,306.32
"14,24",260,460,309.98
"14,25",260,480,316.08
"14,26",260,500,320.04
"14,27",260,520,322.78
"14,28",260,540,323.7
"14,29",260,560,324.61
"14,30",260,580,325.22
"14,31",260,600,325.22
"14,32",260,620,326.14
"14,33",260,640,327.05
"15,1",280,0,320.34
"15,2",280,20,322.78
"15,3",280,40,324.61
"15,4",280,60,325.22
"15,5",280,80,324.92
"15,6",280,100,324.31
"15,7",280,120,322.17
"15,8",280,140,318.21
"15,9",280,160,314.25
"15,10",280,180,309.68
"15,11",280,200,304.8
"15,12",280,220,300.84
"15,13",280,240,297.79
"15,14",280,260,295.35
"15,15",280,280,294.13
"15,16",280,300,293.52
"15,17",280,320,294.44
"15,18",280,340,295.66
"15,19",280,360,295.35
"15,20",280,380,296.57
"15,21",280,400,299.01
"15,22",280,420,301.75
"15,23",280,440,305.41
"15,24",280,460,309.68
"15,25",280,480,315.47
"15,26",280,500,321.56
"15,27",280,520,324.61
"15,28",280,540,326.14
"15,29",280,560,327.36
"15,30",280,580,328.88
"15,31",280,600,329.18
"15,32",280,620,330.4
"15,33",280,640,330.4
"16,1",300,0,323.7
"16,2",300,20,325.22
"16,3",300,40,326.75
"16,4",300,60,327.05
"16,5",300,80,327.05
"16,6",300,100,326.14
"16,7",300,120,322.78
"16,8",300,140,318.82
"16,9",300,160,314.86
"16,10",300,180,310.29
"16,11",300,200,305.71
"16,12",300,220,300.53
"16,13",300,240,297.79
"16,14",300,260,296.57
"16,15",300,280,295.35
"16,16",300,300,295.96
"16,17",300,320,297.79
"16,18",300,340,299.92
"16,19",300,360,298.09
"16,20",300,380,297.79
"16,21",300,400,299.31
"16,22",300,420,301.45
"16,23",300,440,305.71
"16,24",300,460,310.29
"16,25",300,480,315.16
"16,26",300,500,320.65
"16,27",300,520,324.92
"16,28",300,540,327.66
"16,29",300,560,329.49
"16,30",300,580,331.01
"16,31",300,600,332.54
"16,32",300,620,333.45
"16,33",300,640,333.76
"17,1",320,0,327.05
"17,2",320,20,328.27
"17,3",320,40,328.57
"17,4",320,60,328.57
"17,5",320,80,328.57
"17,6",320,100,327.05
"17,7",320,120,323.39
"17,8",320,140,319.74
"17,9",320,160,315.16
"17,10",320,180,310.59
"17,11",320,200,305.71
"17,12",320,220,300.84
"17,13",320,240,298.7
"17,14",320,260,297.18
"17,15",320,280,297.79
"17,16",320,300,298.4
"17,17",320,320,300.23
"17,18",320,340,302.06
"17,19",320,360,300.53
"17,20",320,380,299.62
"17,21",320,400,300.53
"17,22",320,420,302.06
"17,23",320,440,305.1
"17,24",320,460,308.76
"17,25",320,480,312.72
"17,26",320,500,317.6
"17,27",320,520,322.78
"17,28",320,540,327.05
"17,29",320,560,330.4
"17,30",320,580,332.84
"17,31",320,600,334.37
"17,32",320,620,335.58
"17,33",320,640,336.5
"18,1",340,0,330.1
"18,2",340,20,330.4
"18,3",340,40,330.4
"18,4",340,60,330.1
"18,5",340,80,329.49
"18,6",340,100,326.75
"18,7",340,120,323.09
"18,8",340,140,319.43
"18,9",340,160,315.16
"18,10",340,180,310.29
"18,11",340,200,305.71
"18,12",340,220,301.45
"18,13",340,240,300.53
"18,14",340,260,299.92
"18,15",340,280,300.53
"18,16",340,300,301.75
"18,17",340,320,304.19
"18,18",340,340,306.02
"18,19",340,360,305.41
"18,20",340,380,303.28
"18,21",340,400,303.28
"18,22",340,420,303.58
"18,23",340,440,305.1
"18,24",340,460,306.93
"18,25",340,480,310.59
"18,26",340,500,315.47
"18,27",340,520,320.04
"18,28",340,540,324.61
"18,29",340,560,329.49
"18,30",340,580,332.84
"18,31",340,600,335.58
"18,32",340,620,336.8
"18,33",340,640,338.33
"19,1",360,0,332.23
"19,2",360,20,332.54
"19,3",360,40,332.54
"19,4",360,60,331.32
"19,5",360,80,329.49
"19,6",360,100,326.75
"19,7",360,120,323.39
"19,8",360,140,319.13
"19,9",360,160,314.55
"19,10",360,180,309.68
"19,11",360,200,305.1
"19,12",360,220,302.67
"19,13",360,240,302.06
"19,14",360,260,302.67
"19,15",360,280,305.41
"19,16",360,300,307.24
"19,17",360,320,309.98
"19,18",360,340,311.51
"19,19",360,360,310.9
"19,20",360,380,308.46
"19,21",360,400,307.24
"19,22",360,420,306.93
"19,23",360,440,306.93
"19,24",360,460,308.15
"19,25",360,480,309.68
"19,26",360,500,314.25
"19,27",360,520,318.21
"19,28",360,540,322.17
"19,29",360,560,326.44
"19,30",360,580,330.71
"19,31",360,600,333.45
"19,32",360,620,335.89
"19,33",360,640,338.63
"20,1",380,0,334.37
"20,2",380,20,334.98
"20,3",380,40,334.67
"20,4",380,60,333.45
"20,5",380,80,330.1
"20,6",380,100,326.75
"20,7",380,120,322.48
"20,8",380,140,317.91
"20,9",380,160,313.03
"20,10",380,180,308.76
"20,11",380,200,305.41
"20,12",380,220,304.5
"20,13",380,240,304.5
"20,14",380,260,307.54
"20,15",380,280,311.2
"20,16",380,300,312.72
"20,17",380,320,314.55
"20,18",380,340,316.08
"20,19",380,360,316.08
"20,20",380,380,313.64
"20,21",380,400,311.81
"20,22",380,420,312.12
"20,23",380,440,310.9
"20,24",380,460,309.98
"20,25",380,480,310.9
"20,26",380,500,313.33
"20,27",380,520,316.99
"20,28",380,540,320.04
"20,29",380,560,324
"20,30",380,580,326.75
"20,31",380,600,330.1
"20,32",380,620,334.06
"20,33",380,640,338.33
"21,1",400,0,336.8
"21,2",400,20,336.8
"21,3",400,40,336.5
"21,4",400,60,334.67
"21,5",400,80,331.62
"21,6",400,100,327.96
"21,7",400,120,323.09
"21,8",400,140,316.69
"21,9",400,160,310.9
"21,10",400,180,308.15
"21,11",400,200,306.63
"21,12",400,220,305.71
"21,13",400,240,306.93
"21,14",400,260,312.12
"21,15",400,280,315.47
"21,16",400,300,317.3
"21,17",400,320,318.52
"21,18",400,340,320.34
"21,19",400,360,320.65
"21,20",400,380,318.21
"21,21",400,400,316.99
"21,22",400,420,316.69
"21,23",400,440,315.77
"21,24",400,460,313.03
"21,25",400,480,312.72
"21,26",400,500,313.64
"21,27",400,520,315.77
"21,28",400,540,318.52
"21,29",400,560,322.17
"21,30",400,580,325.83
"21,31",400,600,330.1
"21,32",400,620,333.15
"21,33",400,640,337.41
