"tag","StemTag","stemID","quadrat","sp","Latin","gx","gy","pom","dbh.2008","codes.2008","status.2008","date.2008"
"10457","1",1407,"0108","qual","Quercus alba",19.3999996185303,144.800003051758,"1.3",778.099975585938,"B,D","D","2008-10-22"
"10461","1",1411,"0108","caca","Carpinus caroliniana",12.3999996185303,142.800003051758,"1.3",154.800003051758,"B,D","D","2008-10-22"
"10462","1",1412,"0108","caca","Carpinus caroliniana",11.1000003814697,152.899993896484,"1.3",112.199996948242,NA,"A","2008-10-22"
"10463","1",1413,"0108","acru","Acer rubrum",10.6000003814697,153.800003051758,"1.3",145.899993896484,NA,"A","2008-10-22"
"10464","1",1414,"0108","cato","Carya tomentosa",11.6999998092651,157.399993896484,"1.3",433.100006103516,NA,"A","2008-10-22"
"10465","1",1415,"0108","cato","Carya tomentosa",11.3999996185303,158.199996948242,"1.3",134.399993896484,NA,"A","2008-10-22"
"10466","1",1416,"0108","caca","Carpinus caroliniana",12.1999998092651,158.199996948242,"1.3",99.3000030517578,NA,"A","2008-10-22"
"10467","1",1417,"0108","cato","Carya tomentosa",12.5,159.899993896484,"1.3",211.899993896484,NA,"A","2008-10-22"
"10468","1",1418,"0108","fram","Fraxinus americana",15.8000001907349,160,"1.3",376.200012207031,NA,"A","2008-10-22"
"10469","1",1419,"0109","litu","Liriodendron tulipifera",9.69999980926514,161,"1.3",810.400024414062,NA,"A","2008-10-22"
"10470","1",1420,"0109","caca","Carpinus caroliniana",7.69999980926514,163.399993896484,"1.3",151.899993896484,NA,"A","2008-10-22"
"10471","1",1421,"0109","caca","Carpinus caroliniana",10.1999998092651,163.399993896484,"1.3",53.2000007629395,NA,"A","2008-10-22"
"10472","1",1422,"0109","caca","Carpinus caroliniana",12.1000003814697,163.199996948242,"1.3",71.0999984741211,"I,L","A","2008-10-22"
"10473","1",1423,"0109","prse","Prunus serotina",13.8000001907349,162.199996948242,"1.3",311.399993896484,NA,"A","2008-10-22"
"10474","1",1424,"0109","caca","Carpinus caroliniana",13.8999996185303,162.899993896484,"1.3",119.199996948242,NA,"A","2008-10-22"
"10475","1",1425,"0109","qual","Quercus alba",17.3999996185303,164.600006103516,"1.3",124.900001525879,NA,"A","2008-10-22"
"10476","1",1426,"0109","caca","Carpinus caroliniana",16.2000007629395,165.899993896484,"1.3",55.7000007629395,NA,"A","2008-10-22"
"10477","1",1427,"0109","caca","Carpinus caroliniana",14.8999996185303,166.600006103516,"1.3",53.7000007629395,"M","A","2008-10-22"
"10478","1",1428,"0109","caca","Carpinus caroliniana",17.5,168.699996948242,"1.3",55.7999992370605,"M","A","2008-10-22"
"10479","1",1429,"0109","caca","Carpinus caroliniana",17.1000003814697,169.800003051758,"1.3",101.099998474121,NA,"A","2008-10-22"
"10480","1",1430,"0109","caco","Carya cordiformis",12,167.399993896484,"1.3",123.900001525879,NA,"A","2008-10-22"
"10481","1",1431,"0109","litu","Liriodendron tulipifera",12,168.300003051758,"1.3",749.5,NA,"A","2008-10-22"
"10482","1",1432,"0109","caca","Carpinus caroliniana",9.5,167.600006103516,"1.3",108.699996948242,"M","A","2008-10-22"
"10482","2",32338,"0109","caca","Carpinus caroliniana",9.5,167.600006103516,"1.3",64.3000030517578,"S","A","2008-10-22"
"10483","1",1433,"0109","qual","Quercus alba",12.6999998092651,169.100006103516,"1.3",126.300003051758,NA,"A","2008-10-22"
"10484","1",1434,"0109","acru","Acer rubrum",18.7999992370605,172.199996948242,"1.3",245.800003051758,NA,"A","2008-10-22"
"10485","1",1435,"0109","caca","Carpinus caroliniana",17.6000003814697,172.5,"1.3",120,"B,P","A","2008-10-22"
"10487","1",1437,"0110","caca","Carpinus caroliniana",1.89999997615814,183.699996948242,"1.3",119.099998474121,"M","A","2008-10-22"
"10488","1",1438,"0110","acru","Acer rubrum",3.20000004768372,185.199996948242,"1.3",293.899993896484,NA,"A","2008-10-22"
"10489","1",1439,"0110","caca","Carpinus caroliniana",11.5,183.800003051758,"1.3",102.300003051758,NA,"A","2008-10-22"
"10491","1",1440,"0110","havi","Hamamelis virginiana",18.5,182.600006103516,"1.3",112.199996948242,"M","A","2008-10-22"
"10491","2",32340,"0110","havi","Hamamelis virginiana",18.5,182.600006103516,"1.3",34.2999992370605,"S","A","2008-10-22"
"10492","1",1441,"0110","caca","Carpinus caroliniana",14.3999996185303,184.800003051758,"1.3",182.699996948242,NA,"A","2008-10-22"
"10494","1",1442,"0110","havi","Hamamelis virginiana",19.2000007629395,186.300003051758,"1.3",114.099998474121,"M","A","2008-10-22"
"10494","2",32341,"0110","havi","Hamamelis virginiana",19.2000007629395,186.300003051758,"1.3",87.1999969482422,"S","A","2008-10-22"
"10495","1",1443,"0110","caovl","Carya ovalis",16.3999996185303,190.600006103516,"1.3",141.899993896484,NA,"A","2008-10-22"
"10496","1",1444,"0110","cagl","Carya glabra",15,191.600006103516,"1.3",57.2000007629395,NA,"A","2008-10-22"
"10497","1",1445,"0110","caca","Carpinus caroliniana",13.8000001907349,190.399993896484,"1.3",63.0999984741211,NA,"A","2008-10-22"
"10498","1",1446,"0110","caca","Carpinus caroliniana",11.8000001907349,191.800003051758,"1.3",128.399993896484,NA,"A","2008-10-22"
"10499","1",1447,"0110","libe","Lindera benzoin",9.60000038146973,188.199996948242,"1.3",85.5999984741211,NA,"A","2008-10-22"
"10500","1",1448,"0110","libe","Lindera benzoin",9.39999961853027,188,"2.4",51.5999984741211,"A,D,P","D","2008-10-22"
"10503","1",1451,"0106","libe","Lindera benzoin",1.10000002384186,106,"1.3",39.7999992370605,"M","A","2008-10-21"
"10516","1",1464,"0107","ulru","Ulmus rubra",0.800000011920929,122,"1.3",98,NA,"A","2008-10-22"
"10517","1",1465,"0107","quve","Quercus velutina",4.5,120.599998474121,"1.3",181.100006103516,"L","A","2008-10-22"
"10518","1",1466,"0107","caco","Carya cordiformis",3.40000009536743,120.5,"1.3",434.700012207031,NA,"A","2008-10-22"
"10523","1",1468,"0107","unk","Unidentified unk",6.80000019073486,123,"1.3",526.099975585938,"B,D,I,Q","D","2008-10-22"
"10526","1",1470,"0107","fram","Fraxinus americana",6.09999990463257,134,"1.3",157.100006103516,NA,"A","2008-10-22"
"10527","1",1471,"0107","caca","Carpinus caroliniana",0.100000001490116,128.199996948242,"1.3",112.199996948242,NA,"A","2008-10-22"
"10528","1",1472,"0107","unk","Unidentified unk",1.10000002384186,131.199996948242,"1.3",71.5999984741211,"M,Q","A","2008-10-22"
"10530","1",1474,"0108","quve","Quercus velutina",4,142.100006103516,"1.3",376.5,NA,"A","2008-10-22"
"10531","1",1475,"0108","caca","Carpinus caroliniana",4.30000019073486,144.300003051758,"1.3",95.0999984741211,NA,"A","2008-10-22"
"10532","1",1476,"0108","qual","Quercus alba",5.69999980926514,145.199996948242,"1.3",219.600006103516,NA,"A","2008-10-22"
"10534","1",1478,"0108","fram","Fraxinus americana",10.1999998092651,147.399993896484,"1.3",698.299987792969,NA,"A","2008-10-22"
"10535","1",1479,"0108","caca","Carpinus caroliniana",5.59999990463257,145.300003051758,"1.3",162.800003051758,NA,"A","2008-10-22"
"10536","1",1480,"0108","cato","Carya tomentosa",4.59999990463257,147.300003051758,"1.3",286.899993896484,NA,"A","2008-10-22"
"10537","1",1481,"0108","caca","Carpinus caroliniana",4.59999990463257,148.199996948242,"1.3",195.5,NA,"A","2008-10-22"
"10538","1",1482,"0108","nysy","Nyssa sylvatica",1.5,152.800003051758,"1.3",72.6999969482422,NA,"A","2008-10-22"
"10539","1",1483,"0108","fram","Fraxinus americana",4.30000019073486,152,"1.3",463.399993896484,NA,"A","2008-10-22"
"10540","1",1484,"0108","cagl","Carya glabra",5.19999980926514,151.800003051758,"1.3",113.599998474121,NA,"A","2008-10-22"
"10542","1",1485,"0108","caca","Carpinus caroliniana",7.09999990463257,154.399993896484,"1.3",70.1999969482422,"M","A","2008-10-22"
"10543","1",1486,"0108","quru","Quercus rubra",7.90000009536743,155.399993896484,"1.3",286,NA,"A","2008-10-22"
"10544","1",1487,"0108","unk","Unidentified unk",6.40000009536743,158.399993896484,"1.3",248.899993896484,"B,D,I,Q","D","2008-10-22"
"10545","1",1488,"0108","caca","Carpinus caroliniana",3.70000004768372,157,"1.3",116.099998474121,NA,"A","2008-10-22"
"10546","1",1489,"0108","nysy","Nyssa sylvatica",2.5,158.199996948242,"1.3",259.399993896484,NA,"A","2008-10-22"
"10548","1",1490,"0108","caovl","Carya ovalis",2.5,156.199996948242,"1.3",104.199996948242,NA,"A","2008-10-22"
"10549","1",1491,"0109","qual","Quercus alba",0.800000011920929,162.600006103516,"1.3",687.799987792969,NA,"A","2008-10-22"
