tag,StemTag,stemID,quadrat,sp,Latin,gx,gy,hom,dbh.2008,codes.2008,status.2008,date.2008,agb.2008,dbh.2013,codes.2013,status.2013,date.2013,agb.2013,dbh.2018,codes.2018,status.2018,date.2018,agb.2018,status.2019,status.2020,dbh.if.dead.2020,agb.if.dead.2020,perc.crown,crown.position,fad1,fad2,fad3,fad4,DF,liana.load,fraxinus.crown.thinning,fraxinus.epicormic.growth,EABF,DE.count,comments,date.2020,surveyors
10139,1,1115,102,ceoc,Celtis occidentalis,13.9,29.6,1.3,411.9,NULL,A,10/21/2008,0.308736233,445,NULL,A,3/21/2013,0.3740712,476,NULL,A,8/27/2018,0.442169775,A,A,NA,NA,NA,,,,,,NA,NA,NA,NA,,NA,,7/1/2020,Cameron Dow
10142,1,1117,102,ceoc,Celtis occidentalis,15.9,29.9,1.3,82.6,NULL,A,10/21/2008,0.005709159,86.5,NULL,A,3/21/2013,0.006402236,90,I,A,8/27/2018,0.007065021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10154,1,1128,102,ceoc,Celtis occidentalis,11,36,1.3,92.1,NULL,A,10/21/2008,0.00748154,95,NULL,A,3/21/2013,0.008080324,99,NULL,A,8/27/2018,0.008951838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10157,1,1131,102,fram,Fraxinus americana,4.3,38.9,1.3,449.2,NULL,A,10/21/2008,1.330040767,474,NULL,A,3/21/2013,1.519637487,489,NULL,A,8/27/2018,1.64169689,A,A,NA,NA,NA,I,,,,,NA,NA,4,0,none,NA,tag missing,7/1/2020,Cameron Dow
10160,1,1134,103,acru,Acer rubrum,11.5,42.6,1.3,607.1,M,A,10/21/2008,2.108196673,623.5,M,A,3/29/2013,2.249268754,653,M,A,8/27/2018,2.516678786,A,A,NA,NA,NA,,,,,,NA,NA,NA,NA,,NA,,7/1/2020,Cameron Dow
10160,2,32233,103,acru,Acer rubrum,11.5,42.6,1.3,600.1,S,A,10/21/2008,2.049614434,591.1,S,A,3/29/2013,1.975717693,615,S,A,8/27/2018,2.175480972,A,A,NA,NA,NA,,,,,,NA,NA,NA,NA,,NA,,7/1/2020,Cameron Dow
10161,1,1135,103,frni,Fraxinus nigra,18,46.1,1.3,115.8,NULL,A,10/21/2008,0.051385401,126,NULL,A,3/29/2013,0.062650147,NA,DS,D,8/27/2018,NA,PD,PD,NA,NA,NA,,,,,,NA,NA,NA,NA,,NA,,7/1/2020,Cameron Dow
10162,1,1136,103,unk,Unidentified unk,16.2,55.4,1.3,238.4,D;Q,D,10/21/2008,0.079394837,0,DC,D,3/29/2013,0,NA,DN,D,8/27/2018,NA,PD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10163,1,1137,103,litu,Liriodendron tulipifera,15.4,57.2,1.3,631.8,NULL,A,10/21/2008,3.250781915,638.5,NULL,A,3/29/2013,3.342408352,673,NULL,A,8/27/2018,3.839549106,A,A,NA,NA,NA,,,,,,NA,NA,NA,NA,,NA,,7/1/2020,Cameron Dow
10165,1,1139,103,acru,Acer rubrum,12.9,58,1.3,439.7,NULL,A,10/21/2008,0.962629063,442.9,NULL,A,3/29/2013,0.979741628,453,NULL,A,8/27/2018,1.034921451,A,A,NA,NA,NA,,,,,,NA,NA,NA,NA,,NA,,7/1/2020,Cameron Dow
10166,1,1140,103,frni,Fraxinus nigra,12.7,58.4,1.3,135.9,NULL,A,10/21/2008,0.074825794,144.3,NULL,A,3/29/2013,0.086140899,NA,DS,D,8/27/2018,NA,DS,PD,NA,NA,NA,,,,,,NA,NA,NA,NA,,,gallery present,7/1/2020,Cameron Dow
10178,1,1151,104,frni,Fraxinus nigra,18.8,73.3,1.3,128.9,M,A,10/21/2008,0.066088501,136.1,M,A,4/1/2013,0.07508461,141,DS,D,8/27/2018,0.081586542,PD,PD,NA,NA,NA,,,,,,NA,NA,NA,NA,,NA,,7/1/2020,Cameron Dow
10178,2,32238,104,frni,Fraxinus nigra,18.8,73.3,1.3,13,S,A,10/21/2008,0.000302546,0,S;R,G,4/1/2013,0,NA,DN,D,8/27/2018,NA,PD,PD,NA,NA,NA,,,,,,NA,NA,NA,NA,,NA,,7/1/2020,Cameron Dow
10181,1,1153,104,vipr,Viburnum prunifolium,12.9,63.4,1.3,64.8,L;M,A,10/21/2008,0.01383253,65.1,L;M,A,4/1/2013,0.015949738,69,M,A,8/27/2018,0.021305054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10185,1,1157,104,acru,Acer rubrum,10.9,62.7,1.3,556.3,NULL,A,10/21/2008,1.70486413,559.2,NULL,A,4/1/2013,1.726541268,580,NULL,A,8/27/2018,1.886769218,A,A,NA,NA,NA,,,,,,NA,NA,NA,NA,,NA,,7/1/2020,Cameron Dow
10186,1,1158,104,qual,Quercus alba,10.3,62.7,1.3,298.2,NULL,A,10/21/2008,0.533487802,314.2,M,A,4/1/2013,0.613979771,330,NULL,A,8/27/2018,0.700558223,A,A,NA,NA,NA,,,,,,NA,NA,NA,NA,,NA,,7/1/2020,Cameron Dow
10188,1,1159,104,amar,Amelanchier arborea,11.8,64.5,1.3,134.1,NULL,A,10/21/2008,0.073060449,143,NULL,A,4/1/2013,0.080460024,147,M,A,8/27/2018,0.08386295,A,A,NA,NA,NA,,,,,,NA,NA,NA,NA,,NA,,7/1/2020,Cameron Dow
10189,1,1160,104,acru,Acer rubrum,12.3,64.5,1.3,232.1,NULL,A,10/21/2008,0.203788348,223.7,NULL,A,4/1/2013,0.186327561,330,NULL,A,8/27/2018,0.479267116,A,A,NA,NA,NA,,,,,,NA,NA,NA,NA,,NA,,7/1/2020,Cameron Dow
10191,1,1162,104,amar,Amelanchier arborea,13.3,64.5,1.1,75.6,A;L,A,10/21/2008,0.030926913,83.3,M,A,4/1/2013,0.03576614,NA,DS,G,8/27/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10193,1,1164,104,fram,Fraxinus americana,17.7,72.3,1.3,335.9,NULL,A,10/21/2008,0.64690489,340,NULL,A,4/1/2013,0.666662897,350,NULL,A,8/27/2018,0.716349238,A,A,NA,NA,NA,CD,,,,,NA,NA,1,0,W,NA,,7/1/2020,Cameron Dow
10194,1,1165,104,fagr,Fagus grandifolia,14.9,73.2,1.3,275.8,NULL,A,10/21/2008,0.454928424,307.8,NULL,A,4/1/2013,0.596097542,346,NULL,A,8/27/2018,0.795069979,A,A,NA,NA,NA,,,,,,NA,NA,NA,NA,,NA,,7/1/2020,Cameron Dow
10196,1,1166,104,prse,Prunus serotina,17.2,77.9,1.3,180.5,NULL,A,10/21/2008,0.156670554,191.1,NULL,A,4/1/2013,0.18779321,219,NULL,A,8/27/2018,0.289467031,A,A,NA,NA,NA,,,,,,NA,NA,NA,NA,,NA,,7/1/2020,Cameron Dow
10197,1,1167,104,ceca,Cercis canadensis,17.3,79.1,1.3,199.8,NULL,A,10/21/2008,0.165372286,210,L,A,4/1/2013,0.187701273,255,A;I,A,8/27/2018,0.307577282,AU,AU,NA,NA,NA,I,DF,,,,3,NA,NA,NA,,NA,,7/1/2020,Cameron Dow
10205,1,1175,104,fagr,Fagus grandifolia,11.8,75,1.3,90.9,NULL,A,10/21/2008,0.029592679,106,P,A,4/1/2013,0.043201919,125,NULL,A,8/27/2018,0.064832453,A,A,NA,NA,NA,,,,,,NA,NA,NA,NA,,NA,,7/1/2020,Cameron Dow
10213,1,1182,104,fram,Fraxinus americana,6.4,77.7,1.3,405.4,NULL,A,10/21/2008,1.031276154,449,L,A,4/1/2013,1.328572758,475,NULL,A,8/27/2018,1.527600106,A,DS,NA,NA,4,CD,AN,,,,NA,1,5,1,W,NA,10% bark blonding,7/1/2020,Cameron Dow
10249,1,1218,105,ulru,Ulmus rubra,13.2,98.4,1.3,302,NULL,A,10/21/2008,0.408439956,0,DC,D,4/2/2013,0,NA,DN,D,8/28/2018,NA,PD,PD,NA,NA,NA,,,,,,NA,NA,NA,NA,,NA,,7/15/2020,Cameron Dow
10251,1,1219,105,fram,Fraxinus americana,10.9,98.9,1.3,103.8,NULL,A,10/21/2008,0.035165036,108.2,L,A,4/2/2013,0.038978186,109,L,A,8/28/2018,0.039696763,AU,DS,111,0.041527596,1,I,B,,,,NA,0,5,1,none,NA,vine,7/15/2020,Cameron Dow
10253,1,1221,105,fram,Fraxinus americana,8.7,98.8,1.3,251.9,NULL,A,10/21/2008,0.316891417,0,DS,D,4/2/2013,0,NA,DC,D,8/28/2018,NA,PD,PD,NA,NA,NA,,,,,,NA,NA,NA,NA,,NA,,7/15/2020,Cameron Dow
