"tag","coreID","sp","1876","1877","1878","1879","1880","1881","1882","1883","1884","1885","1886","1887","1888","1889","1890","1891","1892","1893","1894","1895","1896","1897","1898","1899","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
50046,"50046","quru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.892,1.312,0.683,1.008,0.805,0.499,0.701,0.741,0.617,0.703,0.868,0.94,1.293,1.392,1.525,0.778,0.963,0.829,0.644,0.803,0.797,0.812,0.632,0.646,0.925,0.641,0.475,0.499,0.362,0.38,0.331,0.328,0.422,0.29,0.501,0.384,0.646,0.459,0.529,0.474,0.414,0.608,0.403,0.518,0.732,0.742,0.753,0.403,0.506,0.571,0.59,0.429,0.41,0.386,0.355,0.447,0.596,0.747,0.608,0.924,0.754,0.85,0.919,1.033,1.104,1.63,NA,NA,NA,NA,NA,NA,NA,NA
50274,"50274","quru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.389,1.201,1.116,0.595,0.848,0.63,0.715,1.034,1.028,0.672,0.586,0.658,0.917,0.682,0.68,0.523,0.536,0.407,0.463,0.464,0.704,0.472,0.356,0.323,0.521,0.634,0.867,0.998,0.918,1.025,1.058,0.843,0.83,0.978,0.957,1.172,0.917,0.977,1.591,1.698,1.844,1.535,1.313,1.387,1.307,1.549,1.862,1.299,2.544,1.95,1.235,1.265,1.4,1.305,1.533,1.558,1.647,1.26,1.209,1.125,1.207,1.016,1.266,1.32,1.241,1.139,0.925,0.824,1.205,0.989,1.312,1.79,1.473,1.487,1.403,1.055,1.03,1.017,1.072,1.326,NA,NA,NA,NA,NA,NA,NA,NA
50499,"50499","quru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.945,3.158,3.224,2.075,2.252,1.94,1.728,1.331,0.954,1.115,1.125,1.409,1.642,1.672,1.941,2.535,2.338,1.965,1.783,2.027,1.937,1.751,1.591,2.063,1.212,1.373,2.197,2.706,2.414,2.78,2.342,1.991,2.339,2.099,2.513,1.681,2.434,1.745,1.785,2.048,1.452,1.552,1.55,1.375,1.053,0.931,1.627,1.769,1.413,0.898,0.82,1.047,1.019,1.303,1.522,1.054,1.753,1.607,0.854,0.798,1.192,0.918,0.655,0.786,0.988,0.998,0.747,0.863,0.75,0.572,0.654,0.798,0.632,0.621,0.566,0.411,0.438,0.402,0.41,0.529,0.553,0.653,0.722,0.748,0.643,0.723,0.656,0.815,NA,NA,NA,NA,NA,NA,NA,NA
50506,"50506","quru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,1.027,0.797,0.741,0.884,0.732,1.213,1.395,0.857,1.166,0.751,0.809,0.687,0.593,0.715,0.594,0.711,0.509,0.433,0.464,0.507,0.593,0.462,0.642,0.832,0.641,0.603,0.405,0.287,0.319,0.409,0.38,0.559,0.407,0.55,0.444,0.491,0.514,0.468,0.337,NA,NA,NA,NA,NA,NA,NA,NA
52287,"52287","quru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.539,0.989,1.243,1.501,1.064,1.179,1.231,1.297,1.159,1.262,1.019,1.05,1.106,1.316,1.522,1.993,1.598,1.535,1.453,1.39,1.601,1.714,1.708,1.512,2.056,2.255,2.44,2.579,2.248,1.823,2.15,2.126,2.497,2.925,2.244,2.122,2.038,1.862,2.06,2.552,2.931,3.287,2.41,2.326,1.999,1.955,2.463,2.274,1.949,2.434,3.375,3.617,3.343,3.084,1.549,1.904,1.683,1.973,3.434,3.14,3.569,2.347,1.723,1.795,1.784,2.586,3.757,NA,NA,NA,NA,NA,NA,NA,NA
52343,"52343A","quru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.836,0.807,0.739,0.5,0.424,0.869,0.627,0.55,0.486,1.628,2.669,2.295,1.651,2.162,2.041,2.282,2.091,1.794,1.814,1.616,2.366,3.916,3.287,5.469,3.535,3.68,3.701,2.831,2.668,2.923,2.479,1.729,2,1.769,1.914,2.2,2.229,2.466,2.59,2.118,2.782,2.842,2.093,2.889,2.77,2.009,1.638,1.116,1.664,1.676,1.401,2.124,2.146,2.5,1.838,1.837,1.618,1.981,1.752,2.322,2.122,1.722,1.771,1.913,1.693,1.412,1.868,2.034,1.935,1.894,1.74,1.623,1.463,1.426,1.664,1.602,1.678,1.697,1.78,1.186,0.826,0.711,0.387
52343,"52343B","quru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.984,5.415,4.247,3.441,3.593,3.207,2.857,3.092,1.893,1.494,2.056,1.997,1.533,1.829,1.628,1.659,1.655,1.179,1.776,1.565,1.197,2.41,2.559,2.511,0.834,1.068,1.405,1.899,2.229,4.259,4.297,4.126,2.762,2.654,1.723,1.92,1.989,2.346,1.699,1.31,1.088,1.271,1.215,0.981,1.088,1.14,0.919,0.962,0.845,0.845,0.97,1.081,0.975,0.934,0.877,0.78,0.657,0.515,0.444,0.402,NA
60116,"60116","quru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.117,0.805,0.839,0.919,1.058,1.338,1.251,1.389,1.139,1.215,1.299,0.653,0.752,0.888,1.025,1.028,0.747,0.59,0.526,1.108,1.208,1.507,1.412,1.441,1.157,1.156,1.287,1.221,0.741,0.81,0.907,0.729,0.863,0.92,1.074,1.074,0.814,1.026,0.742,0.711,0.9,0.744,0.437,0.743,0.588,0.645,0.698,0.664,0.767,1.042,1.122,1.276,1.047,1.137,0.943,1.048,0.78,1.014,1.013,1.119,1.094,0.974,0.813,0.946,1.021,0.848,1.165,0.801,0.971,0.942,0.859,0.955,0.749,0.808,0.998,NA,NA,NA,NA,NA,NA,NA,NA
60143,"60143","quru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.618,0.587,0.813,0.704,0.696,0.563,0.487,0.428,0.424,0.446,0.367,0.499,0.612,0.28,0.491,0.498,1.124,0.706,0.57,0.522,0.337,0.428,0.675,0.295,0.368,0.304,0.435,0.405,0.492,0.33,0.902,1.066,1.988,1.529,1.438,1.124,0.805,1.201,1.128,0.966,0.614,0.635,0.738,0.919,0.923,0.767,0.779,0.776,0.686,0.548,0.419,0.707,0.749,0.616,0.692,0.563,0.608,0.716,0.981,0.925,0.954,0.735,0.828,0.745,0.694,0.738,0.97,0.562,0.758,0.767,0.959,0.801,0.626,0.572,0.53,0.416,0.079,0.698,0.728,0.721,0.814,0.77,0.908,0.75,0.736,0.783,0.907,NA,NA,NA,NA,NA,NA,NA,NA
60345,"60345","quru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.771,1.031,0.969,1.045,0.879,0.622,0.991,0.595,0.582,0.321,0.354,0.554,0.514,0.37,0.425,0.396,0.643,0.571,0.518,0.379,0.447,0.438,0.409,0.469,0.674,0.499,0.565,0.405,0.445,0.524,0.439,0.42,0.391,0.409,0.413,0.52,0.574,0.605,0.379,0.273,0.241,0.251,0.398,0.249,0.324,0.182,0.44,0.479,0.651,0.663,0.562,0.622,0.603,0.553,0.727,0.611,0.567,0.491,0.73,0.858,0.943,0.636,0.639,0.679,0.627,0.602,0.455,0.663,0.723,0.689,0.639,0.781,0.839,0.73,0.601,0.588,NA,NA,NA,NA,NA,NA,NA,NA
60353,"60353","quru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.77,0.936,0.632,0.679,0.762,0.983,0.71,0.651,0.676,0.639,0.671,0.633,0.601,0.468,0.358,0.346,0.322,0.192,0.352,0.311,0.407,0.583,0.856,0.96,0.588,0.745,0.68,0.377,0.277,0.208,0.214,0.25,0.249,0.216,0.302,0.272,0.32,0.187,0.284,0.321,0.342,0.334,0.326,0.354,0.363,0.243,0.485,0.484,0.488,0.633,0.549,0.59,0.634,0.692,0.814,0.842,0.986,0.933,1.004,0.789,0.701,0.567,0.814,0.986,1.466,1.041,1.241,1.082,1.204,1.07,0.939,0.993,0.816,0.897,1.144,1.227,1.791,1.208,1.398,1.167,1.395,1.447,1.395,0.81,1.13,1.159,0.471,0.365,0.325,0.344,0.325,0.355,0.309,0.339,0.336,0.304,0.468,0.369,0.41,0.503,0.536,0.462,0.441,0.507,0.586,0.441,0.628,0.746,0.758,0.729,0.814,0.659,0.905,0.757,0.857,0.793,NA,NA,NA,NA,NA,NA,NA,NA
60522,"60522","quru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.094,0.85,1.352,1.062,1.506,1.158,1.379,1.087,0.807,0.885,0.826,0.912,0.667,0.681,0.87,0.824,0.741,0.763,0.765,0.76,0.616,0.636,1.077,1.471,0.92,0.724,0.805,0.71,0.823,0.901,0.771,0.674,0.705,0.96,0.972,0.989,1.433,0.964,1.181,0.851,0.787,0.695,0.705,0.713,0.655,0.474,0.584,0.548,0.636,0.383,0.401,0.445,0.382,0.602,0.464,0.287,0.54,0.308,0.567,0.612,0.445,0.482,0.322,0.398,0.339,0.436,0.28,0.26,0.237,0.226,0.372,0.44,0.375,0.318,0.345,0.211,0.292,0.229,0.214,0.354,0.289,0.341,0.217,0.318,0.238,0.308,0.336,0.379,NA,NA,NA,NA,NA,NA,NA,NA
60550,"60550A","quru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.904,0.981,1.18,1.175,0.985,1.364,1.677,2.015,1.269,1.697,1.614,1.47,1.541,1.416,1.326,1.575,1.317,1.058,1.137,1.333,1.04,0.837,1.338,1.16,1.337,1.205,0.808,0.712,0.874,1.088,1.497,1.703,2.266,1.471,1.619,1.967,1.489,1.217,1.173,1.204,1.055,1.346,1.352,1.405,1.224,1.215,1.142,1.202,1.013,1.17,1.251,0.976,1.297,1.236,0.823,0.819,0.857,0.879,0.813,0.882,1.234,1.272,1.461,1.379,1.659,1.113,1.346,1.62,1.817,1.48,1.219,0.942,0.938,1.059,1.22,1.123,1.387,1.393,0.887,0.884,0.916,1.027,1.15,0.886,NA,NA,NA,NA,NA,NA,NA,NA
60550,"60550B","quru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.513,1.191,1.336,0.893,1.114,1.423,1.171,1.122,0.827,0.849,0.743,0.926,1.015,1.152,0.995,1.441,1.235,1.172,1.517,1.989,1.603,1.279,1.464,1.489,1.051,1.143,0.881,1.132,0.948,1.031,0.732,0.473,0.577,0.69,0.819,0.955,1.359,2.487,2.061,2.026,1.89,1.372,1.628,1.664,1.382,1.291,1.605,1.516,1.111,1.31,1.189,1.357,1.967,2.066,1.886,1.571,1.123,1.731,1.473,0.774,0.744,0.703,0.728,0.82,0.964,1.314,1.331,1.396,1.457,1.755,1.167,1.602,1.449,1.41,1.358,1.331,0.894,1.11,1.14,1.104,1.183,1.46,1.781,1.62,1.588,1.772,1.743,2.017,1.591,NA,NA,NA,NA,NA,NA,NA,NA
62019,"62019","quru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.608,2.772,2.652,2.174,2.436,2.695,2.39,2.727,2.405,2.318,2.649,2.99,3.834,4.086,2.692,3.933,3.693,2.168,2.195,3.583,3.391,3.503,3.094,3.169,3.144,3.172,3.17,3.576,2.638,3.779,3.372,2.938,3.318,2.736,2.24,2.998,2.554,3.248,3.96,3.257,3.854,4.086,3.385,2.805,2.524,2.739,3.334,NA,NA,NA,NA,NA,NA,NA,NA
