quadrat,C_or_U,openness,datasource,combined
1812,C,9.22,P,9.22
1813,C,10.22,P,10.22
1814,C,10.3,P,10.3
1815,C,2.08,D,6.64
1816,C,10.85,P,10.85
1817,C,9.92,P,9.92
1819,C,8.93,P,8.93
1820,C,8.23,P,8.23
1821,C,5.72,D,7.6
1828,C,6.1,P,6.1
1829,C,2.34,D,6.71
1831,C,12.71,P,12.71
1832,U,8,P,8
1901,C,8.95,P,8.95
1903,C,9.02,P,9.02
1904,C,0.52,D,6.23
1905,C,10.4,P,10.4
1907,C,2.34,D,6.71
1909,C,3.38,D,6.98
1911,C,2.86,D,6.85
1913,C,11.35,P,11.35
1914,C,11.52,P,11.52
1916,C,10.57,P,10.57
1917,C,10.21,P,10.21
1918,C,1.56,D,6.5
1920,C,8.93,P,8.93
1921,C,5.2,D,7.46
1922,C,10.56,P,10.56
1924,C,11.35,P,11.35
1926,C,4.42,D,7.26
1927,C,11.97,P,11.97
1928,C,9.76,P,9.76
1930,C,3.9,D,7.12
1932,C,11.11,P,11.11
2002,C,2.08,D,6.64
2003,C,11.12,P,11.12
2005,C,9.98,P,9.98
2006,C,3.9,D,7.12
2008,C,3.9,D,7.12
2010,C,3.69,P,3.69
2012,C,2.34,D,6.71
2013,C,10.57,P,10.57
2015,C,2.6,D,6.78
2016,C,9.89,P,9.89
2017,C,11.36,P,11.36
2020,C,7.8,D,8.15
2021,C,4.94,D,7.39
2022,C,12.3,P,12.3
2023,C,9.89,P,9.89
2024,U,8.18,P,8.18
2028,C,7.96,P,7.96
2029,C,6.5,D,7.81
2031,C,4.94,D,7.39
2032,C,11.05,P,11.05
