pest_pathogen_common_name,pest_pathogen_scientific_name,tree_species_affected,pathogen_type,origin,native range,year_introduced_north_america,Virginia_Blue_Ridge_status,Virginia_source,Virginia_year_intro,SNP_year_ID,SNP_notes,SCBI_year_ID,SCBI_observation_type,SCBI_notes,general_notes,citation
Bur Oak Blight,Tubakia iowensis,Quercus macrocarpa,Fungus,exotic,,1990,Nascent risk,,,,,no detection as of 2018,NA,NA,,
Asian longhorn beetle,Anoplophora glabripennis,"Acer, Betula, Populus, Ulmus spp.",Insect,exotic,,1996,Possible risk,"2011 Clermont County Ohio, outside Blue Ridge",,,,no detection as of 2018,NA,NA,likely not to be an issue in the area in the near future,
Introduced pine sawfly,Diprion similes,Pinus spp.,Insect,exotic,,1914,Possible risk,South Appalachians,1977,,no detection as of 2018,no detection as of 2018,NA,NA,Reported elsewhehre in study region: https://www.fs.fed.us/nrs/tools/afpe/maps/png/EPS.png,DOF_email
Engraver beetle,Ips typographus,Conifer species,Insect,exotic,,,Possible risk,not yet present,,,,no detection as of 2018,NA,NA,,
Winter moth,Opherophtera brumata,"Quercus, Acer, Tilia, Ulmus, and other hardwoods",Insect,exotic,Northern and Central Europe,1940,Potential risk,,,,,no detection as of 2018,NA,NA,,
Basswood thrips,Thrips calcaratus,Tilia americana,Insect,exotic,,1925,Potential risk,,,,,no detection as of 2018,NA,NA,,
Sclerroderis canker,Scleroderris lagerbergii,Conifers,Fungus,exotic,,1960,Potential risk,,,,,no detection as of 2018,NA,NA,,
Sudden Oak death,Phytophthora ramorum,Quercus spp.,Fungus,exotic,,1990,Potential risk,,,,,no detection as of 2018,NA,NA,,
Laurel wilt,Raffaelea lauricola,Sassafras albidum,Fungus,exotic,,2002,Potential risk,,,,,no detection as of 2018,NA,NA,,
Redbay ambrosia beetle,Xyleborus glabratus,Sassafras albidum,Insect,exotic,,2002,Potential risk,,,,,no detection as of 2018,NA,NA,,
Spotted Lanternfly,Lycorma delicatula,Ailanthus altissima,Insect,exotic,,2014,Potential risk,,,,,no detection as of 2018,NA,NA,,
Heart rot fungus,Phellinus robiniae / Phellinus rimosus / Polyporus robiniophilus,Robinia pseudoacacia,fungus,,,,Current risk,,,,,2018,observation of symptoms on dead/dying trees,"The robinia's most notable common factor is severe and prolonged rot; their trunks actually suffer from so much decay and loss of mass (accompanied by lots of the typical fungi feeding on dead biomass) that it's difficult to distinguish any insect effects on the wood. (observation by Maya P., 2018)",,FHR-2010-05_pub.pdf; https://www.srs.fs.usda.gov/pubs/misc/ag_654/volume_2/robinia/pseudoacacia.htm
Black locust leaf miner,Odontota dorsalis,Robinia pseudoacacia,Insect,native,,NA,Current risk,native,NA,,Wendy Cass reports that she has noticed a lot of locust leaf miner in the park in the last 10+ years (as of 2018),,,"no sign of damage to leaves on declining individuals, which is not consistent with the effects of the locust leaf miner (observation by Maya P., 2018)","Outbreaks of the locust leafminer occur practically every year, and thousands of black locusts turn brown and are defoliated. Trees that are defoliated seldom die. However, if the damage occurs during a year of drought, or other poor growing conditions, the trees may be killed. If the trees grow two sets of leaves in one growing season, the combined feeding of larvae and adults may destroy both sets. If this double defoliation occurs several years in a row, the tree may die.",https://extension.umd.edu/hgic/locust-leafminer-trees
Locust borer,Megacyllene robiniae,Robinia pseudoacacia,Insect,native,,NA,Current risk,native,NA,,,,,"no sign of damage to leaves on declining individuals, which is not consistent with the effects of locust borer (observation by Maya P., 2018)","Locust borer larvae construct feeding tunnels throughout the wood, and the holes serve as entry points for heart rot fungi that cause extensive wood decay.",https://www.srs.fs.usda.gov/pubs/misc/ag_654/volume_2/robinia/pseudoacacia.htm
Hickory Bark Beetle,Scolytus quadrispinosus,Carya spp.,Insect,native,,NA,Current risk,native,NA,,,2016,detected in Malaise trap 2015 or earlier; mortality attribution to 4 trees in 2016 (Meakem) and two in 2017 (Helcoski),,,
Pine Engraver Beetle,Ips pini,Conifer and Pine species,Insect,native,,NA,Current risk,native,NA,,,,,,,
Southern Pine Engraver,Ips grandicollis,Pinus spp.,Insect,native,,NA,Current risk,native,NA,,,,,,,
Six-spined Ips,Ips calligraphus,Pinus spp.,Insect,native,,NA,Current risk,native,NA,,,,,,,
Small Southern Pine Engraver,Ips avulsus,Pinus spp.,Insect,native,,NA,Current risk,native,NA,,,,,,,
Bronze birch borer,Agrilus anxius,Betula papyrifera,Insect,native,,NA,Current risk,native,NA,,,,,,,
Fall cankerworm,Alsophila pometaria,"Fraxinus, Tilia, Fagus, and other hardwoods",Insect,native,,NA,Current risk,native,NA,,,,,,,
Forest tent caterpillar,Nakacisina disstria,"Acer, Populus, Quercus, and other hardwoods",Insect,native,,NA,Current risk,native,NA,,,,,,,
Hemlock looper,Lambfina fiscellaria,"Tsuga, Abies",Insect,native,,NA,Current risk,native,NA,,,,,,,
Jack pine budworm,Choristoneura pinus,"Pinus spp, especially Pinus banksiana",Insect,native,,NA,Current risk,native,NA,,,,,,,
Maple borer,Glycobius speciosus,Acer spp.,Insect,native,,NA,Current risk,native,NA,,,,,,,
Maple leafcutter ,Paracelemensia acerofoliella,"Acer saccharum, Acer rubrum, Betula spp.",Insect,native,,NA,Current risk,native,NA,,,,,,,
Saddled prominent,Heterocampa guttivitta,Acer spp. And other hardwoods,Insect,native,,NA,Current risk,native,NA,,,,,,,
Spruce budworm,Choristoneura fumiferana,"Picea, Abies",Insect,native,,NA,Current risk,native,NA,,,,,,,
Two lined chesnut borer,Agrilus bilineatus,Quercus spp.,Insect,native,,NA,Current risk,native,NA,,,,,,,
Dogwood borer,Synanthedon scitula,"Cornus alternifolia, Cornus florida",Insect,native,,NA,Current risk,native,NA,,,,,,,
Native elm bark beetle,Hylurgopinus rufipes,Ulmus spp.,Insect,native,,NA,Current risk,native,NA,,,,detected in Malaise trap,,Vector for Dutch Elm disease,
American plum borer,Euzophera semifuneralis,Prunus and other hardwood,Insect,native,,NA,Current risk,native,NA,,,,,,,
Armillaria root rot,Armillaria soo,Hardwoods/conifers,Fungus,native,,NA,Current Risk,native,NA,,,,,,,
Black Knot disease,Apiosporina morbosa,Prunus spp.,Fungus,native,,NA,Current Risk,native,NA,,,,,,,
Hxypoxylon canker,Hypoxolon spp.,Hardwoods (esp. Aspen and other Populus),Fungus,native,,NA,Current Risk,native,NA,,,,,,,
Nectrua canker,Neonectria galligena,Hardwoods (esp. Betula spp. and Juglans nigra),Fungus,native,,NA,Current Risk,native,NA,,,,,,,
Oak wilt,Ceratocystis fagacearum,Quercus spp.,Fungus,native,,NA,Current risk,native,NA,,,,,,,
Fusiform Rust,Cronartium quercuum,"Pinus spp., Quercus spp.",Fungus,native,,NA,Current risk,native,NA,,,,,,,
Elm spanworm,Ennomos subsignaria,"Ulmus, Quercus, Acer, Fagus, Fraxinus and other hardwoods",Insect,native,,NA,Nascent risk,native,NA,,,,,,,
Red oak borer,Enaphalodes rufulus,Quercus rubra,Insect,native,,NA,Nascent risk,native,NA,,,,,,,
Lilac Ash Borer,Podosesia syringae,Fraxinus spp.,Insect,native,,NA,Potential risk,native,NA,,,,,,,
Root Collar Borer,Euzophera ostricolorella,Liriodendron tulipifera,Insect,native,,NA,Potential risk,native,NA,,,,,,,
Fall webworm,Hyphantria cunea,Hardwood trees,Insect,native,,NA,Potential risk,native,NA,,,,,,,
Variable oakleaf caterpillar,Heterocampa manteo,Hardwood trees,Insect,native,,NA,Potential risk,native,NA,,,,,,,
Orangestriped oakworm,Anisota senatoria,"Quercus spp., especially Quercus alba",Insect,native,,NA,Potential risk,native,NA,,,,,,,
Ash Yellows,Candidatus Phytoplasma,Fraxinus spp.,Fungus,native,,NA,Potential risk,native,NA,,,,,,,
Coral spot canker,Nectria cinnabarina,Hardwoods ,Fungus,native,,NA,Potential risk,native,NA,,,,,,,
Red trunk rot,Phellinus pini,Conifers,Fungus,native,,NA,Potential risk,native,NA,,,,,,,
White trunk rot ,"Phellinus igniarus, Phellinus laevigatus, and Phellinus tremulae","Hardwoods (esp. aspen, beech, birch and maple)",Fungus,native,,NA,Potential risk,native,NA,,,,,,,
Southern Pine Beetle,Dendroctonus frontalis Zimmermann,Pinus spp.,Insect,native,"S US; SCBI&SHEN are near the edge of native range (probably outside), more at risk under climate change",NA,Current risk,native,NA,late 1980's,"Southern pine beetle caused fairly significant mortality to pitch, Virginia, and table mt. pines in the park's South District in the early 90s. Wendy Cass reports that she remembers it being pretty dramatic in sections of the south district with whole stands decimated when we re-sampled them in the late 1990's.",,,,SPB is native to the southeastern United States but has been expanding its range up the Eastern Seaboard in recent years. Warming of extreme winter temperatures has most likely contributed to this expansion. Last major outbreak in VA was in the early 1990s,
Yellow poplar weevil,Odontopus calceatus,"Liriodendron, Sassafras , Magnolia ",insect,native,,NA,Current risk,native,NA,,,,,,damage is mostly aesthetic and generally does not  affect  the  overall  health  of  the  tree,FHR-2008-05_pub
Walnut anthracnose or walnut black spot,Ophiognomonia leptostyla (previously Gnomonia leptostyla),"Juglans spp., Carya cordiformis",Fungus,native,,NA,Current risk,native,NA,,mentioned as common on butternut in Berg & Moore 1941,,,,,
