"tag","coreID","sp","1877","1878","1879","1880","1881","1882","1883","1884","1885","1886","1887","1888","1889","1890","1891","1892","1893","1894","1895","1896","1897","1898","1899","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
80640,"80640A","caovl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.571,1.408,0.883,0.776,0.786,0.595,0.655,1.095,1.79,1.248,1.758,1.47,1.879,1.549,1.399,1.044,1.119,0.921,0.78,0.689,0.701,1.44,1.297,1.656,1.172,1.298,1.5,1.292,0.96,1.117,1.127,0.679,0.58,0.845,0.57,0.603,0.578,0.426,0.465,1.303,1.824,1.671,1.851,1.985,1.77,1.765,1.774,1.293,1.844,1.631,1.465,1.119,1.201,1.667,2.077,1.566,1.543,1.962,1.969,2,2.075,2.26,1.187,1.57,1.44,0.573,0.591,0.642,0.562,0.718,0.845,1.285,1.175,1.542,1.404,1.962,0.775,1.065,1.468,0.803,0.728,0.804,0.767,1.258,1.639,1.697,0.871,0.858,0.854,0.633,0.724,1.094,NA,NA,NA,NA,NA,NA,NA,NA
90552,"90552","caovl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.755,1.359,1.073,0.816,1.451,1.52,1.621,1.478,1.377,1.452,1.021,1.366,1.05,1.109,0.984,1.222,1.244,1.153,1.185,0.911,1.035,1.14,1.068,1.007,0.838,1.357,0.795,1.17,1.075,0.826,0.998,1.178,0.951,0.902,0.819,0.784,0.945,0.855,1.031,0.672,0.911,0.887,0.838,0.638,0.487,0.544,0.497,0.56,0.818,0.703,0.764,0.613,0.9,0.865,0.916,1.037,0.711,0.487,0.705,0.64,0.414,0.504,0.548,0.445,0.326,0.385,0.374,0.429,0.467,0.6,0.81,0.45,0.604,0.622,0.607,0.471,0.554,0.56,0.628,0.606,0.56,0.772,0.692,0.484,0.594,0.636,0.651,0.567,0.61,0.59,NA,NA,NA,NA,NA,NA,NA,NA
91302,"91302","caovl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.392,0.393,0.304,0.23,0.236,0.253,0.279,0.351,0.471,0.393,0.399,0.324,0.288,0.163,0.213,0.286,0.284,0.175,0.105,0.174,0.909,0.873,0.493,0.783,0.829,1.076,1.628,1.322,1.898,1.651,2.116,2.219,2.122,1.934,1.597,2.039,1.887,1.933,1.514,1.026,1.17,1.573,2.115,2.312,1.861,1.873,1.545,1.157,1.177,1.185,1.085,1.68,1.603,1.427,1.329,1.522,1.264,1.308,1.394,1.32,1.941,1.746,2.587,1.961,2.148,1.654,1.174,1.121,0.998,1.292,0.924,1.596,1.621,1.456,1.633,1.428,1.637,1.628,1.571,1.823,1.454,1.043,1.997,1.576,0.828,0.635,0.765,0.741,0.789,0.77,0.96,1.078,1.097,1.288,1.166,0.718,1.237,1.525,1.657,1.244,0.997,0.917,1.19,0.93,1.3,1.065,1.158,1.06,1.172,1.207,1.161,1.199,1.249,1.059,NA,NA,NA,NA,NA,NA,NA,NA
91332,"91332","caovl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.044,2.067,2.027,1.82,1.274,1.489,1.061,1.158,1.373,0.944,1.133,1.087,0.913,0.93,0.924,1.113,1.037,1.042,0.865,1.276,1.594,1.396,1.146,1.156,1.034,1.467,1.162,1.668,1.572,1.452,1.453,1.288,1.045,1.337,1.383,1.805,1.62,2.284,1.668,1.468,1.421,0.732,1.298,0.954,1.188,1.016,1.407,1.185,1.245,0.967,1.04,0.994,1.214,0.827,1.145,0.824,0.762,1.271,0.836,0.705,0.989,1.177,0.866,1.116,1.288,1.124,1.283,1.445,1.166,1.382,0.65,0.856,1.325,1.352,1.018,0.912,0.822,0.852,0.894,1.044,1.672,1.338,0.827,1.307,0.814,0.99,1.076,0.8,0.73,NA,NA,NA,NA,NA,NA,NA,NA
91385,"91385","caovl",0.341,0.191,0.462,0.33,0.367,0.499,0.482,0.466,0.657,0.359,0.398,0.407,0.376,0.481,0.46,0.587,0.945,0.803,0.967,0.948,1.419,1.425,0.975,0.93,0.85,0.917,0.74,0.752,0.67,0.532,0.622,0.671,0.34,0.418,0.439,0.198,0.309,0.387,0.3,0.506,1.355,1.365,0.808,0.853,1.002,1.026,0.792,0.668,0.748,1.328,1.163,1.029,1.537,0.909,0.632,0.739,0.885,1.044,0.89,1.001,0.852,1.023,0.858,0.825,0.881,0.762,0.92,0.843,0.826,0.619,0.665,0.933,1.026,0.891,0.914,0.715,0.707,0.772,0.681,0.78,0.709,0.866,0.662,0.887,0.765,0.72,0.792,0.508,0.565,0.526,0.619,0.804,0.762,0.761,0.579,0.603,0.741,0.736,0.96,0.974,0.731,0.796,0.856,0.496,0.52,0.666,0.524,0.44,0.599,0.678,0.602,0.59,0.556,0.868,0.515,0.383,0.765,0.625,0.442,0.656,0.533,0.608,0.505,0.544,0.523,0.648,0.548,0.33,0.372,0.271,0.379,0.648,0.469,NA,NA,NA,NA,NA,NA,NA,NA
92455,"92455A","caovl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.656,1.946,1.027,1.144,0.372,0.241,0.3,0.853,0.741,0.623,0.453,0.465,0.333,0.518,0.274,0.217,0.247,0.372,0.541,0.189,0.393,0.274,0.5,0.584,0.727,1.395,1.657,0.978,1.041,1.281,0.999,1.404,0.633,1.131,0.716,0.624,0.586,0.687,0.541,0.508,0.602,0.412,0.445,0.499,0.267,0.303,0.27,0.408,0.344,0.256,0.459,0.527,0.587,0.72,0.792,0.904,0.654,0.473,0.401,0.445,0.267,0.242,0.212,0.196,0.206,0.232,0.31,0.169,0.205,0.156,0.119,0.127,0.172,0.239,0.208,0.198,0.199,0.162,0.23,0.262,0.285,0.219,0.177,0.177,0.189,0.169,0.18,0.138,0.174,0.128,0.09,0.134
92455,"92455B","caovl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.773,1.362,1.138,0.642,0.684,0.396,1.543,1.522,1.419,0.918,1.205,0.789,0.401,0.392,1.019,0.639,0.715,0.624,0.413,0.402,0.253,0.301,0.99,1.938,2.66,1.528,1.232,1.193,1.744,3.198,1.496,2.614,1.568,1.339,1.335,0.977,0.827,0.755,0.865,0.464,0.566,0.477,0.367,0.406,0.384,0.492,0.361,0.479,0.605,0.695,1.11,1.74,2.001,1.631,1.285,0.616,0.407,0.227,0.206,0.232,0.226,0.179,0.152,0.25,0.173,0.188,0.176,0.153,0.161,0.149,0.13,0.123,0.192,0.211,0.167,0.172,0.162,0.159,0.18,0.132,0.135,0.171,0.143,0.19,0.164,0.179,0.185,0.174,0.193,0.166,0.211,0.18,0.164,0.147,0.139,0.08,0.104,0.133,0.127,0.137,0.175
100919,"100919","caovl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.532,2.409,1.793,1.475,1.411,0.631,0.859,0.639,0.641,0.425,0.399,0.523,1.378,1.359,0.926,0.925,0.865,0.726,0.662,0.501,0.351,0.2,0.25,0.177,0.171,0.289,0.784,0.632,0.452,0.355,0.392,0.336,0.511,0.632,0.63,0.905,1.421,1.049,0.461,0.722,0.531,0.517,0.822,0.464,0.675,0.496,0.707,0.66,0.515,0.481,0.345,0.23,0.245,0.139,0.175,0.211,0.238,0.414,0.188,0.183,0.142,0.126,0.109,0.111,0.072,0.179,0.2,0.07,0.072,0.072,0.083,0.066,0.079,0.052,0.204,0.136,NA,NA,NA,NA,NA,NA,NA,NA
100963,"100963","caovl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.456,0.365,0.174,0.244,0.133,0.093,0.073,0.152,0.934,1.779,1.411,1.097,0.852,1.117,0.871,0.949,0.577,0.584,0.523,0.684,0.407,0.316,0.4,0.416,0.273,0.194,0.071,0.128,0.104,0.073,0.106,0.173,0.38,0.391,0.349,0.408,0.268,0.23,0.491,0.598,0.515,0.341,0.406,0.413,0.423,0.311,0.195,0.21,0.186,0.288,0.213,0.314,0.211,0.365,0.627,0.688,0.821,0.389,NA,NA,NA,NA,NA,NA,NA,NA
111081,"111081","caovl",NA,0.501,0.605,0.466,0.5,0.552,0.511,0.59,1.152,0.949,1.281,0.957,1.072,0.814,1.77,1.84,1.547,1.303,1.124,1.087,0.983,0.592,0.431,0.273,0.363,0.345,0.334,0.437,0.165,0.174,0.151,0.513,0.885,0.867,0.368,0.75,0.679,0.52,1.646,2.082,1.775,1.378,1.572,1.74,1.735,1.489,1.029,1.641,1.586,1.794,1.937,1.501,1.607,1.059,1.705,1.112,1.157,1.019,1.044,1.222,1.189,1.204,0.641,0.517,0.527,0.565,0.626,0.548,0.714,0.718,0.51,0.801,0.461,0.63,0.5,0.521,0.435,0.947,0.564,0.687,0.599,1.047,0.607,0.571,0.771,0.504,0.652,0.602,0.704,0.396,0.795,0.689,1.059,0.585,0.562,0.594,0.62,0.671,0.502,0.706,0.442,0.555,0.667,0.318,0.407,0.464,0.496,0.386,0.478,0.473,0.467,0.506,0.515,0.884,0.362,0.425,0.524,0.438,0.436,0.372,0.321,0.238,0.284,0.292,0.412,0.431,0.371,0.429,0.286,0.371,0.461,0.327,0.313,NA,NA,NA,NA,NA,NA,NA,NA
111189,"111189","caovl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.318,1.053,1.126,0.669,0.599,0.471,1.032,1.764,1.547,1.437,1.709,1.678,0.913,0.347,0.61,0.706,0.58,0.498,0.559,0.662,0.597,0.291,0.67,0.534,0.53,0.53,0.706,0.423,0.698,0.854,1.317,0.865,0.818,0.558,0.617,0.414,0.421,0.113,0.18,0.174,0.245,0.128,0.108,0.128,0.138,0.092,0.055,0.078,0.166,0.124,0.1,0.148,0.072,0.13,0.11,0.096,0.101,0.124,0.174,0.146,0.11,0.153,0.06,0.137,0.065,0.15,0.108,0.058,0.132,NA,NA,NA,NA,NA,NA,NA,NA
111190,"111190A","caovl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.493,0.331,0.544,0.43,0.549,0.562,0.626,0.717,0.76,0.646,0.87,0.94,0.84,0.587,0.503,0.545,0.684,0.865,0.902,0.708,0.642,0.984,0.771,0.853,1.011,0.894,0.935,0.812,0.922,0.905,0.566,1.123,1.009,0.96,1.147,1.056,1.144,1.201,1.237,1.177,1.244,1.624,1.339,1.341,1.422,1.41,1.358,0.742,1.052,0.768,1.081,1.175,1.109,1.179,1.191,0.957,1.113,0.937,1.261,1.128,0.85,0.976,0.845,0.21,0.207,0.211,0.239,0.256,0.196,0.192,0.337,0.35,0.301,0.551,0.303,0.307,0.428,0.512,0.346,0.37,0.28,0.395,0.315,0.343,0.344,0.548,0.409,0.24,0.365,0.396,0.244,0.344,0.315,NA,NA,NA,NA,NA,NA,NA,NA
121162,"121162","caovl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.552,0.556,0.677,0.572,0.507,0.651,0.482,0.503,0.542,0.52,0.642,0.657,0.55,0.4,0.256,0.312,0.378,0.155,0.335,0.229,0.972,0.89,0.813,0.578,0.852,1.367,1.401,1.716,0.892,1.446,1.256,1.001,1.183,1.316,1.019,0.9,0.968,0.747,0.711,0.863,0.576,0.753,0.88,1.039,0.638,0.492,0.733,0.597,0.483,0.426,0.496,0.487,0.267,0.355,0.332,0.255,0.245,0.235,0.285,0.296,0.37,0.431,0.499,0.761,0.483,0.707,0.675,0.426,0.441,0.35,0.345,0.266,0.294,0.331,0.31,0.329,0.296,0.238,0.249,0.192,0.19,0.282,0.201,0.238,0.231,0.233,0.27,0.217,0.116,0.14,0.127,0.303,0.196,0.249,0.158,0.216,0.137,0.104,0.131,0.16,0.172,0.123,0.244,0.169,0.175,0.238,0.235,0.252,0.145,0.189,NA,NA,NA,NA,NA,NA,NA,NA
121301,"121301","caovl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.073,1.178,0.884,0.868,1.071,1.171,0.762,0.836,0.536,0.788,1.133,0.659,0.535,0.495,0.568,0.498,0.169,0.222,0.166,0.167,0.094,0.134,0.267,0.388,0.542,0.765,0.688,0.718,0.448,0.507,0.239,0.326,0.207,0.221,0.246,0.217,0.167,0.311,0.262,0.352,0.304,0.232,0.271,0.218,0.194,0.129,0.138,0.251,0.249,0.678,0.773,0.553,0.494,0.328,0.424,0.44,0.276,0.363,0.274,0.363,0.272,0.322,0.436,0.357,0.266,0.278,0.225,0.268,0.299,0.406,0.332,0.184,0.348,0.2,0.231,0.236,0.203,0.301,0.295,NA,NA,NA,NA,NA,NA,NA,NA
