"sp","individual","ind_ID","L_M_S","suspicious_measurement","notes","fresh_mass_leaf_blade_g","dry_mass_leaf_blade_g","fresh_mass_petiole_g","dry_mass_petiole_g","thickness_top_mm","thickness_middle_mm","thickness_bottom_mm","petiole_diameter_x_top_mm","petiole_diameter_x_middle_mm","petiole_diameter_x_bottom_mm","petiole_diameter_y_top_mm","petiole_diameter_y_middle_mm","petiole_diameter_y_bottom_mm","petiole_length_mm","rachis_length_mm","rachis._fresh_mass_g","rachis_dry_mass_g","petiole_plus_rachis_length_mm","SPAD_top_AP","SPAD_top_C","SPAD_top_SPAD","SPAD_middle_AP","SPAD_middle_C","SPAD_middle_SPAD","SPAD_Bottom_AP","SPAD_bottom_C","SPAD_bottom_SPAD","n_leaflets","SWC","LT_mm","LDMC","SPAD"
"qupr",1,"qupr_1","S",0,"",0.77,0.38,0.03,0,0.24,0.26,0.24,2.7,2.28,1.49,1.79,1.67,1.36,10.86,NA,NA,NA,NA,64,47,36.43,69,49.7,39.103,56,43.4,32.866,NA,1.02631578947368,0.246666666666667,0.493506493506494,36.133
"qupr",2,"qupr_2","L",0,"",1.42,0.6,0.06,0.01,0.13,0.17,0.17,2.58,2.16,1.64,2.34,2.03,1.54,14.34,NA,NA,NA,NA,41,35.8,25.342,58,44,33.46,60,45.3,34.747,NA,1.36666666666667,0.156666666666667,0.422535211267606,31.183
"qupr",2,"qupr_2","M",0,"",0.55,0.24,0.02,0,0.14,0.15,0.16,1.91,1.42,1.08,1.59,1.47,1.15,11.05,NA,NA,NA,NA,50,40.2,29.698,48,39.4,28.906,62,46.4,35.836,NA,1.29166666666667,0.15,0.436363636363636,31.48
"qupr",2,"qupr_2","S",0,"",0.43,0.2,0.01,0,0.16,0.16,0.16,1.53,1.38,1.06,1.37,1.41,0.99,11.79,NA,NA,NA,NA,48,39.1,28.609,55,42.8,32.272,42,36,25.54,NA,1.15,0.16,0.465116279069767,28.807
"qupr",3,"qupr_3","L",0,"",1.05,0.41,0.01,0,0.12,0.14,0.16,2.16,1.74,0.74,1.95,1.73,1.38,8.95,NA,NA,NA,NA,50,40.1,29.599,56,43,32.47,56,43,32.47,NA,1.5609756097561,0.14,0.39047619047619,31.513
"qupr",3,"qupr_3","M",0,"",0.45,0.18,0.01,0,0.13,0.16,0.18,1.02,1.68,1.74,1.7,1.27,1.04,9.65,NA,NA,NA,NA,68,49.3,38.707,68,49.4,38.806,53,41.8,31.282,NA,1.5,0.156666666666667,0.4,36.265
"qupr",3,"qupr_3","S",0,"",0.22,0.11,0.01,0,0.11,0.13,0.15,0.95,0.98,1.11,0.63,1.09,1.13,5.44,NA,NA,NA,NA,54,42,31.48,54,42.3,31.777,58,44.1,33.559,NA,1,0.13,0.5,32.272
"quve",1,"quve_1","L",0,"",2.97,1.23,0.12,0.03,0.21,0.29,0.18,1.87,2.17,3.87,1.72,1.97,3.27,21.51,NA,NA,NA,NA,62,46.1,35.539,59,44.8,34.252,56,43,32.47,NA,1.41463414634146,0.226666666666667,0.414141414141414,34.087
"quve",1,"quve_1","M",0,"",1.33,0.52,0.05,0.03,0.1,0.14,0.2,2.45,1.59,2.3,1.56,1.83,2.43,14.54,NA,NA,NA,NA,46,38.4,27.916,50,40,29.5,56,43.2,32.668,NA,1.55769230769231,0.146666666666667,0.390977443609023,30.028
"quve",1,"quve_1","S",0,"",0.38,0.14,0,0,0.12,0.13,0.08,0.85,1.01,1.46,0.93,1.53,1.77,9.26,NA,NA,NA,NA,48,39.2,28.708,50,40.4,29.896,49,39.8,29.302,NA,1.71428571428571,0.11,0.368421052631579,29.302
"quve",2,"quve_2","L",0,"",3.51,1.34,0.22,0.08,0.15,0.21,0.17,2.17,2.2,4.41,2.03,2.16,3.69,33.08,NA,NA,NA,NA,48,39.3,28.807,50,40.3,29.797,54,42,31.48,NA,1.61940298507463,0.176666666666667,0.381766381766382,30.028
"quve",2,"quve_2","M",0,"",1.81,0.69,0.09,0.02,0.13,0.17,0.15,1.73,1.81,3.12,1.48,1.57,2.65,23.38,NA,NA,NA,NA,49,39.7,29.203,49,39.9,29.401,47,38.6,28.114,NA,1.6231884057971,0.15,0.38121546961326,28.906
"quve",2,"quve_2","S",0,"",0.32,0.11,0.03,0,0.14,0.14,0.13,1.17,1.37,2.52,1.07,1.34,2.33,12.93,NA,NA,NA,NA,52,41,30.49,50,40,29.5,54,42.2,31.678,NA,1.90909090909091,0.136666666666667,0.34375,30.556
"quve",3,"quve_3","L",0,"",3.16,1.18,0.21,0.07,0.16,0.2,0.18,2.01,2.07,4.22,1.89,2.01,3.86,38.23,NA,NA,NA,NA,55,42.9,32.371,62,46,35.44,56,43,32.47,NA,1.67796610169492,0.18,0.373417721518987,33.427
"quve",3,"quve_3","M",0,"",1.76,0.67,0.1,0.04,0.13,0.18,0.19,1.61,1.65,3.03,1.54,1.65,2.69,27.51,NA,NA,NA,NA,52,41.3,30.787,53,41.8,31.282,53,41.9,31.381,NA,1.62686567164179,0.166666666666667,0.380681818181818,31.15
"quve",3,"quve_3","S",0,"",0.91,0.34,0.06,0.01,0.16,0.22,0.2,1.39,1.53,2.24,1.25,1.45,1.96,15.48,NA,NA,NA,NA,55,42.9,32.371,55,42.6,32.074,53,41.8,31.282,NA,1.67647058823529,0.193333333333333,0.373626373626374,31.909
