sp,dbh_cm,l_m,h_m,vol_m3,bio_kg
caovl,38.39,24.11,23.52,2.11,1307.54
caovl,45.5,28.29,27.96,2.39,1478.82
cato,5.21,7.67,7.36,0.01,7.82
cato,5.48,9.97,9.95,0.03,15.8
cato,5.72,13.38,13.26,0.05,28.53
cato,6.09,8.01,7.87,0.02,9.62
cato,6.68,9.2,8.71,0.03,15.69
cato,6.8,9.82,9.79,0.02,15.38
cato,6.8,7.59,7.58,0.02,10.67
cato,7.31,10.97,10.48,0.03,17.51
cato,7.66,8.37,8.21,0.01,8.1
cato,7.91,9.08,8.89,0.03,17.68
cato,9.6,11.77,11.6,0.07,44.03
cato,10.05,10.76,10.5,0.09,54.07
cato,10.4,13.52,13.27,0.07,46.04
cato,10.45,12.19,12.09,0.06,37.17
cato,10.61,9.18,9.03,0.03,18.3
cato,10.77,12.35,11.85,0.08,48.45
cato,12.05,15.72,15.54,0.11,68.74
cato,12.58,13.7,13.45,0.11,69.39
cato,12.79,12.99,12.21,0.12,76.56
cato,16.9,10.58,10.43,0.19,115.29
cato,18.4,28.85,28.82,0.63,388.67
cato,19.36,19.68,18.69,0.35,219.75
cato,20.04,19.84,19.81,0.46,287.39
cato,20.16,16.07,16.01,0.25,154.95
cato,20.2,19.86,19.51,0.41,255.91
cato,21.23,20.1,20.01,0.47,292.13
cato,22.61,17.69,17.53,0.54,334.68
cato,23.4,18.02,17.97,0.62,381.4
cato,24.02,23.81,23.63,0.54,336.48
cato,26.24,24.06,23.6,0.99,612.05
cato,30.39,28.94,28.38,1.9,1177.12
cato,31.62,28.39,28.02,1.01,628.59
cato,41.07,29.26,29.11,2.65,1640.73
fagr,6.26,8.31,8.12,0.02,11.77
fagr,6.75,11.33,11.16,0.11,62.73
fagr,7.15,9.53,9.37,0.04,20.17
fagr,8.09,8.73,8.7,0.03,18.9
fagr,9.33,8.89,8.84,0.04,21.87
fagr,9.97,11.27,11.06,0.07,38.98
fagr,12.62,9.88,9.52,0.07,37.68
fagr,15.13,15.46,15.4,0.21,117.72
fagr,16.65,17.57,17.56,0.26,145.43
fagr,16.99,19.03,18.92,0.29,160.92
fagr,19.42,18.21,18.15,0.42,234.02
fagr,20.04,20.06,20.02,0.38,212.68
fagr,20.95,18.77,18.46,0.63,354.23
fagr,22.2,18.65,18.58,0.71,399.17
fagr,25.6,14.38,14.35,0.42,234.18
fagr,26.95,20.74,20.68,0.96,537.98
fagr,28.18,21.7,21.67,1.11,619.23
fagr,30.63,27.46,27.19,1.26,703.79
fagr,36.5,28.2,27.86,2.84,1591.44
fagr,104.68,33.95,33.66,19.96,11178.55
fram,7.75,10.52,9.85,0.0424,23.3
fram,9.65,9.6,9.57,0.0382,21
fram,11.25,9.88,9.68,0.0563,30.9
fram,11.3,10.24,10.26,0.0881,48.5
fram,11.95,11.73,11.7,0.0883,48.6
fram,12.89,13.56,13.47,0.1638,90.1
fram,13.58,11.8,11.58,0.0845,46.5
fram,14.55,13.93,13.87,0.1211,66.6
fram,15.6,12.3,12.16,0.1917,105.5
fram,18.24,13.83,12.13,0.2706,148.9
fram,26.49,22.55,22.01,0.727,399.8
fram,26.65,21.21,21.04,0.834,458.7
fram,45.36,31.77,31.66,3.201,1760.5
fram,45.98,26.38,25.2,2.7579,1516.9
fram,52.31,31.83,31.68,4.9595,2727.7
fram,54.98,28.59,28.33,4.7316,2602.4
litu,9.91,10.34,10.21,0.09,37.1
litu,13.12,13.76,9.83,0.14,54.61
litu,16.19,14.63,14.57,0.29,114.42
litu,16.49,14.67,14.36,0.25,98.09
litu,17.79,17.25,17.25,0.28,113.02
litu,17.95,17.87,17.42,0.42,169.95
litu,18.43,19.07,18.87,0.3,121.6
litu,18.65,14.81,14.78,0.32,126.58
litu,19.14,19.87,19.78,0.37,147.81
litu,20.78,14.78,14.75,0.34,136.46
litu,22.55,19.01,18.44,0.48,192.5
litu,26.21,22.28,22.1,0.77,306.12
litu,26.27,27.5,27.5,1.11,445.87
litu,28,28.84,28.74,1.08,431.72
litu,28.63,21.79,21.48,0.89,356.1
litu,31.75,27.49,26.61,1.14,457.87
litu,32.48,28.73,28.43,1.19,476.54
litu,34.82,29.33,29.28,1.55,620.18
litu,36.6,29.87,29.72,1.78,711.04
litu,39.97,28.23,28.21,2.41,964.3
litu,40.45,31.17,31.15,2.91,1163.85
litu,44.18,27.98,27.95,2.43,971.48
litu,46.4,31.71,31.64,3.17,1266.96
litu,46.7,32.38,32.02,3.52,1409.56
litu,49.23,31.93,31.67,4.32,1727.95
litu,49.27,35.08,34.97,4.13,1652.5
litu,49.42,35.52,35.53,3.25,1301.23
litu,50.18,30.2,30,4.69,1877.31
litu,51.34,32.78,32.58,4.5,1799.88
litu,51.39,32.7,32.24,4.1,1638.36
litu,51.55,32,31.97,3.88,1550.02
litu,52.05,31.36,31.35,4.43,1771.7
litu,53.68,31.59,31.5,4.64,1856.32
litu,54.32,32.21,32.06,4.06,1624.18
litu,54.62,31.48,31.42,5.44,2176.21
litu,57.21,34.59,34.3,5.11,2044.75
litu,59.34,33.65,33.53,6.19,2476.09
litu,59.73,32.22,31.59,6.7,2679.02
litu,60.23,37.39,36.72,5.17,2067.82
litu,63.87,37.19,36.72,6.32,2529.68
litu,65.25,36.7,36.67,6.88,2750.41
litu,71.69,33.35,32.62,5.72,2288.43
litu,71.72,33.14,33.09,9.86,3944.47
litu,72.65,36.64,36.43,8.08,3232.57
litu,74,32.96,32.91,7.01,2804.92
litu,82.11,32.57,32.52,9.92,3969.48
litu,103.61,34.52,33.88,16.71,6685.6
litu,120.09,34.12,33.95,25.2,10079.43
qual,20.75,15.72,15.44,0.34,203.43
qual,24.29,20.93,20.92,0.73,435.94
qual,27.55,25.64,24.78,1.11,663.71
qual,28.92,25.11,24.94,1.31,785.44
qual,30.24,23.52,23.25,1.05,628.97
qual,33.64,26.18,21.72,1.1,657.12
qual,37.9,27.52,27.48,1.33,795.52
qual,39.32,25.25,24.92,2.23,1336.51
qual,46.43,27.68,27.04,3.42,2050.94
qual,48.52,28.22,27.99,4.19,2514.56
qual,48.77,29.91,28.77,2.69,1615.22
qual,48.8,27.32,26.63,4.26,2556.5
qual,49.35,28.11,27.77,2.45,1470.61
qual,51.4,30.16,29.73,5.91,3547.43
qual,54.48,31.23,30.84,3.97,2382.86
qual,58.39,31.63,31.54,5.24,3144.23
qual,59.24,31.01,30.21,7.77,4663.9
qual,61.78,27.38,27.29,6.29,3774.62
qual,65.55,31.57,30.92,8.96,5376.59
qual,65.58,28.24,27.71,5.5,3300.37
qual,67.25,29.84,29.74,6.13,3678.09
qual,68.38,28.22,28.18,4.9,2937.47
qual,69,24.61,24.36,4.63,2777.8
qual,72.57,29.56,29.43,8.26,4956.4
qual,76.25,32.12,31.57,7.72,4631.25
qupr,11.09,8.74,8.45,0.05,30.17
qupr,20.52,20.12,19.27,0.34,193.48
qupr,27.3,24.98,23.81,1.13,645.02
qupr,27.6,22.56,22.02,0.7,400.29
qupr,34.49,28.69,28.4,1.34,766.61
qupr,34.5,23.67,22.27,1.49,846.63
qupr,34.89,25.96,25.87,1.67,951.91
qupr,45.77,27.9,27.67,3.15,1797.63
qupr,45.92,29.04,28.55,2.44,1392.72
qupr,49.25,29.33,29.26,4.34,2476.54
qupr,49.61,28.21,27.66,3.5,1993.77
quru,12.95,17,16.91,0.17,94.15
quru,14.6,17.5,17.16,0.26,147.78
quru,22.82,19.8,19.42,0.51,284.12
quru,26.42,21.84,21.66,0.74,416.99
quru,33.7,30.86,30.73,1.65,924.78
quru,38.72,30.01,29.51,2.24,1256.99
quru,39.2,29.03,28.95,2.17,1214.18
quru,46.68,28.68,28.09,3.71,2079.68
quru,50.1,28.13,27.75,3.61,2024.2
quru,52.93,28.68,28.27,3.23,1806.51
quru,54.29,26.31,26.05,3.27,1831.87
quru,60,31.05,30.62,5.24,2936.19
quru,65.09,31.91,31.81,7.15,4001.47
quru,68.56,31.17,31.16,4.86,2722.19
quru,70.5,30.59,29.38,8.86,4962.93
quru,91.2,30.67,30.58,12.72,7121.3
quru,92.6,30.73,29.99,9.92,5557.92
