quadrat,tag,stem,sp,lx,ly,codes.2013,dbh.2013,status.2015,status.2016,status. 2017,new.status,dbh.if.dead,perc.crown,crown.position,fad1,fad2,fad3,fad4,DF,liana.load,fraxinus.crown thinning,fraxinus.epicormic growth,EABF,DE.count,Old comments,2018 comments,cored,Date,surveyors
106,10427,1,juni,1.5,12.8,,271.3999939,A,A,A,A,,,,,,,,,,,,,,tag missing,tag missing,,7/5/2018,Prestipino/Terrell
107,10433,1,caca,14,2.7,,106.8000031,A,A,A,A,,,,,,,,,,,,,,,,,7/5/2018,Prestipino/Terrell
107,10434,1,caco,20,1.7,,181.5,A,A,A,A,,,,,,,,,,,,,,,antracnose/wilt,,7/5/2018,Prestipino/Terrell
107,10436,1,fagr,10.3,8.2,,561,A,A,A,A,,,,,,,,,,,,,,,,,7/5/2018,Prestipino/Terrell
107,10440,1,fram,14.3,12.5,,364.5,A,A,AU,DS,372,1,CD,B,BB,,,,,5,0,"SS, AS, W, DE",5,"break at crown, crushed by 10440","break at crown, crushed by 10441",,7/5/2018,Prestipino/Terrell
107,10443,1,caca,18.2,16.3,,140.3999939,A,A,A,A,,,,,,,,,,,,,,,Break at 4.5m,,7/5/2018,Prestipino/Terrell
107,10444,1,quru,14.8,15.9,,101.6999969,A,A,A,A,,,,,,,,,,,,,,,,,7/5/2018,Prestipino/Terrell
107,10445,1,acru,17.5,19.9,M,206.8000031,A,A,A,A,,,,,,,,,,,,,,,,,7/5/2018,Prestipino/Terrell
107,10446,1,nysy,13.7,19.1,,657.2000122,A,A,A,A,,,,,,,,,,,,,,,K,,7/5/2018,Prestipino/Terrell
107,10448,1,caca,9.2,15.5,,138.1000061,A,A,A,AU,,,,B,AN,R,F,,,,,,,,many breaks,,7/5/2018,Prestipino/Terrell
107,10449,1,unk,9.7,17,DC,387.6000061,PD,PD,PD,PD,,,,,,,,,,,,,,,,,7/5/2018,Prestipino/Terrell
107,10452,1,cagl,11.2,13.4,,451.1000061,A,A,A,A,,,,,,,,,,,,,,,sapsucker,,7/5/2018,Prestipino/Terrell
107,10454,1,cagl,4.6,17.4,,238.8000031,A,A,A,A,,,,,,,,,,,,,,,,,7/5/2018,Prestipino/Terrell
107,10517,1,quve,4.5,0.6,L,200,A,A,AU,A,,,,,,,,,,,,,,,one stem dead,,7/5/2018,Prestipino/Terrell
107,10518,1,caco,3.4,0.5,,464.2000122,A,A,A,A,,,,,,,,,,,,,,,,,7/5/2018,Prestipino/Terrell
107,10523,1,unk,6.8,3,DC,526.0999756,PD,PD,PD,PD,,,,,,,,,,,,,,,,,7/5/2018,Prestipino/Terrell
107,10526,1,fram,6.1,14,,164.8999939,A,A,A,A,,,I,,,,,,,1,0,none,,,,,7/5/2018,Prestipino/Terrell
107,10527,1,caca,0.1,8.2,,128.8000031,A,A,A,A,,,,,,,,,,,,,,,,,7/5/2018,Prestipino/Terrell
108,10457,1,qual,19.4,4.8,DC,778.0999756,PD,PD,PD,PD,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
108,10461,1,caca,12.4,2.8,DN,154.8000031,PD,PD,PD,PD,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
108,10462,1,caca,11.1,12.9,,125.5,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
108,10463,1,acru,10.6,13.8,,154.3000031,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
108,10464,1,cato,11.7,17.4,,446.7000122,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
108,10465,1,cato,11.4,18.2,,139,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
108,10466,1,caca,12.2,18.2,,103.0999985,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
108,10467,1,cato,12.5,19.9,,218.8999939,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
108,10468,1,fram,15.8,20,,384.3999939,A,A,A,A,,,CD,,,,,,,2,0,W,,,,,7/6/2018,Prestipino
108,10530,1,quve,4,2.1,,419.6000061,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
108,10531,1,caca,4.3,4.3,M,102,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
108,10532,1,qual,5.7,5.2,,234.8000031,DS,PD,PD,PD,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
108,10534,1,fram,10.2,7.4,,622.2000122,A,A,A,A,,,D,,,,,,,1,2,none,,,,,7/6/2018,Prestipino
108,10535,1,caca,5.6,5.3,,168.5,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
108,10536,1,cato,4.6,7.3,,295.2000122,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
108,10537,1,caca,4.6,8.2,,192.1000061,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
108,10539,1,fram,4.3,12,,470.8999939,A,A,DS,PD,472.5,2,CD,U,R,BB,F,,4,5,0,DE,3,,,,7/6/2018,Prestipino
108,10540,1,cagl,5.2,11.8,,125.0999985,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
108,10543,1,quru,7.9,15.4,,309,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
108,10544,1,unk,6.4,18.4,"DS,B",248.8999939,PD,PD,PD,PD,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
108,10545,1,caca,3.7,17,,128.6000061,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
108,10546,1,nysy,2.5,18.2,,265,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
108,10548,1,caovl,2.5,16.2,,115.6999969,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
109,10469,1,litu,9.7,1,,838.7999878,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
109,10470,1,caca,7.7,3.4,,165,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
109,10473,1,prse,13.8,2.2,,330,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
109,10474,1,caca,13.9,2.9,,124.5,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
109,10475,1,qual,17.4,4.6,,132.1000061,A,A,A,A,,,,,,,,,,,,,,,antracnose/wilt,,7/6/2018,Prestipino
109,10479,1,caca,17.1,9.8,,114.9000015,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
109,10480,1,caco,12,7.4,,143.1000061,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
109,10481,1,litu,12,8.3,,762.2000122,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
109,10482,1,caca,9.5,7.6,M,119.8000031,A,DC,PD,PD,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
109,10483,1,qual,12.7,9.1,,144.3999939,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
109,10484,1,acru,18.8,12.2,,261.7999878,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
109,10485,1,caca,17.6,12.5,"P,B",138.8999939,A,A,AU,AU,,,,CR,,,,,,,,,,crushed by 10549,crushed by 10550,,7/6/2018,Prestipino
109,10549,1,qual,0.8,2.6,DS,687.7999878,PD,PD,PD,PD,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
109,10550,1,caca,2.2,3.6,M,128,A,A,DC,PD,112,1,I,CR,F,R,,,,,,,,"too rotted to core, crushed by 10549",,,7/6/2018,Prestipino
109,10550,2,caca,2.2,3.6,S,103.1999969,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
109,10551,1,nysy,1.6,7.7,,241.3000031,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
109,10553,1,nysy,6.2,12.6,,257.3999939,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
109,10556,1,litu,2.5,19.1,,781.2999878,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
110,10487,1,caca,1.9,3.7,"M,L",125.3000031,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
110,10488,1,acru,3.2,5.2,,311.1000061,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
110,10489,1,caca,11.5,3.8,,111,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
110,10491,1,havi,18.5,2.6,M,112,A,AU,AU,AU,,,,DF,B,R,,4,,,,,,old break,old break @ ~1.5m,,7/6/2018,Prestipino
110,10492,1,caca,14.4,4.8,"L,B",186.8999939,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
110,10494,1,havi,19.2,6.3,M,124.0999985,A,A,AU,DS,119,3,S,B,R,,,,,,,,,stem split; brak at ?1.3m,stem split; break at ?1.3m - cannot core,,7/6/2018,Prestipino
110,10495,1,caovl,16.4,10.6,,158.1000061,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
