"sp","quadrat","lx","ly","tag","stem","dbh.2018","codes.2018","status.2015","status.2016","status.2017","status.2018","new.status","codes.2013","dbh.2013","status..2017","dbh.if.dead","perc.crown","crown.position","fad1","fad2","fad3","fad4","DF","liana.load","fraxinus.crown.thinning","fraxinus.epicormic.growth","EABF","DE.count","Old.comments","X2019.comments","cored","Date","surveyors"
"frni",104,18.8,13.3,10178,2,0,"DN","DN","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"acru",104,10.9,2.7,10185,1,580,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"qual",104,10.3,2.7,10186,1,330,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"amar",104,11.8,4.5,10188,1,147,"M","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"amar",104,11.8,4.5,10188,2,12,"S",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"acru",104,12.3,4.5,10189,1,330,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"fram",104,17.7,12.3,10193,1,350,"NULL","A","A","AU","A","","","","","","","","","","","","","","","","","","","","","",""
"fagr",104,14.9,13.2,10194,1,346,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"prse",104,17.2,17.9,10196,1,219,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"ceca",104,17.3,19.1,10197,1,255,"A;I","A","A","A","AU","","","","","","","","","","","","","","","","","","Neofusicoccum spp.","","","",""
"fagr",104,11.8,15,10205,1,125,"NULL","A","AU","AU","A","","","","","","","","","","","","","","","","","","uprooted (remained healthy)","","","",""
"fram",104,6.4,17.7,10213,1,475,"NULL","A","A","A","AU","","","","","","","","","","","","","","","","","","high liana load","","","",""
"ulru",105,13.2,18.4,10249,1,0,"DN","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"fram",105,10.9,18.9,10251,1,109,"L","A","AU","AU","AU","","","","","","","","","","","","","","","","","","leaning due to vines","","","",""
"fram",105,8.7,18.8,10253,1,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"acne",105,1.1,15.9,10263,1,155,"M","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"acne",105,1.1,15.9,10263,2,128,"S",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"acne",105,1.1,15.9,10263,3,0,"DC;WR",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"acne",105,1.1,15.9,10263,4,0,"DC",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"frni",106,18.4,1.9,10266,1,0,"DN","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"fram",106,17.5,8.3,10279,1,155,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"nysy",106,19.7,12.3,10280,1,256,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"ceca",106,15.7,3.2,10284,1,175,"I","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"fram",106,10.5,3.4,10285,1,254,"NULL","A","A","A","AU","","","","","","","","","","","","","","","","","","","","","",""
"juni",106,9.5,3.4,10286,1,0,"DS","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"caca",106,13.9,12.9,10287,1,190,"L","A","A","A","A","","","","","","","","","","","","","","","","","","tag missing, liana load","","","",""
"ulru",106,9.4,13,10292,1,0,"DS","A","DS","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"ulru",106,9.4,13,10292,2,0,"DC",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"unk",106,11.4,7,10294,1,0,"DN","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"juni",106,9.7,9.2,10296,1,587,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","high liana load","","","",""
"acne",106,0.6,2.6,10346,1,129,"A",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"unk",106,6.3,3.2,10367,1,0,"DN","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"fram",106,2.9,3.3,10376,1,0,"DC","A","DN","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"fram",106,2.6,3.1,10379,1,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"caca",106,8.8,8.1,10401,1,152,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caca",106,6.1,14.5,10405,1,125,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"ulsp",106,1.8,13.8,10416,1,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"caco",106,0.6,17,10424,1,464,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","tag missing","","","",""
"juni",106,1.5,12.8,10427,1,305,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","tag missing","","","",""
"caca",107,14,2.7,10433,1,107,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caco",107,20,1.7,10434,1,191,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","antracnose/wilt","","","",""
"fagr",107,10.3,8.2,10436,1,593,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"fram",107,14.3,12.5,10440,1,372,"DS","A","A","AU","DS","","","","","","","","","","","","","","","","","","break at crown, crushed by 10441","","","",""
"caca",107,18.2,16.3,10443,1,144,"L","A","A","A","A","","","","","","","","","","","","","","","","","","Break at 4.5m","","","",""
"quru",107,14.8,15.9,10444,1,109,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"acru",107,17.5,19.9,10445,1,226,"I;M","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"acru",107,17.5,19.9,10445,2,49,"S",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"nysy",107,13.7,19.1,10446,1,664,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","K","","","",""
"caca",107,9.2,15.5,10448,1,0,"DS","A","A","A","AU","","","","","","","","","","","","","","","","","","many breaks","","","",""
"unk",107,9.7,17,10449,1,0,"DN","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"cagl",107,11.2,13.4,10452,1,460,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","sapsucker","","","",""
"cagl",107,4.6,17.4,10454,1,247,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"qual",108,19.4,4.8,10457,1,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"caca",108,12.4,2.8,10461,1,0,"DN","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"caca",108,11.1,12.9,10462,1,135,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"acru",108,10.6,13.8,10463,1,152,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cato",108,11.7,17.4,10464,1,462,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cato",108,11.4,18.2,10465,1,142,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caca",108,12.2,18.2,10466,1,101,"B","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cato",108,12.5,19.9,10467,1,228,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"fram",108,15.8,20,10468,1,399,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",109,9.7,1,10469,1,895,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caca",109,7.7,3.4,10470,1,172,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"prse",109,13.8,2.2,10473,1,354,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caca",109,13.9,2.9,10474,1,123,"M","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caca",109,13.9,2.9,10474,2,11,"S",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"qual",109,17.4,4.6,10475,1,135,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","antracnose/wilt","","","",""
"caca",109,17.1,9.8,10479,1,116,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caco",109,12,7.4,10480,1,165,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",109,12,8.3,10481,1,781,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caca",109,9.5,7.6,10482,1,0,"DC","A","DC","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"caca",109,9.5,7.6,10482,2,0,"DC",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"qual",109,12.7,9.1,10483,1,153,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"acru",109,18.8,12.2,10484,1,270,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caca",109,17.6,12.5,10485,1,150,"P","A","A","AU","AU","","","","","","","","","","","","","","","","","","crushed by 10550","","","",""
"caca",110,1.9,3.7,10487,1,132,"L;M","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caca",110,1.9,3.7,10487,2,23,"S",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"caca",110,1.9,3.7,10487,3,17,"S",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"caca",110,1.9,3.7,10487,4,13,"S",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"acru",110,3.2,5.2,10488,1,341,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caca",110,11.5,3.8,10489,1,115,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"havi",110,18.5,2.6,10491,1,113,"DS","A","AU","AU","AU","","","","","","","","","","","","","","","","","","old break @ ~1.5m","","","",""
"havi",110,18.5,2.6,10491,2,77,"M",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"havi",110,18.5,2.6,10491,3,73,"S",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"havi",110,18.5,2.6,10491,4,33,"S",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"havi",110,18.5,2.6,10491,5,43,"S",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"havi",110,18.5,2.6,10491,6,26,"DS",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"havi",110,18.5,2.6,10491,7,0,"DN",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"havi",110,18.5,2.6,10491,8,20,"S",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"havi",110,18.5,2.6,10491,9,0,"DC",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"caca",110,14.4,4.8,10492,1,195,"B","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"havi",110,19.2,6.3,10494,1,0,"DS","A","A","AU","DS","","","","","","","","","","","","","","","","","","stem split; break at ?1.3m - cannot core","","","",""
"havi",110,19.2,6.3,10494,2,103,"M",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"havi",110,19.2,6.3,10494,3,30,"S",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"havi",110,19.2,6.3,10494,4,40,"S",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"havi",110,19.2,6.3,10494,5,16,"S",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"havi",110,19.2,6.3,10494,6,50,"S",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"havi",110,19.2,6.3,10494,7,28,"S",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"havi",110,19.2,6.3,10494,8,24,"S",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"havi",110,19.2,6.3,10494,9,20,"S",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"havi",110,19.2,6.3,10494,10,14,"S",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"havi",110,19.2,6.3,10494,11,0,"DC",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"caovl",110,16.4,10.6,10495,1,173,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caca",110,11.8,11.8,10498,1,144,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"quve",107,4.5,0.6,10517,1,222,"L","A","A","AU","A","","","","","","","","","","","","","","","","","","one stem dead","","","",""
"caco",107,3.4,0.5,10518,1,480,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"unk",107,6.8,3,10523,1,0,"DN","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"fram",107,6.1,14,10526,1,173,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caca",107,0.1,8.2,10527,1,139,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"quve",108,4,2.1,10530,1,467,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caca",108,4.3,4.3,10531,1,99,"M","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caca",108,4.3,4.3,10531,2,21,"S",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"qual",108,5.7,5.2,10532,1,0,"DS","DS","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"fram",108,10.2,7.4,10534,1,647,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caca",108,5.6,5.3,10535,1,179,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cato",108,4.6,7.3,10536,1,310,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caca",108,4.6,8.2,10537,1,193,"I","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"fram",108,4.3,12,10539,1,470,"DS","A","A","DS","PD","","","","","","","","","","","","","","","","","","","","","",""
"cagl",108,5.2,11.8,10540,1,133,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"quru",108,7.9,15.4,10543,1,330,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"unk",108,6.4,18.4,10544,1,0,"B;DS","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"caca",108,3.7,17,10545,1,132,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"nysy",108,2.5,18.2,10546,1,268,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caovl",108,2.5,16.2,10548,1,126,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"qual",109,0.8,2.6,10549,1,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"caca",109,2.2,3.6,10550,1,0,"DN","A","A","DC","PD","","","","","","","","","","","","","","","","","","","","","",""
"caca",109,2.2,3.6,10550,2,108,"M","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caca",109,2.2,3.6,10550,3,53,"S",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"nysy",109,1.6,7.7,10551,1,239,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"nysy",109,6.2,12.6,10553,1,280,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",109,2.5,19.1,10556,1,819,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caovl",110,4.5,16,10561,1,501,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caca",110,12.6,18.2,10568,1,130,"L","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caca",110,13.7,13.1,10569,1,107,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"fagr",113,6.6,3.6,10575,1,150,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"fagr",113,8.6,0.2,10576,1,270,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"fagr",113,20,1.4,10578,1,178,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caca",113,16.5,5,10580,1,109,"DS","A","A","AU","DS","","","","","","","","","","","","","","","","","","","","","",""
"caca",113,16.5,5,10580,2,54,"DS;WR",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"quru",113,16.3,6.4,10581,1,835,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","Root rot & K","","","",""
"fagr",113,6.1,9.7,10583,1,156,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",113,2.6,13,10587,1,997,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","lower bark balding","","","",""
"caca",113,10.7,11.1,10589,1,103,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cagl",113,12.7,11.1,10590,1,239,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caca",113,18.1,9.6,10594,1,101,"NULL",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"litu",111,2.4,2.7,10602,1,743,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",111,2.7,5.1,10603,1,772,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caca",111,7.3,3.7,10605,1,0,"DS","A","A","A","DS","","","","","","","","","","","","","","","","","","multiple breaks","","","",""
"caca",111,7.3,3.7,10605,2,0,"DC;WR",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"fagr",111,9.9,4.2,10606,1,115,"NULL",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"cato",111,12.9,2.4,10607,1,236,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","leaning","","","",""
"qupr",111,17.8,12.7,10608,1,0,"DS","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"cagl",111,19.5,2.9,10609,1,439,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caca",111,15.7,5,10611,1,116,"A;I",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"cato",111,14.8,7.5,10612,1,125,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",111,12.1,9,10613,1,583,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"fagr",111,4.3,8.3,10619,1,231,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"qual",111,3.1,13,10620,1,0,"DS","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"cato",111,1.6,14.3,10621,1,582,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",111,11.2,12.8,10625,1,733,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caca",111,19.6,12.1,10626,1,97,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caca",111,19.4,13.2,10627,1,104,"NULL",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"caca",111,20,17.2,10628,1,113,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cato",111,13.9,19.9,10629,1,267,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caca",111,8.9,19.4,10630,1,142,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cato",111,5.2,16.8,10631,1,294,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"nysy",111,0.1,16.9,10632,1,0,"DS","A","A","AU","DS","","","","","","","","","","","","","","","","","","","","","",""
"cato",112,1.9,0.4,10633,1,346,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"quru",112,20,0.4,10636,1,393,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cato",112,10.8,8.2,10639,1,398,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"fram",112,2.5,9.7,10642,1,797,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"fagr",112,0.6,13,10643,1,682,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cato",112,6.4,11.4,10644,1,304,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"fagr",112,9.5,13.5,10647,1,173,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cato",112,18.7,13.5,10649,1,138,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caovl",114,5.8,4.1,10653,1,165,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cato",114,16.1,1.1,10657,1,0,"DS","A","A","DS","PD","","","","","","","","","","","","","","","","","","","","","",""
"caovl",114,20,3.3,10663,1,295,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"fagr",114,16.8,9.7,10664,1,164,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"unk",114,13.4,8,10665,1,0,"DN","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"qupr",114,13.1,9.5,10666,1,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"fagr",114,11.6,7.5,10667,1,127,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cato",114,2.7,9,10668,1,327,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cagl",114,6.1,12.3,10669,1,805,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"quru",114,6.2,14.5,10671,1,905,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"fagr",114,2.4,18.9,10673,1,140,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"fagr",114,7.1,15.3,10674,1,152,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"fagr",114,12.1,11.5,10675,1,227,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cagl",114,17.7,16,10677,1,146,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
