"tag","coreID","sp","1889","1890","1891","1892","1893","1894","1895","1896","1897","1898","1899","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
70299,"70299A","juni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.067,1.451,0.582,1.01,1.416,1.077,1.753,1.405,1.483,2.479,1.242,2.21,1.707,2.276,2.177,1.865,3.119,2.881,2.307,2.085,3.039,1.184,0.285,0.449,0.629,2.947,1.247,1.683,1.834,1.574,1.084,0.812,0.967,0.48,0.348,0.407,0.349,0.422,0.254,0.232,0.338,0.196,0.317,0.47,0.322,0.233,0.443,0.544,0.28,0.317,0.196,0.258,0.201,0.169,0.201,0.164
70299,"70299B","juni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.582,0.977,0.438,0.828,0.632,1.505,1.745,0.662,0.324,2.055,1.553,2.507,2.114,1.751,3.154,2.918,1.925,1.564,2.442,1.249,0.235,0.195,0.893,1.645,1.049,1.398,1.32,1.506,0.749,0.831,1.167,0.869,0.346,0.881,0.963,0.813,0.589,0.845,0.437,0.561,0.511,0.438,1.287,0.534,0.314,0.56,1.387,0.4,0.274,0.202,0.251,0.094,NA,NA,NA,NA
72424,"72424","juni",NA,NA,NA,NA,NA,3.619,1.921,1.714,2.042,2.71,2.353,1.915,2.162,1.405,2.454,2.964,1.601,2.943,1.913,2.044,2.036,1.542,1.474,1.106,1.64,1.409,1.474,1.689,1.353,1.239,1.195,0.661,0.625,1.029,0.681,0.799,0.801,0.398,0.388,0.184,0.283,0.273,0.379,0.536,0.473,1.19,1,0.773,0.73,0.283,0.424,0.465,0.253,0.249,0.286,0.3,0.179,0.227,0.249,0.217,0.164,0.223,0.221,0.197,0.163,0.19,0.203,0.224,0.527,0.492,0.246,0.133,0.202,0.221,0.111,0.057,0.149,0.127,0.201,0.201,0.232,0.161,0.115,0.129,0.16,0.14,0.144,0.159,0.144,0.13,0.142,0.096,0.417,0.478,0.294,0.378,0.362,0.273,0.185,0.249,0.304,0.388,0.356,0.582,0.652,0.762,0.499,0.359,0.452,0.552,0.623,1.13,0.944,0.982,1.166,0.853,0.802,0.728,1.106,1.545,0.991,NA,NA,NA,NA,NA
80694,"80694","juni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.76,2.376,1.984,1.54,1.583,1.461,1.012,1.157,0.69,0.931,0.859,0.757,0.991,1.082,0.682,0.475,0.727,0.831,1.01,0.858,1.343,0.612,0.552,0.498,0.534,0.403,0.43,0.462,0.797,0.731,0.977,0.606,0.951,0.739,0.798,0.934,0.628,0.365,0.604,0.488,0.471,0.38,0.301,0.256,0.303,0.274,0.341,0.267,0.164,0.163,0.225,0.197,0.32,0.414,0.275,0.261,0.19,0.375,0.274,0.153,0.233,0.279,0.133,0.116,0.08,0.061,0.105,0.145,0.177,0.136,0.542,0.571,0.181,0.196,0.304,0.364,0.221,0.138,0.499,0.521,0.332,0.645,0.336,0.492,0.312,0.525,0.45,0.332,0.25,0.536,0.569,0.753,1.304,1.433,1.91,NA,NA,NA,NA,NA
112323,"112323","juni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.302,1.026,2.171,2.068,1.884,1.615,1.249,1.242,0.974,1.493,1.577,1.546,1.616,2.257,1.671,2.119,1.411,1.047,1.582,1.172,1.281,0.764,0.666,1.253,0.972,0.679,0.177,0.416,0.968,1.04,0.966,0.943,0.967,0.417,1.01,0.814,0.804,0.889,0.997,0.737,1.193,1.508,1.643,1.125,1.168,0.987,0.343,0.688,0.488,0.355,0.478,0.519,0.734,0.346,1.166,1.181,1.543,2.489,1.063,1.36,0.769,0.679,1.365,1.269,0.69,1.842,0.625,1.022,0.892,1.186,0.944,0.992,1.16,0.907,0.624,0.708,1.527,1.141,0.596,1.218,1.044,1.427,1.489,0.667,0.9,0.902,0.676,1.22,1.197,1.415,1.156,1.595,1.077,1.164,0.991,1.202,1.454,NA,NA,NA,NA,NA
122295,"122295","juni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.89,1.677,1.493,1.936,1.883,2.235,1.818,2.394,1.748,2.741,2.42,2.27,2.925,2.497,2.862,2.706,2.864,2.853,2.485,3.509,2.524,2.371,2.371,2.416,1.904,2.626,1.312,1.564,2.762,1.953,2.432,1.816,1.975,2.501,2.356,1.529,1.987,1.893,1.557,1.328,0.976,0.945,0.745,0.644,0.64,0.456,0.666,0.952,1.215,1.091,0.87,1.008,0.788,0.801,0.684,0.512,0.293,0.229,0.099,0.09,0.075,0.058,0.039,0.078,0.16,0.202,0.182,0.277,0.14,0.096,0.196,0.29,0.167,0.298,0.239,0.117,0.088,0.231,0.256,0.197,0.175,0.256,0.174,0.123,0.188,0.099,0.059,0.091,0.143,0.13,0.16,0.183,0.227,0.182,0.194,0.274,0.356,0.312,0.334,0.49,0.398,0.318,0.33,0.785,0.554,NA,NA,NA,NA,NA
131360,"131360","juni",0.906,1.013,0.848,0.68,0.964,1.06,0.843,1.059,1.064,2.244,1.808,1.744,1.591,1.375,0.889,1.121,0.89,1.186,1.058,0.996,1.261,1.699,2.775,1.658,1.149,0.872,0.688,0.69,1.387,1.457,1.311,1.403,1.216,1.602,1.465,2.392,1.834,1.685,0.944,0.65,0.785,1.253,1.619,1.192,0.073,1.179,1.149,0.925,0.791,0.616,0.848,0.873,0.607,0.715,0.605,0.517,0.282,0.51,0.584,0.818,0.88,0.85,0.69,0.894,0.604,0.892,0.895,0.721,0.581,0.396,0.491,0.447,0.441,0.364,0.222,0.088,0.465,0.49,0.266,0.398,0.652,0.378,0.155,0.169,0.125,0.091,0.129,0.206,0.118,0.28,0.194,0.14,0.225,0.453,0.454,0.261,0.444,0.933,0.406,0.548,0.564,0.534,0.251,0.31,0.615,0.669,0.428,0.367,0.127,0.244,0.197,0.672,0.674,0.492,0.491,0.455,0.599,0.616,0.68,0.841,0.949,NA,NA,NA,NA,NA
150761,"150761","juni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.238,1.484,2.191,2.009,0.944,3.434,3.36,3.246,3.143,2.919,2.481,2.399,2.333,3.132,1.823,2.359,2.043,1.248,1.868,2.447,1.996,1.593,1.405,1.357,1.014,1.112,0.913,0.714,0.926,0.18,0.607,1.161,1.099,1.197,0.733,0.338,0.815,0.478,0.72,0.38,1.343,0.977,1.561,0.519,0.595,0.472,0.422,0.6,NA,NA,NA,NA,NA
152623,"152623","juni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.576,1.592,1.798,1.678,0.885,1.558,0.894,1.057,1.015,1.444,1.536,1.441,1.265,0.915,1.097,1.326,0.981,0.135,1.112,0.748,0.852,0.968,1.303,1.153,1.558,1.222,1.274,0.728,0.942,0.876,1.103,1.012,0.799,1.034,0.548,0.719,0.592,0.49,0.511,0.367,0.391,0.183,0.306,0.537,0.937,0.993,0.773,1.271,0.789,0.863,1.09,1.097,0.695,1.114,0.547,0.555,0.791,0.827,0.579,0.749,0.979,0.708,0.416,0.401,0.86,1.045,0.544,0.68,1.015,0.522,0.663,0.626,0.424,0.651,0.443,0.35,0.436,0.379,0.504,0.839,0.566,0.69,0.597,0.625,0.801,NA,NA,NA,NA,NA
161554,"161554","juni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.244,1.587,1.558,1.282,1.486,0.813,1.074,0.597,0.898,1.056,1.34,0.97,0.618,0.918,1.27,1.509,1.005,0.752,0.766,0.795,0.658,0.371,0.487,0.382,0.5,0.569,0.221,0.096,0.085,0.251,0.252,0.082,0.304,0.192,0.318,0.291,0.937,1.434,2.04,1.308,1.734,0.833,1.422,1.494,1.176,0.932,0.829,1.088,0.332,0.78,1.028,1.024,1.207,1.03,0.778,0.707,0.573,0.813,0.725,0.521,0.641,0.448,0.601,0.552,0.716,0.519,0.568,0.775,1.107,0.591,0.597,1.047,1.013,0.7,0.864,1.411,1.328,1.055,1.023,0.888,1.057,0.629,0.719,0.808,0.97,0.888,1.176,0.882,0.909,0.936,1.219,1.265,NA,NA,NA,NA,NA
162355,"162355","juni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.947,1.507,1.538,1.667,1.039,1.897,1.344,1.321,1.422,1.495,1.408,1.282,1.604,0.825,1.419,1.459,1.072,1.72,2.452,2.091,1.456,1.767,1.178,0.703,0.763,0.472,0.395,0.5,0.596,0.499,0.769,0.482,0.376,1.134,0.71,1.052,0.728,0.701,0.93,1.174,0.869,0.754,0.823,0.682,0.645,0.791,0.752,0.496,0.057,0.089,0.16,0.27,0.262,0.402,0.591,0.507,1.013,0.838,1.166,0.578,0.764,0.506,0.491,0.34,0.618,0.755,0.21,0.476,0.679,0.641,0.753,0.621,0.62,0.677,0.452,0.504,0.849,0.388,0.654,0.42,0.574,0.404,0.441,0.515,0.401,0.309,0.492,0.442,0.663,0.753,0.547,0.33,0.407,0.263,0.539,0.585,0.394,0.375,0.376,0.253,0.357,0.405,0.354,0.274,0.298,0.201,0.199,0.161,0.285,0.245,NA,NA,NA,NA,NA
162575,"162575","juni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.634,2.369,2.326,1.604,2.132,1.651,1.819,1.864,1.591,1.867,1.702,1.72,1.594,2.256,1.596,1.249,2.161,1.224,1.674,1.962,1.38,2.288,2.207,1.795,1.467,2.108,2.686,1.964,1.272,1.024,1.716,1.242,1.58,1.566,1.989,1.791,1.997,1.258,1.28,0.882,1.268,1.168,0.962,0.927,0.688,0.975,0.684,0.512,0.476,0.497,0.473,0.238,0.165,0.449,0.394,0.744,0.429,0.746,0.657,0.523,0.64,0.742,0.395,0.318,0.203,0.199,0.358,0.54,0.479,0.331,0.336,0.271,0.161,0.177,0.27,0.429,0.227,0.208,0.398,0.237,0.538,0.435,0.512,0.75,0.481,0.676,0.838,0.637,0.855,0.779,0.619,0.633,0.846,0.668,0.732,NA,NA,NA,NA,NA
172453,"172453","juni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76,0.554,0.242,0.296,0.387,0.605,0.926,0.688,1.353,1.104,1.156,0.716,1.026,1.017,1.169,0.844,0.78,1.333,1.077,1.251,1.312,1.177,1.294,1.043,1.262,1.564,1.527,1.375,1.252,1.175,1.191,1.124,1.031,0.666,0.804,0.707,0.351,0.584,0.442,0.203,0.185,0.178,0.206,0.061,0.131,0.114,0.178,0.141,0.288,0.298,0.276,0.218,0.25,0.369,0.279,0.26,0.175,0.19,0.165,0.267,0.396,0.27,0.205,0.2,0.141,0.212,0.304,0.312,0.283,0.357,0.344,0.254,0.326,0.294,0.25,0.243,0.134,0.15,0.275,0.29,0.249,0.216,0.254,0.206,0.305,0.246,0.328,NA,NA,NA,NA,NA
172637,"172637","juni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.326,1.754,2.469,1.94,3.067,2.026,3.082,2.329,1.769,1.229,1.772,1.558,1.677,1.591,1.312,1.262,0.831,1.323,0.793,0.672,0.627,0.892,1.01,0.583,1.348,0.959,1.389,1.704,1.105,0.779,0.831,0.977,1.207,1.093,0.591,1.286,0.421,0.392,1.066,1.057,0.974,0.739,0.992,1.046,0.76,0.515,0.726,0.746,0.315,0.761,0.67,0.765,0.888,0.185,0.235,0.379,0.344,0.411,0.756,0.544,0.452,0.316,0.378,0.392,0.556,0.679,0.43,NA,NA,NA,NA,NA
180341,"180341","juni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.775,2.865,1.801,1.315,2.029,2.072,1.462,1.07,1.29,0.97,1.236,1.433,1.276,0.661,0.958,0.803,0.819,1.839,2.314,3.92,2.173,1.973,1.437,2.072,1.635,1.758,1.381,2.407,3.099,2.036,NA,NA,NA,NA,NA
180644,"180644","juni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.068,3.392,3.438,4.774,5.358,3.027,3.316,3.444,2.941,1.803,2.464,1.519,1.522,0.667,0.827,0.665,0.464,0.643,0.292,0.082,0.089,0.204,0.106,0.137,0.205,0.113,0.099,0.142,0.209,0.279,0.166,0.328,0.245,0.085,0.079,0.088,0.073,0.062,0.037,0.118,0.112,0.193,0.111,0.21,0.166,0.104,0.161,0.179,0.1,0.16,0.109,0.125,0.11,0.049,0.096,NA,NA,NA,NA,NA
180906,"180906","juni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.187,2.033,2.274,2.778,2.859,2.77,2.924,2.117,2.625,3.244,1.982,1.744,1.89,1.518,1.583,1.608,2.229,2.233,1.691,1.658,1.274,1.64,1.331,1.301,0.876,0.964,0.888,0.69,0.883,0.819,0.692,0.488,0.521,0.355,0.638,0.707,0.793,0.828,0.67,0.785,0.638,0.552,0.815,0.895,0.751,0.884,0.491,0.777,0.685,0.48,0.423,0.338,0.323,0.513,0.213,0.229,0.205,0.314,0.194,0.158,0.215,0.19,0.084,0.105,0.056,0.09,0.195,0.091,NA,NA,NA,NA,NA
190074,"190074","juni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.045,3.632,2.957,3.63,2.525,3.12,2.685,3.539,2.557,2.192,1.919,1.142,1.608,1.801,1.69,1.547,1.479,1.484,1.426,1.237,1.424,0.978,1.066,0.928,0.689,0.818,1.269,1.224,1.099,0.915,0.612,0.94,0.588,0.611,1.093,0.644,0.424,1.152,1.045,1.787,0.929,0.705,0.707,0.791,0.76,0.8,0.334,0.167,0.226,0.673,1.413,1.361,1.098,0.774,0.937,NA,NA,NA,NA,NA
