tag,stemtag,sp,quadrat,biannual,cored,year.cored,dbh2008,dbh2013,dbh2018,crown.position
50274,1,quru,505,0,1,2010-2011,506.2,533,,
50281,1,litu,505,0,1,2010-2011,136.3,139,,
50288,1,quru ,505,1,0,NA,835,877.7,,
50299,1,fagr,506,0,1,2010-2011,176.5,191.6,,
50301,1,fagr,505,0,1,2010-2011,103,113,,
50314,1,qual,505,0,1,2010-2011,417.2,412.8,,
50322,1,qual,506,0,1,2010-2011,496.4,499,,
50323,1,qupr,506,0,1,2010-2011,543,546.1,,
50330,1,fagr,506,0,1,2010-2011,146.2,157.9,,
50336,1,caovl,506,0,1,2010-2011,330.3,332.8,,
50340,1,fagr,506,0,1,2010-2011,152.7,162.4,,
50356,1,caovl,507,0,1,2010-2011,387.8,405.8,,
50364,1,qual ,507,1,0,NA,637.9,661.9,,
50404,1,quve,506,0,1,2010-2011,237.2,241.2,,
50406,1,litu,506,0,1,2010-2011,324.2,351.8,,
50433,1,fagr,507,0,1,2010-2011,127.2,141.7,,
50442,1,caovl,507,0,1,2010-2011,399.9,406.1,,
50455,1,qual,508,0,1,2010-2011,318.1,333.9,,
50499,1,quru,511,0,1,2010-2011,609.9,624.7,,
50517,1,qual,511,0,1,2010-2011,167.3,169.9,,
50555,1,litu,513,0,1,2010-2011,476.2,490,,
50557,1,fagr,513,0,1,2010-2011,265.3,279.7,,
50559,1,fagr,514,0,1,2010-2011,206.6,226.7,,
50563,1,fagr,514,0,1,2010-2011,208.7,265.7,,
50650,1,litu ,514,1,0,NA,178.2,184.3,,
50652,1,fagr,514,0,1,2010-2011,175.2,200.4,,
50654,1,litu ,514,1,0,NA,700,717.2,,
52010,1,fagr,517,0,1,2010-2011,161.4,0,,
52087,1,quru ,519,1,0,NA,1432.1,1451,,
52111,1,qual,520,0,1,2010-2011,494.6,516,,
52130,1,fagr,520,0,1,2010-2011,161.7,177.2,,
52190,1,quru ,522,1,0,NA,932.1,968.5,,
52287,1,quru,526,0,1,2010-2011,633,676.5,,
52323,1,qupr,527,0,1,2010-2011,481,496.1,,
52388,1,litu,530,0,1,2010-2011,251.1,255.5,,
52403,1,quve,530,0,1,2010-2011,757.1,777.5,,
52462,1,qupr,532,0,1,2010-2011,363.1,373,,
60016,1,qual,601,0,1,2010-2011,502.1,521,,
60023,1,qupr,602,0,1,2010-2011,157.7,164.7,,
